id,submission_id,reference_answer,answer,model,bertscore_precision,bertscore_recall,bertscore_f1
CORP-TAX-017,CORP-TAX-017,"§ 11 KStG erweitert den Betriebsausgabenbegriff um körperschaftsspezifische Aufwendungen. § 12 KStG schränkt ihn ein und nennt Aufwendungen, die trotz betrieblicher Veranlassung nicht abzugsfähig sind.","Unsicherheit hin, statt zu raten. Benutzerfrage: Was ist der Unterschied zwischen § 11 KStG und § 12 KStG in Bezug auf den Betriebsausgabenabzug? Antwort: Die beiden Bestimmungen sind übereinstimmend. Der Unterschied liegt darin, dass § 11 KStG eine Ausnahmebestimmung enthält, wonach die Auszahlungsverpflichtung nur für die Einkünfte des Betriebes gilt, während § 12 KStG die Auszahlungsverpflichtung auch für die Einkünfte aus andern Verträgen mit dem Betrieb umfasst (vgl. dazu BGE 96 I 308).",Model 1 Inference,0.6679026,0.7174594,0.69179463
CORP-TAX-018,CORP-TAX-018,"Nein, grundsätzlich nicht (§ 12 Abs. 1 Z 5 KStG). Eine Ausnahme stellen Spenden an begünstigte Empfänger nach § 4a EStG oder Ausgaben nach § 8 Abs. 4 Z 1 KStG dar.","auf Deutsch, praezise und sachlich. Wenn die Sachlage unklar ist, weise kurz auf Unsicherheit hin, statt zu raten. Benutzerfrage: Sind freiwillige Spenden zu gemeinnützigen Zwecken grundsätzlich abzugsfähig? Antwort: Ja. A.- Die Schweizerische Eidgenossenschaft (SE) erklärte am 10. Dezember 1972 in der Schweiz eine ""Einführung des Steuergesetzes"" durch das Bundesgericht. Sie verpflichtete sich, den Steuersatz für die Erwerbstätigkeit von Personen mit Wohnsitz im Ausland auf Fr. 3'500.-- bis Fr. 4'000.-- festzusetzen. Diese Regelung wurde vom Regierungsrat des Kantons Zürich am 28. Juni 1976 bestätigt. In der Folge stellten die SE und die Schweizerische Bankgesellschaft (SBG) einen Vertrag über",Model 1 Inference,0.5887412,0.6319615,0.6095863
CORP-TAX-019,CORP-TAX-019,"(a) Nicht abzugsfähig (§ 12 Abs. 1 Z 4 KStG). (b) Abzugsfähig nach § 4a EStG – Ausnahme in § 12 Abs. 1 Z 5 KStG greift. (c) Nur zur Hälfte abzugsfähig (§ 12 Abs. 1 Z 7 KStG). (d) Nicht abzugsfähig, da konzernzugehöriger Empfänger und Steuerbelastung < 15 % (§ 12 Abs. 1 Z 10 KStG).","Die GmbH kann keine Steuerauszahlungsansprüche gegen den Erwerber der EU-Abgaben geltend machen, da sie sich nicht als Konkurrentin des Erwerbers im Sinne von Art. 10 Abs. 2 lit. a Einführungsgesetz vom 3. Oktober 1974 über die Steuerpflichtigen (EinfG; SR 642.14) bezeichnet. Die GmbH hat aber eine Steuerabgabe aus EU-Abgaben, d.h. eine Steuerforderung für die EU-Abgaben, und damit auch einen Steuersatz, der in der Schweiz nicht erfasst wird. Sie kann daher keinen Steuererklärungsanspruch gegen den",Model 1 Inference,0.6112589,0.61595225,0.61359656
CORP-TAX-020,CORP-TAX-020,Wenn der Empfänger konzernzugehörig ist und die Lizenzgebühren beim Empfänger keiner oder weniger als 10 % Besteuerung unterliegen (§ 12 Abs. 1 Z 10 KStG).,"ise und sachlich. Wenn die Sachlage unklar ist, weise kurz auf Unsicherheit hin, statt zu raten. Benutzerfrage: Wann sind Lizenzgebühren an eine konzernzugehörige Gesellschaft nicht abzugsfähig? Antwort: Die Lizenzgebühr wird bei der Ausübung des Geschäftsbetriebs von einer Konzerngesellschaft oder einer Konkurrenzgesellschaft (Art. 1 Abs. 2 lit. a) oder einer ausserkonfektiven Gesellschaft (Art. 3 Abs. 1 lit. b) abgegolten. Die Konzerngesellschaft oder die ausserkonfektive Gesellschaft hat die Lizenz für den Geschäftsbetrieb zu übernehmen. Sie kann sich daher auch dann nicht auf die Lizenz gebieten, wenn sie die Konzerngesellschaft oder die ausserkonfektive Gesellschaft als Konkurrentin betrachtet. Das gilt auch dann, wenn sie sich mit der Konzern",Model 1 Inference,0.6185833,0.6864364,0.6507459
CORP-TAX-021,CORP-TAX-021,Nach § 5 Abs. 1 EStG 1988 (Betriebsvermögensvergleich). § 6 Z 2 lit. c und d EStG ist dabei nicht anzuwenden (§ 7 Abs. 3 KStG).,"lage unklar ist, weise kurz auf Unsicherheit hin, statt zu raten. Benutzerfrage: Nach welcher Methode ist der Gewinn bei rechnungslegungspflichtigen Körperschaften zu ermitteln? Antwort: Die Gewinne werden nach dem Verhältnis zwischen den verschiedenen Rechtsverhältnissen des Gesellschafts- oder Unternehmenskörperschaften bestimmt (Art. 15 Abs. 2 OR). Der Gewinn wird in einem bestimmten Umfang von der Rechnungslegungspflicht abhängig gemacht (BGE 97 II 364 E. 2 S. 368; BGE 100 II 123 E. 2a S. 125 f.; BGE 101 II 123 E. 2b S. 125). Die Rechnungslegungspflicht kann sich aus Art. 1",Model 1 Inference,0.60865045,0.6956599,0.649253
CORP-TAX-022,CORP-TAX-022,"§ 7 Abs. 3 KStG: Einkommensermittlung beider Körperschaften als Gewerbebetrieb (Gewerblichkeitsfiktion). § 9 Abs. 2–5 KStG: Gruppenvoraussetzungen (mittelbare oder unmittelbare Beteiligung > 50 %; unbeschränkt steuerpflichtige Kapitalgesellschaften oder vergleichbare nicht unbeschränkt steuerpflichtige Kapitalgesellschaften, die in einem Mitgliedstaat der Europäischen Union ode in einem Staat, mit dem umfassende Amtshilfe besteht, ansässig sind und ausschließlich mit unbeschränkt steuerpflichtigen Gruppenmitgliedern oder mit dem Gruppenträger finanziell verbunden sind; die finanzielle Verbindung muss während des gesamten Wirtschaftsjahres des jeweiligen Gruppenmitglieds vorliegen). § 9 Abs. 6 Z 4 KStG: Vorgruppenverluste nur gegen eigenen Gewinn. § 11 Abs. 1 Z 4 KStG: Zinsen abzugsfähig (konzernfremder Verkäufer → kein § 12 Abs. 1 Z 9). § 9 Abs. 7 KStG: Nach Beitritt keine Teilwertabschreibungen mehr.","eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte? Antwort: Die § 7 Abs. 3 KStG (Sachverhalt) enthält keine Bestimmung über die Prüfung der Frage, ob eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt oder eine Gruppe bilden möchte. Der Gesetzgeber hat diese Frage nicht in den § 7 Abs. 3 KStG umschrieben. Es kann daher offen bleiben, ob die Prüfung der Frage, ob eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt oder eine Gruppe bilden möchte, im Sinne des § 7 Abs. 3 KStG auch dann durchgeführt werden muss, wenn eine GmbH 60 % einer",Model 1 Inference,0.6447206,0.6328794,0.6387451
CORP-TAX-023,CORP-TAX-023,"Der Verlust ist als Sonderausgabe nach § 8 Abs. 4 Z 2 KStG abzugsfähig. Dieser sogenannte Verlustabzug steht im Ausmaß von 75 % des Gesamtbetrags der Einkünfte zu. Wenn im laufenden Jahr keine Gewinne erwirtschaftet werden und der Verlustabzug nich geltend gemacht werden kann, ist eine Weiterverrechnung im nächsten Jahr möglich. Einkommensermittlung nach § 7 Abs. 2/3 KStG. Zu prüfen: Mantelkauf (§ 8 Abs. 4 Z 2 lit. c) oder Gruppenbeziehung (§ 9 Abs. 6 Z 4 – Vorgruppenverluste) schränken die Verrechenbarkeit ein.","kurz auf Unsicherheit hin, statt zu raten. Benutzerfrage: Welche steuerlichen Schritte sind zu beachten, wenn eine GmbH nach einem Verlustjahr im Folgejahr wieder Gewinn erzielt? Antwort: Die Gesamtgewinne der beiden Jahre werden zusammen mit den einzelnen Steuern des Jahres 2013 und 2014 berechnet (Art. 5 Abs. 1 lit. a und b Einführungsgesetz). Der Steuersatz wird in der Regel auf den Steuerbetrag ausgerichtet, der für die gesamte Steuerperiode erhoben wurde (Art. 6 Abs. 1 Einführungsgesetz). Die Gesamtgewinne können auch dann nicht als Steuerbeträge betrachtet werden, wenn sie nur einen Teil der Gesamtgewinne der beiden Jahre darstellen. Der Steuerbetrag für die gesamte Steuerperiode kann aber auch nicht als Steuerb",Model 1 Inference,0.67000496,0.6829142,0.676398
CORP-TAX-024,CORP-TAX-024,"Das Wirtschaftsjahr, das sich grundsätzlich mit dem Kalenderjahr deckt (§ 7 Abs. 4 KStG). Rechnungslegungspflichtige Körperschaften und buchführende Land- und Forstwirte dürfen ein abweichendes Wirtschaftsjahr führen (§ 7 Abs. 5 KStG).","Beantworte die Frage auf Deutsch, praezise und sachlich. Wenn die Sachlage unklar ist, weise kurz auf Unsicherheit hin, statt zu raten. Benutzerfrage: Was ist der Gewinnermittlungszeitraum und kann davon abgewichen werden? Antwort: Die Gewinnrechtsdauer von 10 Jahren beginnt mit dem ersten Geschäftsjahr (Art. 2 Abs. 3 des Bundesgesetzes vom 6. Oktober 1984 über den Steuerpflichtigenvertrag [StG; SR 642.11]). Der Steuerpflichtige hat nach Art. 5 StG für die Dauer dieser Dauer eine gewisse Zeit zur Verfügung zu haben, um seine Rechte aus dem Steuerpflichtigenvertrag zu wahren. Er darf sich nicht in einem anderen Vertragsstaat verhalten als im vorliegenden Verfahren. Das gilt auch dann, wenn er sich bei einer Ausgleichskasse oder einer andere Steuerverwaltung befind",Model 1 Inference,0.61088526,0.6934698,0.64956313
CORP-TAX-025,CORP-TAX-025,"Sie bleiben außer Ansatz, soweit sie von Personen in ihrer Eigenschaft als Gesellschafter oder Mitglieder geleistet werden (§ 8 Abs. 1 KStG).",frage: Wie werden Einlagen und Beiträge von Gesellschaftern bei der Einkommensermittlung behandelt? Antwort: Die Einkommen und Vermögenswerte des Gesellschaftsvermögens sind in den Einnahmen aus dem Verkauf von Aktien und Aktiven sowie aus den Erträgen aus dem Verbrauch der Aktiengesellschaft (Art. 15 Abs. 2 lit. a und b) und aus den Erträgen aus dem Verbrauch der Aktiengesellschaft (Art. 15 Abs. 3 lit. c) umschrieben. Der Gesellschaft wird als solche mit einem Einkommen von Fr. 40'000.-- oder mehr bezeichnet. Für die Ermittlung der Einkommens- und Vermögenswertsumme gilt Art. 16 Abs. 1,Model 1 Inference,0.6352464,0.68402934,0.65873593
CORP-TAX-026,CORP-TAX-026,"Die 75 %-Grenze gilt nicht, wenn im Gesamtbetrag der Einkünfte Gewinne aus Sanierungen (§ 23a),in der Veranlagungszeit anfallen, die von einem Insolvenzverfahren betroffen sind, Veräußerungsgewinne von Betrieben oder Teilbetrieben, Liquidationsgewinne (§ 19) oder Nachversteuerungsbeträge nach § 9 Abs. 6 Z 7 KStG enthalten sind.","G nicht auf 75 % begrenzt? Antwort: Die Verlustabzahlung ist auf 100 % begrenzt (§ 8 Abs. 4 Z 2 lit. a KStG). Der Verlustabzug wird nur auf 75 % begrenzt, wenn der Verlust in einem bestimmten Zeitraum vor dem 31. Dezember des Jahres, in welchem der Steuernachweis erstellt wurde, erfolgt. Die Verlustabzahlung ist auf 100 % begrenzt, wenn der Verlust nach den Umständen des Einzelfalles vorliegt. Das gilt auch dann, wenn der Steuernachweis erst im Jahre nach dem 31. Dezember des Jahres, in welchem der Steuernachweis erstellt wurde",Model 1 Inference,0.6860815,0.6983225,0.6921479
CORP-TAX-027,CORP-TAX-027,"Unmittelbar mehr als 50 % des Grund-, Stamm- oder Genossenschaftskapitals und der Stimmrechte (§ 9 Abs. 4 KStG).","iligungsquote ist für die finanzielle Verbindung im Sinne des § 9 KStG erforderlich? Antwort: Die finanzielle Verbindung ist nur dann erforderlich, wenn der Betrag der finanziellen Leistungen (Kosten) über den Betrag der finanziellen Leistungspflicht (Lebensleistung) hinausgeht. Die finanzielle Leistungspflicht besteht aus dem Einkommen aus dem Steuernollektiv sowie aus dem Einkommen aus dem Steuersubventionsbetrag. Der Steuerpflichtige hat somit eine finanzielle Leistungspflicht von mindestens 10% des Einkommens aus dem Steuernollektiv und mindestens 5% des Einkommens aus dem Steuersubventionsbetrag zu erfüllen.",Model 1 Inference,0.61208504,0.697122,0.6518418
CORP-TAX-028,CORP-TAX-028,Während des gesamten Wirtschaftsjahres des jeweiligen Gruppenmitgliedes (§ 9 Abs. 5 KStG).,"weise kurz auf Unsicherheit hin, statt zu raten. Benutzerfrage: Wie lange muss die finanzielle Verbindung zu einem Gruppenmitglied bestehen? Antwort: 15 Jahre Die Schweiz ist der Auffassung, dass eine finanzielle Verbindung zwischen Mitgliedern einer Gemeinschaft mit dem Zweck, ihr gemeinsames Interesse zu erfüllen, nicht als solche gilt (vgl. BGE 97 I 208 E. 3 S. 214). Die Frage, ob eine finanzielle Verbindung zwischen Mitgliedern einer Gemeinschaft besteht, kann sich nach den Umständen des Einzelfalles beurteilen. Das Bundesgericht hat in BGE 68 II 199 ff. entschieden, dass eine finanzielle Verbindung zwischen Mitgliedern einer Gemeinschaft, welche das Ziel der Gemeinschaft erreichen will, nicht als sol",Model 1 Inference,0.55897564,0.67169726,0.61017424
