question,answer
Warum können § 10 KStG (Beteiligungsbefreiung) und § 12 Abs. 1 Z 10 KStG (Abzugsverbot für Lizenzgebühren) gleichzeitig auf denselben Konzern anwendbar sein?,"§ 10 KStG und § 12 Abs. 1 Z 10 KStG können gleichzeitig auf denselben Konzern anwendbar sein, weil § 10 KStG die Beteiligungsbefreiung für Konzernunternehmen regelt, während § 12 Abs. 1 Z 10 KStG das Abzugsverbot für Lizenzgebühren anwendet, die zwischen Konzernunternehmen ausgetauscht werden."
Welche Voraussetzungen müssen für eine internationale Schachtelbeteiligung erfüllt sein?,"Für eine internationale Schachtelbeteiligung müssen die folgenden Voraussetzungen erfüllt sein: Die Beteiligung muss an einer ausländischen Gesellschaft erfolgen, die nicht in einem EU-Mitgliedstaat ansässig ist, und die ausländische Gesellschaft muss mindestens 10% der Anteile an einer in Österreich ansässigen Gesellschaft halten."
Wie werden Veräußerungsgewinne aus internationalen Schachtelbeteiligungen grundsätzlich behandelt?,"Veräußerungsgewinne aus internationalen Schachtelbeteiligungen werden grundsätzlich nach § 9 KStG (Körperschaftsteuergesetz) behandelt. Hierbei wird die Beteiligung an der ausländischen Gesellschaft als Schachtelbeteiligung behandelt, wenn die ausländische Gesellschaft wiederum eine Beteiligung an einer weiteren ausländischen Gesellschaft hält."
Sind Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung als Betriebsausgabe abzugsfähig?,"Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung sind grundsätzlich als Betriebsausgaben abzugsfähig, wenn die Beteiligung im Rahmen einer gewerblichen oder freiberuflichen Tätigkeit erworben wurde."
Was ist der Unterschied zwischen § 11 KStG und § 12 KStG in Bezug auf den Betriebsausgabenabzug?,"Der § 11 KStG regelt den Betriebsausgabenabzug für Gewinne aus Gewerbebetrieb, während der § 12 KStG den Betriebsausgabenabzug für Verluste aus Gewerbebetrieb regelt."
Sind freiwillige Spenden zu gemeinnützigen Zwecken grundsätzlich abzugsfähig?,"Ja, freiwillige Spenden an gemeinnützige Organisationen sind grundsätzlich abzugsfähig, wenn die Spende an eine anerkannte gemeinnützige Organisation geleistet wird und die Spende nicht gegen steuerliche Vorschriften verstößt."
"Welche Aufwendungen sind bei einer GmbH steuerlich nicht oder nur teilweise abzugsfähig: (a) EU-Geldbuße, (b) Spende an begünstigten Empfänger, (c) Aufsichtsratsvergütung, (d) Lizenzgebühr an konzernzugehörige Gesellschaft mit 8 % Steuerbelastung?","(a) EU-Geldbuße: nicht abzugsfähig, da sie als Betriebsausgabe nicht anfallen kann. 
(b) Spende an begünstigten Empfänger: voll abzugsfähig, da sie als Spende an eine begünstigte Körperschaft anfallen kann. 
(c) Aufsichtsratsvergütung: nicht abzugsfähig, da sie als Betriebsausgabe nicht anfallen kann. 
(d) Lizenzgebühr an konzernzugehörige Gesellschaft mit 8 % Steuerbelastung: nur teilweise abzugsfähig, da die Lizenzgebühr nur in Höhe des tatsächlichen Aufwands abzugsfähig ist, der nicht durch die Steuerbelastung der konzernzugehörigen Gesellschaft gedeckelt ist."
Wann sind Lizenzgebühren an eine konzernzugehörige Gesellschaft nicht abzugsfähig?,"Lizenzgebühren an eine konzernzugehörige Gesellschaft sind nicht abzugsfähig, wenn sie nicht auf einer tatsächlichen Leistung beruhen, sondern nur auf einer Rechtsbeziehung zwischen den Konzerngesellschaften."
Nach welcher Methode ist der Gewinn bei rechnungslegungspflichtigen Körperschaften zu ermitteln?,Der Gewinn bei rechnungslegungspflichtigen Körperschaften ist nach der Umsatz- oder Einnahmen-Ausgaben-Rechnung (UER) zu ermitteln.
"Welche Aspekte der §§ 7–12 KStG sind zu prüfen, wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte?","Bei der Übernahme von 60 % einer anderen GmbH durch eine GmbH von einem konzernfremden Dritten ist insbesondere die Prüfung der Kontrollbedingungen nach § 7 KStG erforderlich, um festzustellen, ob eine Gruppe gebildet werden kann. Darüber hinaus ist die Anwendung des § 8 KStG zu prüfen, um zu bestimmen, ob die GmbH eine Tochtergesellschaft ist und ob die Gruppenbesteuerung anwendbar ist."
"Welche steuerlichen Schritte sind zu beachten, wenn eine GmbH nach einem Verlustjahr im Folgejahr wieder Gewinn erzielt?","Bei einer GmbH ist es ratsam, nach einem Verlustjahr im Folgejahr eine Gewinnverteilung vorzunehmen, um die Verlustvorträge auszuschöpfen. Dazu ist eine Gewinnverteilung auf die Gesellschafter vorzunehmen, wobei der Verlustvortrag auf die Gewinne des Folgejahres angerechnet wird."
Was ist der Gewinnermittlungszeitraum und kann davon abgewichen werden?,"Der Gewinnermittlungszeitraum für Einkünfte aus Gewerbebetrieb beträgt in der Regel ein Kalenderjahr. Abweichungen sind jedoch möglich, z.B. bei der Ermittlung von Einkünften aus Land- und Forstwirtschaft, bei der Ermittlung von Einkünften aus selbstständiger Arbeit oder bei der Ermittlung von Einkünften aus Vermietung und Verpachtung."
Wie werden Einlagen und Beiträge von Gesellschaftern bei der Einkommensermittlung behandelt?,"Einlagen und Beiträge von Gesellschaftern werden bei der Einkommensermittlung als Betriebsausgaben anerkannt, wenn sie nicht als Eigenkapital behandelt werden müssen. Sie können als Betriebsausgaben abgesetzt werden, wenn sie zur Aufnahme von Geschäften oder zur Erhaltung des Unternehmens verwendet werden."
Unter welchen Voraussetzungen ist der Verlustabzug gemäß § 8 Abs. 4 Z 2 lit. b KStG nicht auf 75 % begrenzt?,"Der Verlustabzug gemäß § 8 Abs. 4 Z 2 lit. b KStG ist nicht auf 75 % begrenzt, wenn der Verlust aus einer Betriebsaufgabe oder einer Betriebsveräußerung entsteht."
Welche Mindestbeteiligungsquote ist für die finanzielle Verbindung im Sinne des § 9 KStG erforderlich?,Die Mindestbeteiligungsquote für die finanzielle Verbindung im Sinne des § 9 KStG beträgt 25 %.
Wie lange muss die finanzielle Verbindung zu einem Gruppenmitglied bestehen?,"Die finanzielle Verbindung zu einem Gruppenmitglied muss für mindestens 12 Monate bestehen, um als Gruppenmitglied im Sinne des § 22 Abs. 1 BAO (Bundesabgabenordnung) anerkannt zu werden."
"Können Vorgruppenverluste des Gruppenträgers, die aus Teilwertabschreibungen auf Beteiligungen an Körperschaften einer anderen Unternehmensgruppe stammen, mit dem Gruppengewinn verrechnet werden?","Nein, Vorgruppenverluste des Gruppenträgers, die aus Teilwertabschreibungen auf Beteiligungen an Körperschaften einer anderen Unternehmensgruppe stammen, können nicht mit dem Gruppengewinn verrechnet werden, da es sich dabei um sog. ""außerhalb der Gruppe liegende"" Verluste handelt."
"Welche Konsequenz hat es, wenn eine österreichische Körperschaft in Österreich und in Deutschland unbeschränkt steuerpflichtig ist und als Gruppenträger fungieren möchte?","Eine österreichische Körperschaft, die in Österreich und Deutschland unbeschränkt steuerpflichtig ist, kann als Gruppenträger fungieren, wenn sie die Voraussetzungen des § 8 Abs. 1 KStG 1988 erfüllt. Dazu muss sie in beiden Ländern eine ordnungsgemäße Unternehmensbilanz führen und die Körperschaftsteuer in beiden Ländern abführen."
Was sind Vorgruppenverluste und wie werden sie innerhalb der Gruppe behandelt?,"Vorgruppenverluste sind Verluste, die in einer Tochtergesellschaft entstehen, bevor diese in die Gruppe einbezogen wird. Diese Verluste werden innerhalb der Gruppe behandelt, indem sie auf die Gewinne der anderen Gruppengesellschaften aufgeteilt werden, wobei die Verluste der Tochtergesellschaften zunächst auf die Gewinne der Muttergesellschaft aufgeteilt werden, bevor sie auf die Gewinne der anderen Tochtergesellschaften aufgeteilt werden."
"Welche Unterschiede bestehen bei der Verlustverrechnung zwischen einem inländischen und einem ausländischen Gruppenmitglied hinsichtlich Höhe, Grenze und Nachversteuerung?","Bei der Verlustverrechnung zwischen einem inländischen und einem ausländischen Gruppenmitglied gibt es folgende Unterschiede: 

- Die Höhe der Verlustverrechnung ist bei ausländischen Gruppenmitgliedern auf 10% des inländischen Gruppeneinkommens begrenzt, während es bei inländischen Gruppenmitgliedern keine Höchstgrenze gibt. 
- Die Nachversteuerung von Verlusten ausländischer Gruppenmitglieder unterliegt der sog. ""Verlustnachversteuerung nach § 10 Abs. 4 KStG"", bei inländischen Gruppenmitgliedern hingegen unterliegt die Nachversteuerung der Verluste der sog. ""Verlustnachversteuerung nach § 8 Abs. 4 KStG""."
Gilt die Einjahresfrist bei internationalen Schachtelbeteiligungen auch für Anteile aus Kapitalerhöhungen?,"Nein, die Einjahresfrist gilt nicht für Anteile aus Kapitalerhöhungen. Gemäß § 9 Abs. 1 Z 1 KStG gilt die Einjahresfrist nur für Anteile, die durch Veräußerung oder Erwerb von Anteilen an einer Körperschaft erworben werden."
"Welche Normen sind einschlägig, wenn eine Körperschaft eine internationale Schachtelbeteiligung veräußert und gleichzeitig Vorjahresverluste bestehen?",Die einschlägigen Normen sind § 6 Abs. 2 EStG 1988 und § 9 Abs. 4 EStG 1988. Diese Normen regeln die Behandlung von Verlusten aus internationalen Schachtelbeteiligungen und die Verlustverrechnung bei Vorjahresverlusten.
Hat eine Beteiligung von 8 % an einer deutschen GmbH Anspruch auf die internationale Schachtelbegünstigung? Ist die Dividende trotzdem steuerfrei?,"Eine Beteiligung von 8 % an einer deutschen GmbH hat in der Regel keinen Anspruch auf die internationale Schachtelbegünstigung, da diese nur für Beteiligungen von mindestens 10 % gilt. Die Dividende ist jedoch steuerfrei, wenn die deutsche GmbH in einem EU- oder EWR-Staat ansässig ist, da es sich um eine EU-Dividende handelt."
Welche Auswirkung hat die Option zur Steuerwirksamkeit einer Schachtelbeteiligung beim konzerninternen Weiterverkauf im Rahmen einer Umgründung?,"Bei einer Umgründung kann die Schachtelbeteiligung im Rahmen eines konzerninternen Weiterverkaufs steuerneutral umgewandelt werden, wenn die Voraussetzungen des § 1 Abs. 4 UmgrStG erfüllt sind. Dies ermöglicht es, die steuerliche Behandlung der Schachtelbeteiligung zu ändern, ohne dass dies zu einer steuerlichen Belastung führt."
Wann sind Gewinnanteile aus ausländischen Schachtelbeteiligungen trotz § 10 KStG steuerpflichtig?,"Gewinnanteile aus ausländischen Schachtelbeteiligungen sind steuerpflichtig, wenn sie in Österreich nicht steuerfrei sind, z.B. wenn die ausländische Gesellschaft nicht in einem Steuerfreistandort liegt oder wenn die Beteiligung nicht an einer inländischen Kapitalgesellschaft gehalten wird."
Welche körperschaftsspezifischen Aufwendungen gelten nach § 11 KStG als Betriebsausgaben?,"Nach § 11 KStG gelten körperschaftsspezifische Aufwendungen wie Verwaltungskosten, Verwaltungsaufwand, Verwaltungspersonalkosten, Verwaltungsmiete, Verwaltungskosten für Büroausstattung, Verwaltungskosten für Reisen und Verwaltungskosten für Werbung als Betriebsausgaben."
Welche Steuern sind nach § 12 KStG nicht als Betriebsausgaben abzugsfähig?,"Nach § 12 KStG sind keine Steuern als Betriebsausgaben abzugsfähig, da Steuern grundsätzlich nicht als Betriebsausgaben abzugsfähig sind."
Unter welchen Voraussetzungen sind Zinsen für konzerninterne Beteiligungsfinanzierungen nicht abzugsfähig?,"Zinsen für konzerninterne Beteiligungsfinanzierungen sind nicht abzugsfähig, wenn sie auf Darlehen an eine Tochtergesellschaft gezahlt werden, die nicht in Österreich ansässig ist und die Darlehen nicht in Österreich bestellt wurden."
In welchem Veranlagungsjahr wird der Gewinn eines abweichenden Wirtschaftsjahres erfasst?,"Der Gewinn eines abweichenden Wirtschaftsjahres wird im Veranlagungsjahr erfasst, in dem das Wirtschaftsjahr endet, das dem Veranlagungsjahr entspricht."
Wie wird das Einkommen einer Körperschaft berechnet und welche Abzüge sind vorgesehen?,"Das Einkommen einer Körperschaft wird nach § 4 Abs. 1 KStG berechnet, indem das Gesamtvermögen mit der Steuerquote multipliziert wird. Als Abzüge sind vorgesehen: 

- Betriebsausgaben und -abzüge (§ 4 Abs. 2 KStG)
- Verluste aus vorangegangenen Jahren (§ 4 Abs. 3 KStG)
- Verluste aus der Beteiligung an einer anderen Körperschaft (§ 8 KStG)
- Verluste aus der Beteiligung an einer Personengesellschaft (§ 9 KStG)
- Verluste aus der Beteiligung an einer ausländischen Körperschaft (§ 10 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 11 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 12 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 13 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 14 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 15 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 16 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 17 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 18 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 19 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 20 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 21 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 22 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 23 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 24 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 25 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 26 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 27 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 28 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 29 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 30 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 31 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 32 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 33 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 34 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 35 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 36 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 37 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 38 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 39 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 40 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 41 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 42 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 43 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 44 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 45 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 46 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 47 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 48 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 49 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 50 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 51 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 52 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 53 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 54 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 55 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 56 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 57 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 58 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 59 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 60 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 61 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 62 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 63 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 64 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 65 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 66 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 67 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 68 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 69 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 70 KStG)
- Verluste aus der Beteiligung an einer ausländischen Personengesellschaft (§ 71 KStG)
- Verluste aus der Beteiligung an einer ausländischen Betriebsstätte (§ 72 KStG)
- Verluste aus der Beteiligung an einer ausländischen Immobilien-Gesellschaft (§ 73 KStG)
- Verluste aus der Beteiligung an einer ausländischen Kapitalgesellschaft (§ 74 KStG)
- Verluste aus der Beteiligung an einer aus"
Welche Normen der §§ 7–12 KStG sind typischerweise bei der Überleitung vom Handelsbilanzgewinn zum steuerpflichtigen Einkommen einer rechnungslegungspflichtigen GmbH relevant?,"Typischerweise sind die Normen der §§ 7-12 KStG bei der Überleitung vom Handelsbilanzgewinn zum steuerpflichtigen Einkommen einer rechnungslegungspflichtigen GmbH insbesondere die Regelungen zum Gewinnabführungsklausel (§ 8 KStG), zur Gewinnverteilung (§ 9 KStG) und zur Gewinnverteilung bei Gesellschaftern mit mehr als 25% des Stammkapitals (§ 10 KStG) relevant."
"Hat die Art der Einkommensverwendung (Ausschüttung, Entnahme etc.) Einfluss auf die Einkommensermittlung?","Nein, die Art der Einkommensverwendung hat keinen Einfluss auf die Einkommensermittlung. Die Einkommensermittlung richtet sich nach den Einkünften aus den verschiedenen Einkunftsarten (z.B. Einkünfte aus Gewerbebetrieb, Einkünfte aus Vermietung und Verpachtung), unabhängig davon, wie diese Einkünfte verwendet werden."
Kann eine Körperschaft mit abweichendem Wirtschaftsjahr ihre Verlustvorträge unbegrenzt mit dem Jahresgewinn verrechnen?,"Nein, eine Körperschaft mit abweichendem Wirtschaftsjahr kann ihre Verlustvorträge nur bis zur Höhe des Gewinns des vorangegangenen Wirtschaftsjahres verrechnen."
Welche Gemeinsamkeiten und Unterschiede bestehen zwischen einem Mantelkauf (§ 8 KStG) und dem Verlust von Verlustvorträgen bei Ausscheiden aus einer Gruppe (§ 9 KStG)?,"Ein Mantelkauf (§ 8 KStG) und das Ausscheiden aus einer Gruppe (§ 9 KStG) haben gemeinsam, dass bei beiden Fällen Verlustvorträge aufgegeben werden müssen. Der Hauptunterschied liegt darin, dass bei einem Mantelkauf der Verlust aufgegeben werden muss, wenn der Mantelkauf innerhalb von 5 Jahren nach dem Kauf vorgenommen wird, während bei Ausscheiden aus einer Gruppe die Verlustvorträge aufgegeben werden müssen, wenn der Verlust innerhalb von 5 Jahren nach dem Ausscheiden entsteht."
Warum kann eine Körperschaft nach einem Mantelkauf ihre Verluste grundsätzlich nicht mehr nutzen – und welche Ausnahme gibt es?,"Eine Körperschaft kann nach einem Mantelkauf ihre Verluste grundsätzlich nicht mehr nutzen, da der Mantelkauf eine Umstrukturierung darstellt und die Verluste nicht mehr mit dem ursprünglichen Unternehmen verbunden sind. Die Ausnahme ist der sog. ""Verlustvortrag"" gemäß § 8 Abs. 5 KStG, der es ermöglicht, Verluste aus dem Mantelkauf auf 5 Jahre vorzutragen."
Welche Rückvergütungen von Erwerbs- und Wirtschaftsgenossenschaften gelten als Einkommensverwendung?,"Rückvergütungen von Erwerbs- und Wirtschaftsgenossenschaften gelten als Einkommensverwendung, wenn sie aufgrund von Arbeitsleistungen oder aufgrund von Geschäftsanteilen erfolgen."
"Was passiert steuerlich, wenn ein ausländisches Gruppenmitglied die Unternehmensgruppe verlässt und zuvor zugerechnete Verluste im Ausland noch nicht verrechnet wurden?","Wenn ein ausländisches Gruppenmitglied die Unternehmensgruppe verlässt, können die noch nicht verrechneten Verluste im Ausland nicht mehr in Österreich verrechnet werden. Die Verluste bleiben jedoch im Ausland steuerlich anrechenbar."
Welchen steuerlichen Vorteil bietet die Unternehmensgruppe gegenüber der isolierten Besteuerung?,"Die Unternehmensgruppe bietet den steuerlichen Vorteil der sog. ""Konsolidierung"", bei der Verluste aus einer Tochtergesellschaft auf die Muttergesellschaft übertragen werden können, um so die Steuerbelastung zu reduzieren. Dieser Vorteil ist jedoch nur möglich, wenn die Tochtergesellschaft mindestens 10% der Stimmrechte an der Muttergesellschaft hält."
"Welche Bestimmungen der §§ 7–12 KStG gelten für eine Unternehmensgruppe mit inländischem Gruppenträger, profitabler Inlandstochter, Verlusttochter im Inland (mit Vorgruppen verlusten) und Verlusttochter in der EU?","Für eine Unternehmensgruppe mit inländischem Gruppenträger, profitabler Inlandstochter und Verlusttochter im Inland gelten die §§ 7-12 KStG. Die Verlusttochter in der EU wird gemäß § 8 Abs. 4 KStG in die Gruppe einbezogen, wenn die EU-Tochter in die Gruppe einbezogen wird."
Kann eine Beteiligungsgemeinschaft als Gruppenträger fungieren und welche Mindestquoten gelten für die einzelnen Mitbeteiligten?,"Eine Beteiligungsgemeinschaft kann als Gruppenträger fungieren, wenn sie die Voraussetzungen des § 2 Abs. 2 EStG 1988 erfüllt. Die Mindestquoten für die einzelnen Mitbeteiligten betragen 10 % für natürliche Personen und 5 % für juristische Personen."
Gibt es für die Steuerfreiheit inländischer Beteiligungserträge eine Mindestbeteiligungsquote oder Haltefrist?,"Nein, es gibt keine Mindestbeteiligungsquote oder Haltefrist für die Steuerfreiheit inländischer Beteiligungserträge gemäß § 22 EStG."
Was ist die 'Option zur Steuerwirksamkeit' und wie wird sie ausgeübt?,"Die ""Option zur Steuerwirksamkeit"" ist eine Regelung im österreichischen Steuerrecht, die es Steuerpflichtigen ermöglicht, bei bestimmten Einkünften zwischen der Anwendung des Einkommensteuergesetzes und des Körperschaftsteuergesetzes zu wählen. Diese Option wird ausgeübt, indem der Steuerpflichtige innerhalb einer bestimmten Frist (in der Regel 6 Monate) eine entsprechende Erklärung bei der Finanzverwaltung abgibt."
