id,answer,retrieved_sources,retrieved_refs,retrieved_context;;;;;;;;;;;;;;;;;;;;
"CORP-TAX-011,Keine sicherge Answer im Kontext finden. | CORP-TAX.txt | § 26c,CORP-TAX.txt,§ 26c,""aufgedeckt und auf Antrag des Steuerpflichtigen gegenverrechnet werden. 3. Im Falle von Einlagen in mittelbar verbundene Körperschaften darf bei den Zwischenkörperschaften insoweit der niedrigere Teilwert nicht angesetzt werden, es sei denn, ein wirtschaftlicher Zusammenhang zwischen Einlagen und Ansatz des niedrigeren Teilwertes ist nachweislich nicht gegeben. Dasselbe gilt auch für unmittelbare Einlagen in Zwischenkörperschaften mit nachfolgender mittelbarer oder unmittelbarer Durchleitung an die Zielkörperschaft. Verluste bei einer Zwischenkörperschaft anlässlich der Veräußerung oder des sonstigen Ausscheidens der Beteiligung sind im Ausmaß der nicht abschreibbaren Einlagen nicht abzugsfähig. Beachte für folgende Bestimmung zum Bezugszeitraum vgl. § 26c Z 80 Zinsschranke""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-012,""Eine Dividende ausländischer EU-Tochtergegesellschaft mit 15% Beteilgung und seit zwei Jahren gehalten, würde ohne Doppelbesteatungsabkommen steuerlich als qualifizierte Portfolio-Beteiligung behandelt und führt zu keinem Methodenwechsels gemäß §10 Absatz 2 Satz 2 Österreich | CORP-TAX.txt | § 10"",CORP-TAX.txt,§ 10,""1. auf inländische Körperschaften, die aufgrund eines Doppelbesteuerungsabkommens im Ausland ansässig sind und 2. auf ausländische Betriebsstätten, auch wenn das Doppelbesteuerungsabkommen eine Befreiung vorsieht. (7) Zu einem Methodenwechsel kommt es bei internationalen Schachtelbeteiligungen im Sinne des § 10 Abs. 2 sowie bei Beteiligungen von mindestens 5%, deren Gewinnanteile unter § 10 Abs. 1 Z 5 oder 6 fallen (qualifizierte Portfoliobeteiligungen), wenn der Unternehmensschwerpunkt der niedrigbesteuerten ausländischen Körperschaft in der Erzielung von Passiveinkünften im Sinne des Abs. 2 liegt. Dabei gilt Folgendes: 1. Die Steuerbefreiung für Gewinnanteile gemäß § 10 Abs. 1 Z 5 bis 7 sowie die Steuerneutralität gemäß § 10 Abs. 3 kommen nicht zur Anwendung. 2. Ein Methodenwechsel unterbleibt insoweit, als Passiveinkünfte nachweislich bereits im Rahmen der Hinzurechnungsbesteuerung erfasst wurden.""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-013,Keine sicherge Answer im Kontext finden. | CORP-TAX.txt | § 26c,CORP-TAX.txt,§ 26c,""aufgedeckt und auf Antrag des Steuerpflichtigen gegenverrechnet werden. 3. Im Falle von Einlagen in mittelbar verbundene Körperschaften darf bei den Zwischenkörperschaften insoweit der niedrigere Teilwert nicht angesetzt werden, es sei denn, ein wirtschaftlicher Zusammenhang zwischen Einlagen und Ansatz des niedrigeren Teilwertes ist nachweislich nicht gegeben. Dasselbe gilt auch für unmittelbare Einlagen in Zwischenkörperschaften mit nachfolgender mittelbarer oder unmittelbarer Durchleitung an die Zielkörperschaft. Verluste bei einer Zwischenkörperschaft anlässlich der Veräußerung oder des sonstigen Ausscheidens der Beteiligung sind im Ausmaß der nicht abschreibbaren Einlagen nicht abzugsfähig. Beachte für folgende Bestimmung zum Bezugszeitraum vgl. § 26c Z 80 Zinsschranke""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-014,Keine sicherge Antworten im Kontext finden. | CORP-TAX.txt | § 10,CORP-TAX.txt,§ 10,""5. Entsteht eine internationale Schachtelbeteiligung durch die Sitzverlegung der Körperschaft, an der die Beteiligung besteht, in das Ausland, erstreckt sich die Steuerneutralität nicht auf den Unterschiedsbetrag zwischen dem Buchwert und dem höheren Teilwert im Zeitpunkt der Sitzverlegung. Geht eine internationale Schachtelbeteiligung, soweit für sie keine Option zugunsten der Steuerwirksamkeit erklärt worden ist, durch die Sitzverlegung der Körperschaft, an der die Beteiligung besteht, in das Inland unter, gilt der höhere Teilwert im Zeitpunkt der Sitzverlegung als Buchwert. (4) Von der Körperschaftsteuer nicht befreit sind Gewinnanteile im Sinne des § 10 Abs. 1 Z 5 bis 7, soweit sie bei der ausländischen Körperschaft abzugsfähig sind. Passiveinkünfte niedrigbesteuerter Körperschaften § 10a. (1) Erzielt eine niedrigbesteuerte ausländische Körperschaft Passiveinkünfte im Sinne des Abs. 2, sind""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-015,""Veräußerungsmustige Gewinne aus internationaler Schachtelbetätigung werden im Zeitpunkt Sitzverlehen als Buchwert betrachtet, unabhängig von ihrem tatsächlichen Wert. | CORP-TAX.txt | § 10"",CORP-TAX.txt,§ 10,""5. Entsteht eine internationale Schachtelbeteiligung durch die Sitzverlegung der Körperschaft, an der die Beteiligung besteht, in das Ausland, erstreckt sich die Steuerneutralität nicht auf den Unterschiedsbetrag zwischen dem Buchwert und dem höheren Teilwert im Zeitpunkt der Sitzverlegung. Geht eine internationale Schachtelbeteiligung, soweit für sie keine Option zugunsten der Steuerwirksamkeit erklärt worden ist, durch die Sitzverlegung der Körperschaft, an der die Beteiligung besteht, in das Inland unter, gilt der höhere Teilwert im Zeitpunkt der Sitzverlegung als Buchwert. (4) Von der Körperschaftsteuer nicht befreit sind Gewinnanteile im Sinne des § 10 Abs. 1 Z 5 bis 7, soweit sie bei der ausländischen Körperschaft abzugsfähig sind. Passiveinkünfte niedrigbesteuerter Körperschaften § 10a. (1) Erzielt eine niedrigbesteuerte ausländische Körperschaft Passiveinkünfte im Sinne des Abs. 2, sind""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-016,Keine sicherge Antwort im Kont ext gefunden. | CORP-TAX.txt | § 6,CORP-TAX.txt,§ 6,""– Als Firmenwert gilt der dem Beteiligungsausmaß entsprechende Unterschiedsbetrag zwischen dem handelsrechtlichen Eigenkapital der Beteiligungskörperschaft zuzüglich stiller Reserven im nicht abnutzbaren Anlagevermögen und den steuerlich maßgebenden Anschaffungskosten, höchstens aber 50% dieser Anschaffungskosten. Der abzugsfähige Firmenwert ist gleichmäßig auf 15 Jahre verteilt abzusetzen. – Insoweit von den Anschaffungskosten einer Beteiligung steuerwirksame Abschreibungen auf den niedrigeren Teilwert (§ 6 Z 2 lit. a des Einkommensteuergesetzes 1988) vorgenommen worden sind, ist der Firmenwert im ersten Jahr der Zugehörigkeit zur Unternehmensgruppe um den vollen Betrag der Teilwertabschreibung, saldiert mit erfolgten Zuschreibungen, zu kürzen. Offene Teilbeträge der Teilwertabschreibung sind unabhängig davon gem. § 12 Abs. 3 Z 2 weiter zu berücksichtigen.""";;;;;;;;;;;;;;;;;;;;
CORP-TAX-017,Keine sichre Antwort im Konticht gefunden. | CORP-TAX.txt | § 7 KStG,CORP-TAX.txt,§ 7 KStG,KStG § 7-12 CORP-TAX;;;;;;;;;;;;;;;;;;;;
"CORP-TAX-018,""Spenden zu gemeinnutznutzigen Zwecken sind abzugsfähig, wenn sie nicht nach §§ 4a EStG 1990 oder § 8a Z 1 abstreitbar sind. | CORP-TAX.txt | § 4a"",CORP-TAX.txt,§ 4a,""c) Verbandsgeldbußen nach dem Verbandsverantwortlichkeitsgesetz. d) Abgabenerhöhungen nach dem Finanzstrafgesetz. e) Leistungen aus Anlass eines Rücktrittes von der Verfolgung nach der Strafprozessordnung oder dem Verbandsverantwortlichkeitsgesetz (Diversion). 5. Aufwendungen zu gemeinnützigen, mildtätigen oder kirchlichen Zwecken und andere freiwillige Zuwendungen (Spenden), soweit sie nicht nach § 4a des Einkommensteuergesetzes 1988 oder nach § 8 Abs. 4 Z 1 abzugsfähig sind. 6. Die Steuern vom Einkommen und sonstige Personensteuern und die aus Anlass einer unentgeltlichen Grundstücksübertragung anfallende Grunderwerbsteuer, Eintragungsgebühren und andere Nebenkosten";" weiters die Umsatzsteuer, die auf nichtabzugsfähige Aufwendungen entfällt.""";;;;;;;;;;;;;;;;;;;
"CORP-TAX-019,Keine sichre Antwort im Kont-ext gefunden. | CORP-TAX.txt | § 2,CORP-TAX.txt,§ 2,""(3) Bei Steuerpflichtigen, die auf Grund der Rechtsform nach unternehmensrechtlichen Vorschriften zur Rechnungslegung verpflichtet sind, bei rechnungslegungspflichtigen Erwerbs- und Wirtschaftsgenossenschaften und bei vergleichbaren unbeschränkt steuerpflichtigen ausländischen Körperschaften sind alle Einkünfte (§ 2 Abs. 3 des Einkommensteuergesetzes 1988) den Einkünften aus Gewerbebetrieb (§ 23 Z 1 des Einkommensteuergesetzes 1988) zuzurechnen. Der Gewinn ist – bei vergleichbaren unbeschränkt steuerpflichtigen ausländischen Körperschaften und – bei Betrieben gewerblicher Art (§ 2), die nach unternehmensrechtlichen oder vergleichbaren Vorschriften zur Rechnungslegung verpflichtet sind und deren jeweilige Umsätze iSd § 125 Abs. 1 der Bundesabgabenordnung in zwei aufeinanderfolgenden Wirtschaftsjahren mehr als 700 000 Euro betragen, in sinngemäßer Anwendung von § 125 Abs. 3 und 4 der Bundesabgabenordnung,""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-020,Keine sichre Antwort im Kont-ext gefunden. | CORP-TAX.txt | nothing_found,CORP-TAX.txt,nothing_found,""c) Die Zinsen oder Lizenzgebühren unterliegen bei der empfangenden Körperschaft – aufgrund einer persönlichen oder sachlichen Befreiung keiner Besteuerung oder – einem Steuersatz von weniger als 15% oder – aufgrund einer auch dafür vorgesehenen Steuerermäßigung einer tatsächlichen Steuerbelastung von weniger als 15% oder – aufgrund einer Steuerrückerstattung einer Steuerbelastung von weniger als 15%, wobei auch eine Steuerrückerstattung an die Anteilsinhaber zu berücksichtigen ist.""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-021,Der Gewinn bei rechtsgültigem rechnungslegen des Jahresabschlusses der Körperteil muss nach derselfe Methode wie beim Konzernabrechnen ermittelt werden. | CORP-TAX.txt | nothing_found,CORP-TAX.txt,nothing_found,""2. Wurde der Jahresabschluss der Körperschaft nicht nach demselben Rechnungslegungsstandard wie im Konzernabschluss erstellt, hat eine Überleitung auf den für den Konzernabschluss geltenden Rechnungslegungsstandard zu erfolgen. Die Richtigkeit der Überleitungsrechnung ist auf Verlangen der Abgabenbehörde durch einen Wirtschaftsprüfer zu bestätigen. 3. Die Bewertung im Jahresabschluss der Körperschaft hat nach derselben Methode wie im Konzernabschluss zu erfolgen. (6) 1. Ein Zinsüberhang, der nach Maßgabe der Abs. 1 bis 5 im laufenden Wirtschaftsjahr nicht abgezogen werden kann, ist auf Antrag in darauffolgende Wirtschaftsjahre vorzutragen (Zinsvortrag). Dieser Zinsvortrag erhöht die Zinsaufwendungen im Sinne des Abs. 3 in den darauffolgenden Wirtschaftsjahren, nicht aber das steuerliche EBITDA im Sinne des Abs. 4.""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-022,""Die Aspekte § 7 bis § 12 KstG zu prü Fen, ob die erworbene GmbH als Gruppenmitteilin gerechnet werden kann, hängt davon ab, ob sie finanziell verbunden ist und in einem Mitgliedsland der EU oder einem Partnerland ansässigt ist. | CORP-TAX.txt | § 26c"",CORP-TAX.txt,§ 26c,""Beachte für folgende Bestimmung zum Bezugszeitraum vgl. § 26c Z 93 und 94 Unternehmensgruppen § 9. (1) Abweichend von § 7 können finanziell verbundene Körperschaften (Abs. 2 bis 5) nach Maßgabe des Abs. 8 eine Unternehmensgruppe bilden. Dabei wird das steuerlich maßgebende Ergebnis des jeweiligen Gruppenmitglieds (Abs. 6 und Abs. 7) dem steuerlich maßgebenden Ergebnis des beteiligten Gruppenmitglieds bzw. Gruppenträgers jenes Wirtschaftsjahres zugerechnet, in das der Bilanzstichtag des Wirtschaftsjahres des Gruppenmitgliedes fällt. (2) Gruppenmitglieder (als Beteiligungskörperschaften oder als beteiligte inländische Körperschaften) können sein: – unbeschränkt steuerpflichtige Kapitalgesellschaften und Erwerbs- und Wirtschaftsgenossenschaften, die unter § 7 Abs. 3 fallen, – vergleichbare nicht unbeschränkt steuerpflichtige Körperschaften, die – in einem Mitgliedstaat der Europäischen Union oder in einem Staat, mit dem eine umfassende Amtshilfe besteht, ansässig sind und""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-023,""Wenn eine GmbH nach Verlustjahren im Folgejahresgewinn erzielen sollte, müssen steuerlich relevant die Fünzehntelfristen reaktiviert und mögliche Werteänderungen berücksichtigt werden, insbesondere bei Veränderungen von Beteiligungsstrukturen. | CORP-TAX.txt | nothing_found"",CORP-TAX.txt,nothing_found,""– Die steuerlich berücksichtigten Fünfzehntelbeträge vermindern oder erhöhen den steuerlich maßgeblichen Buchwert. – Gehen Beteiligungen, auf die eine Firmenwertabschreibung vorgenommen wurde, umgründungsbedingt unter oder werden sie zur Abfindung der Anteilsinhaber der übertragenden Körperschaft verwendet, sind abgesetzte Fünfzehntelbeträge zum Umgründungsstichtag steuerwirksam nachzuerfassen, soweit der Nacherfassungsbetrag im Unterschiedsbetrag zwischen Buchwert und Verkehrswert der abgeschriebenen Beteiligung Deckung findet. Tritt an die Stelle der firmenwertabgeschriebenen Beteiligung umgründungsbedingt die Beteiligung an einer übernehmenden Körperschaft, hat die Nacherfassung erst dann zu erfolgen, wenn die Beteiligung an der übernehmenden Körperschaft umgründungsbedingt untergeht. (8) Die Gruppenbesteuerung erstreckt sich auf den Gruppenträger und die Gruppenmitglieder, die in einem schriftlichen Gruppenantrag genannt sind. Dabei gilt Folgendes:""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-024,""Der Gewinnermittungszeitrauf ist das Wirtshausjahrgleich mit dem Kalendersjaar, kann jedoch von diesem abgewichen sein, wenn bestimmte Bedingungen erfüllt sind. | CORP-TAX.txt | § 2"",CORP-TAX.txt,§ 2,""(4) Gewinnermittlungszeitraum ist das Wirtschaftsjahr. Das Wirtschaftsjahr deckt sich grundsätzlich mit dem Kalenderjahr. (5) Steuerpflichtige, die zur Rechnungslegung verpflichtet sind, und buchführende Steuerpflichtige, die eine Land- und Forstwirtschaft betreiben, dürfen ein vom Kalenderjahr abweichendes Wirtschaftsjahr haben";" in diesem Fall ist der Gewinn bei Ermittlung des Einkommens für jenes Kalenderjahr zu berücksichtigen, in dem das Wirtschaftsjahr endet. § 2 Abs. 6 und 7 des Einkommensteuergesetzes 1988 ist anzuwenden. Beachte für folgende Bestimmung Bezugszeitraum: Abs. 4 Z 2 lit. b erster Teilstrich ab 1.1.2021 (Veranlagungsjahr 2021) vgl. § 26c Z 82 Einlagen, Entnahmen und Einkommensverwendung""";;;;;;;;;;;;;;;;;;;
"CORP-TAX-025,""Die Einlagen und Bezüge von GesellsCHAFTERN als solche werden als Teilwertabschlüsse berücksichtigten, jedoch nur insoweit, wie sie den niedrigereren Teilwert betreffen. | CORP-TAX.txt | § 6"",CORP-TAX.txt,§ 6,""– Als Firmenwert gilt der dem Beteiligungsausmaß entsprechende Unterschiedsbetrag zwischen dem handelsrechtlichen Eigenkapital der Beteiligungskörperschaft zuzüglich stiller Reserven im nicht abnutzbaren Anlagevermögen und den steuerlich maßgebenden Anschaffungskosten, höchstens aber 50% dieser Anschaffungskosten. Der abzugsfähige Firmenwert ist gleichmäßig auf 15 Jahre verteilt abzusetzen. – Insoweit von den Anschaffungskosten einer Beteiligung steuerwirksame Abschreibungen auf den niedrigeren Teilwert (§ 6 Z 2 lit. a des Einkommensteuergesetzes 1988) vorgenommen worden sind, ist der Firmenwert im ersten Jahr der Zugehörigkeit zur Unternehmensgruppe um den vollen Betrag der Teilwertabschreibung, saldiert mit erfolgten Zuschreibungen, zu kürzen. Offene Teilbeträge der Teilwertabschreibung sind unabhängig davon gem. § 12 Abs. 3 Z 2 weiter zu berücksichtigen.""";;;;;;;;;;;;;;;;;;;;
"CORP-TAX-026,""Der Verlustab Zug gemäß §8 Abs.4 Z 2 lit.b KStG ist nicht auf 75% begrenzt, wenn eine Zuschreibun g oder stille Reserves anläßt lich der Verausserung oder eines anderen Ausscheidens steuerw irksam aufgedeut werden. | CORP-TAX.txt | § 6"",CORP-TAX.txt,§ 6,""2. Abzugsfähige Abschreibungen auf den niedrigeren Teilwert (§ 6 Z 2 lit. a des Einkommensteuergesetzes 1988) oder Verluste anläßlich der Veräußerung oder eines sonstigen Ausscheidens einer zum Anlagevermögen gehörenden Beteiligung sind im betreffenden Wirtschaftsjahr und den nachfolgenden sechs Wirtschaftsjahren zu je einem Siebentel zu berücksichtigen, soweit nicht – eine Zuschreibung erfolgt oder – stille Reserven anläßlich der Veräußerung oder eines sonstigen Ausscheidens der Beteiligung steuerwirksam aufgedeckt werden oder – im Wirtschaftjahr der Abschreibung oder des Verlustes stille Reserven anläßlich der Veräußerung oder eines sonstigen Ausscheidens einer anderen zum Anlagevermögen gehörenden von dieser Vorschrift nicht berührten Beteiligung steuerwirksam aufgedeckt und auf Antrag des Steuerpflichtigen gegenverrechnet werden.""";;;;;;;;;;;;;;;;;;;;
