Column1;Column2
Welche Voraussetzungen müssen für eine Einbringung nach Art. III UmgrStG erfüllt sein, damit der Verlustabzug gemäß § 21 UmgrStG auf die übernehmende Körperschaft übergeht?;Es müssen ein schriftlicher Einbringungsvertrag, eine Einbringungsbilanz (§ 15 UmgrStG) und eine Stichtagsbilanz (§ 12 Abs. 2 Z 1 UmgrStG) vorliegen. Die Einbringungsbilanz kann entfallen, wenn die steuerlich maßgebenden Werte und das Einbringungskapital im Einbringungsvertrag beschrieben werden.
Ist die Vorlage einer gesonderten Stichtagsbilanz für den gesamten Betrieb des Einbringenden zwingend erforderlich, wenn der gesamte Betrieb eingebracht wird?;Wird der gesamte Betrieb eingebracht, so erfüllt auch die Einbringungsbilanz nach Vornahme allenfalls notwendiger steuerlicher Anpassungen das Erfordernis des § 12 Abs. 2 Z 1 UmgrStG. Eine gesonderte Stichtagsbilanz ist nicht zwingend erforderlich.
Ist eine Einbringungsbilanz, die zu Verkehrswerten erstellt wurde, dennoch als Grundlage für eine Einbringung nach Art. III UmgrStG geeignet?;Ja, die Erstellung zu Verkehrswerten beeinträchtigt die Erfüllung der Anwendungsvoraussetzung nicht, wenn im Einbringungsvertrag die Abweichungen der unternehmensrechtlichen von den steuerlichen Werten beschrieben werden.
Sind Versuchsfahrzeuge, die ausschließlich zu Erprobungszwecken auf öffentlichen Straßen mit einer Sondergenehmigung betrieben werden und deren Rückbau in ein zulassungsfähiges Fahrzeug nur mit wirtschaftlich nicht vertretbarem Aufwand möglich ist, als Personenkraftwagen im Sinne des § 12 Abs. 2 Z 2 lit. b UStG 1994 zu qualifizieren?;Nein. Nach der Rechtsprechung des VwGH zu Rennfahrzeugen sind Versuchsfahrzeuge nicht als PKW zu qualifizieren, wenn sie nach ihrer wirtschaftlichen Zweckbestimmung nicht der Personen- oder Güterbeförderung dienen, keine Zulassungsfähigkeit für den regulären Straßenverkehr besteht und sie sich von üblichen PKW ganz wesentlich unterscheiden.
Kommt es für die Qualifikation eines Fahrzeugs als PKW nach § 12 Abs. 2 Z 2 lit. b UStG 1994 auf den Verwendungszweck im Einzelfall oder auf die typische Beschaffenheit und Bauart an?;Entscheidend ist der Zweck, dem das Fahrzeug nach seiner typischen Beschaffenheit und Bauart von vornherein und allgemein zu dienen bestimmt ist (wirtschaftliche Zweckbestimmung), nicht der Verwendungszweck im Einzelfall.
Verliert ein Fahrzeug seine Eigenschaft als PKW durch Umbauten, die es zu einem fahrenden Prüfstand machen?;Nach der Rechtsprechung verliert ein Fahrzeug mit dem typischen Erscheinungsbild eines PKW seine charakteristische Eigenschaft nicht durch bestimmte Umbauten, solange ein Rückbau möglich ist. Anders kann es sein, wenn ein Rückbau nur mit wirtschaftlich nicht vertretbarem Aufwand möglich ist und das Fahrzeug nicht für den regulären Verkehr zugelassen werden kann.
Spielt es für die Qualifikation als PKW eine Rolle, ob für das Fahrzeug eine Haftpflichtversicherung besteht?;Nein, der Abschluss einer Haftpflichtversicherung ist für Fahrzeuge, die auf öffentlichen Straßen getestet werden, nicht ungewöhnlich und kann kein Kriterium für das Vorliegen eines PKW sein.
Schuldet ein Unternehmer, der in einer Rechnung einen zu Unrecht ausgewiesenen Mehrwertsteuerbetrag auf Basis eines falschen Steuersatzes ausweist, diesen Betrag gemäß § 11 Abs. 12 UStG 1994 iVm Art. 203 MwStSystRL, wenn die Leistung ausschließlich an Nichtsteuerpflichtige (Endverbraucher) erbracht wurde?;Nach der Rechtsprechung des EuGH (C-378/21) schuldet der Steuerpflichtige den zu Unrecht in Rechnung gestellten Teil der Mehrwertsteuer nicht, wenn keine Gefährdung des Steueraufkommens vorliegt, weil die Dienstleistung ausschließlich an Endverbraucher erbracht wurde, die nicht zum Vorsteuerabzug berechtigt sind.
Ist bei der Beurteilung der Gefährdung des Steueraufkommens nach Art. 203 MwStSystRL darauf abzustellen, ob der Leistungsempfänger ein Steuerpflichtiger ist, der zum Vorsteuerabzug berechtigt sein könnte, oder ob er die Leistung für private Zwecke verwendet?;Eine Gefährdung des Steueraufkommens liegt vor, wenn der Empfänger einer fehlerhaften Rechnung (mehrwert)steuerpflichtig ist, und zwar selbst dann, wenn dieser Empfänger die betreffende Leistung möglicherweise für private Zwecke oder für sonstige nicht zum Vorsteuerabzug berechtigende Zwecke in Anspruch nimmt. Entscheidend ist die Eigenschaft als Steuerpflichtiger, nicht die tatsächliche Verwendung.
Kann die Steuerbehörde bei vereinfachter Rechnungslegung (Kleinbetragsrechnungen) den Anteil der Rechnungen schätzen, für die eine Steuerschuld kraft Rechnungslegung besteht?;Ja, eine Schätzung ist zulässig, sofern bei einer solchen Schätzung alle relevanten Umstände berücksichtigt werden und der Steuerpflichtige die Möglichkeit hat, die Ergebnisse in Frage zu stellen.
Kann die Steuerschuld kraft Rechnungslegung nach § 11 Abs. 12 UStG 1994 durch eine rückwirkende Rechnungsberichtigung beseitigt werden, wenn die Leistung an Endverbraucher erbracht wurde?;Nach der EuGH-Rechtsprechung ist eine Berichtigung nicht erforderlich, wenn keine Gefährdung des Steueraufkommens vorliegt. Eine formelle Rechnungsberichtigung ist in diesem Fall entbehrlich.
Kann ein Geschäftsführer einer GmbH nach § 9 BAO für Abgaben haften, die nach seinem Ausscheiden aus der Geschäftsführerfunktion bescheidmäßig festgesetzt und fällig werden, wenn die Abgabenpflicht auf einer Pflichtverletzung während seiner Funktionsperiode beruht?;Ja. Der Vertreter haftet auch für Abgabenausfälle, die nach Beendigung der Vertretertätigkeit eintreten, soweit diese auf vom Vertreter zu verantwortende Pflichtverletzungen während seiner Funktionsperiode zurückzuführen sind.
Endet die haftungsrelevante Zeitraum für einen Geschäftsführer mit der wirksamen Abberufung durch Gesellschafterbeschluss oder erst mit der Eintragung der Abberufung im Firmenbuch?;Die ordnungsgemäße Bestellung und Abberufung des Geschäftsführers einer GmbH ist sofort wirksam und von der Eintragung im Firmenbuch unabhängig. Der haftungsrelevante Zeitraum endet mit der wirksamen Abberufung.
Welche Pflichten des Vertreters können eine Haftung nach § 9 BAO auslösen, wenn die Abgaben nicht entrichtet werden können?;Zu den dem Vertreter auferlegten Pflichten zählen nicht nur die Verpflichtung zur Abgabenentrichtung, sondern auch Offenlegungs-, Wahrheits-, Buchführungs- und Erklärungspflichten im Interesse der Abgabenfestsetzung.
Ist für die Haftung des Geschäftsführers nach § 9 BAO erforderlich, dass die Abgabenforderung gegenüber der Primärschuldnerin bereits vor seinem Ausscheiden fällig geworden ist?;Nein, es genügt, dass die Abgabenpflicht auf einer Pflichtverletzung während seiner Funktionsperiode beruht, auch wenn die bescheidmäßige Festsetzung und Fälligkeit erst nach seinem Ausscheiden erfolgt.
Sind Strafverteidigungskosten grundsätzlich als Werbungskosten abziehbar?;Nein. Strafverteidigungskosten stellen grundsätzlich Kosten der privaten Lebensführung dar, da ihre auslösende Ursache im schuldhaften Verhalten des Steuerpflichtigen liegt.
Unter welchen ausnahmsweisen Voraussetzungen können Strafverteidigungskosten dennoch als Werbungskosten abzugsfähig sein?;Eine Abziehbarkeit kann bejaht werden, wenn der strafrechtliche Vorwurf ausschließlich und unmittelbar aus der beruflichen (betrieblichen) Sphäre des Steuerpflichtigen erklärbar und damit beruflich veranlasst ist. Dies ist insbesondere dann nicht der Fall, wenn eine persönliche Bereicherung des Steuerpflichtigen durch die Tat angestrebt wird.
Ist das Finanzamt oder das Bundesfinanzgericht an die tatsächlichen Feststellungen eines rechtskräftigen Strafurteils gebunden?;Ein rechtskräftiges Strafurteil entfaltet bindende Wirkung hinsichtlich der tatsächlichen Feststellungen, auf denen sein Schuldspruch beruht. Auch bei fehlender Rechtskraft kann die Übernahme der Feststellungen im Rahmen der Beweiswürdigung zulässig sein.
Sind Einkünfte aus einer strafbaren Handlung (z.B. Bestechungsgelder) als Einkünfte aus nichtselbständiger Arbeit zu qualifizieren?;Ja, auch rechtswidrige Vermögensvorteile, die ein Dienstnehmer in seiner Stellung als Dienstnehmer erlangt, stellen Einkünfte aus nichtselbständiger Arbeit dar.
Führt die Qualifikation von Bestechungsgeldern als Einkünfte aus nichtselbständiger Arbeit automatisch zur Abzugsfähigkeit der damit zusammenhängenden Strafverteidigungskosten als Werbungskosten?;Nein, die Strafverteidigungskosten sind nicht zur Erwerbung, Sicherung oder Erhaltung dieser Einnahmen aufgewendet, sondern dienen der Abwehr des strafrechtlichen Vorwurfs. Die private Veranlassung (Eigenbereicherung) überwiegt.
Kann eine Bescheidberichtigung nach § 293 BAO auch dann vorgenommen werden, wenn die Unrichtigkeit auf der Eintragung eines Betrages in eine falsche Kennzahl im elektronischen Veranlagungssystem beruht?;Ja. Ein solcher Fehler kann eine auf einem Eingabebogen bei einer falschen Kennziffer erfolgte Eintragung sein und fällt unter die 'ausschließlich auf dem Einsatz einer automationsunterstützten Datenverarbeitungsanlage beruhenden Unrichtigkeiten'.
Ist eine Berichtigung nach § 293 BAO zulässig, wenn die Unrichtigkeit auf einem Irrtum der Behörde bei der Auslegung des Gesetzes beruht?;Nein. § 293 BAO dient nicht dazu, Irrtümer der Behörde bei der Auslegung des Gesetzes zu berichtigen, sondern nur zur Beseitigung des infolge bestimmter Fehlerquellen gegen den Willen der Behörde entstandenen Auseinanderklaffens von Bescheidabsicht und formeller Erklärung des Bescheidwillens.
Innerhalb welcher Frist kann eine Berichtigung nach § 293 BAO vorgenommen werden, wenn die Verjährung bereits eingetreten ist?;Gemäß § 302 Abs. 2 lit. a BAO sind Berichtigungen nach § 293 innerhalb eines Jahres ab Rechtskraft des zu berichtigenden Bescheides zulässig, auch wenn sich dieses Jahr über die Verjährungsfrist (einschließlich der absoluten Verjährung) hinaus erstreckt.
Müssen Folgebescheide, die auf der Grundlage eines berichtigten Bescheides ergangen sind, gemäß § 295 Abs. 3 BAO abgeändert werden, wenn die Berichtigung nach § 293 BAO außerhalb der Verjährungsfrist der Folgebescheide erfolgt?;Eine Abänderung nach § 295 Abs. 3 BAO ist nur zulässig, wenn die Verjährung der Folgebescheide nicht eingetreten ist oder eine Ausnahme nach § 209a Abs. 2 BAO vorliegt. Wenn die Berichtigung nach § 293 BAO nach Eintritt der Verjährung der Folgebescheide erfolgt und keine Beschwerde mehr anhängig ist, steht die Verjährung der Abänderung entgegen.
Ist die wirtschaftliche Lage des Steuerpflichtigen bei der Ermessensentscheidung über eine Berichtigung nach § 293 BAO zu berücksichtigen?;Ja, bei der Ermessensübung sind Billigkeitsgründe, insbesondere die wirtschaftliche Lage des Abgabepflichtigen, zu berücksichtigen. Geringfügige Auswirkungen rechtfertigen in der Regel keine Berichtigung.
