question,answer
Wie hoch ist der Einkommensteuertarif nach § 33 EStG?,"Der Einkommensteuertarif ist progressiv gestaltet (§ 33 Abs. 1 EStG). Einkommen bis 12.816 Euro sind steuerfrei. Darüber steigen die Steuersätze stufenweise von 20 % auf bis zu 55 % für Einkommensteile über 1.000.000 Euro."
Was ist eine außergewöhnliche Belastung nach § 34 EStG?,"Außergewöhnliche Belastungen sind Aufwendungen, die außergewöhnlich sind, zwangsläufig erwachsen und die wirtschaftliche Leistungsfähigkeit wesentlich beeinträchtigen (§ 34 Abs. 1 EStG). Sie sind nach Abzug eines Selbstbehalts steuerlich absetzbar."
Was versteht man unter Einkünften aus Kapitalvermögen nach § 27 EStG?,"Einkünfte aus Kapitalvermögen umfassen Einkünfte aus der Überlassung von Kapital wie Zinsen und Dividenden (§ 27 Abs. 2 EStG), Einkünfte aus realisierten Wertsteigerungen (§ 27 Abs. 3 EStG) und Einkünfte aus Derivaten (§ 27 Abs. 4 EStG)."
Wie werden Kryptowährungen nach § 27b EStG besteuert?,"Einkünfte aus Kryptowährungen zählen zu den Einkünften aus Kapitalvermögen (§ 27b Abs. 1 EStG). Der besondere Steuersatz beträgt 27,5 %. Laufende Einkünfte wie Staking und Lending sowie realisierte Wertsteigerungen sind steuerpflichtig."
Welche Einkünfte fallen unter nichtselbständige Arbeit nach § 25 EStG?,"Einkünfte aus nichtselbständiger Arbeit umfassen Bezüge aus einem Dienstverhältnis (§ 25 Abs. 1 Z 1 EStG), Pensionen aus der gesetzlichen Sozialversicherung (§ 25 Abs. 1 Z 3 EStG) sowie Bezüge und Vorteile aus einem bestehenden oder früheren Dienstverhältnis."
Welche Umsätze unterliegen der Umsatzsteuer nach § 1 UStG?,"Der Umsatzsteuer unterliegen Lieferungen und sonstige Leistungen eines Unternehmers im Inland gegen Entgelt (§ 1 Abs. 1 Z 1 UStG), der Eigenverbrauch (§ 1 Abs. 1 Z 2 UStG) und die Einfuhr von Gegenständen (§ 1 Abs. 1 Z 3 UStG)."
Wer gilt als Unternehmer nach § 2 UStG?,"Unternehmer ist, wer eine gewerbliche oder berufliche Tätigkeit selbständig ausübt (§ 2 Abs. 1 UStG). Gewerblich oder beruflich ist jede nachhaltige Tätigkeit zur Erzielung von Einnahmen. Das Unternehmen umfasst die gesamte Tätigkeit des Unternehmers."
Was ist eine Lieferung nach § 3 UStG?,"Eine Lieferung liegt vor, wenn ein Unternehmer die Verfügungsmacht über einen Gegenstand verschafft (§ 3 Abs. 1 UStG). Werklieferungen und die Übertragung von Gegenständen im Kommissionsgeschäft gelten ebenfalls als Lieferung."
Wie bestimmt sich der Ort einer sonstigen Leistung nach § 3a UStG?,"Eine sonstige Leistung an einen Unternehmer wird an dem Ort ausgeführt, von dem aus der Empfänger sein Unternehmen betreibt (§ 3a Abs. 6 UStG). Leistungen an Nichtunternehmer werden grundsätzlich dort erbracht, wo der Unternehmer seinen Sitz hat (§ 3a Abs. 7 UStG)."
Wie hoch ist der Umsatzsteuersatz nach § 10 UStG?,"Der Normalsteuersatz beträgt 20 % (§ 10 Abs. 1 UStG). Der ermäßigte Steuersatz beträgt 10 % für bestimmte Lieferungen und Leistungen wie Nahrungsmittel, Bücher und Personenbeförderung (§ 10 Abs. 2 UStG)."
Welche Umsätze sind nach § 6 UStG steuerfrei?,"Steuerbefreit sind unter anderem Ausfuhrlieferungen (§ 6 Abs. 1 Z 1 UStG), Umsätze aus der Tätigkeit als Arzt (§ 6 Abs. 1 Z 19 UStG), Versicherungsumsätze (§ 6 Abs. 1 Z 13 UStG) und Umsätze von Kleinunternehmern (§ 6 Abs. 1 Z 27 UStG)."
Was ist der Vorsteuerabzug nach § 12 UStG?,"Der Unternehmer kann die von anderen Unternehmern in Rechnungen ausgewiesene Steuer als Vorsteuer abziehen, soweit die Leistungen für sein Unternehmen erbracht werden (§ 12 Abs. 1 Z 1 UStG). Voraussetzung ist eine ordnungsgemäße Rechnung nach § 11 UStG."
Welche Pflichtangaben muss eine Rechnung nach § 11 UStG enthalten?,"Eine Rechnung muss enthalten: Name und Anschrift des Leistenden und Empfängers, Menge und Bezeichnung, Entgelt, Steuerbetrag, Steuersatz, Ausstellungsdatum und fortlaufende Nummer (§ 11 Abs. 1 UStG). Kleinbetragsrechnungen bis 400 Euro haben vereinfachte Anforderungen."
Was ist die Kleinunternehmerbefreiung nach § 6 Abs. 1 Z 27 UStG?,"Unternehmer mit einem Jahresumsatz von nicht mehr als 35.000 Euro sind von der Umsatzsteuer befreit (§ 6 Abs. 1 Z 27 UStG). Sie dürfen allerdings keinen Vorsteuerabzug geltend machen. Auf die Befreiung kann verzichtet werden."
Wann entsteht die Steuerschuld nach § 19 UStG?,"Die Steuerschuld entsteht grundsätzlich mit Ablauf des Kalendermonats, in dem die Lieferung oder Leistung erbracht wird (§ 19 Abs. 2 Z 1 lit. a UStG). Bei Ist-Besteuerung entsteht sie mit Ablauf des Monats der Vereinnahmung."
Was regelt § 19 Abs. 1 UStG zum Reverse-Charge-Verfahren?,"Beim Reverse-Charge-Verfahren schuldet nicht der leistende Unternehmer, sondern der Leistungsempfänger die Umsatzsteuer (§ 19 Abs. 1 zweiter Satz UStG). Dies gilt unter anderem bei sonstigen Leistungen eines ausländischen Unternehmers."
Was versteht man unter einer verdeckten Ausschüttung im Sinne des KStG?,"Eine verdeckte Ausschüttung liegt vor, wenn ein Gesellschafter einen Vorteil aus der Körperschaft erhält, der einem fremden Dritten nicht gewährt würde (§ 8 Abs. 2 KStG). Die Zuwendung muss ihre Ursache im Gesellschaftsverhältnis haben. Verdeckte Ausschüttungen dürfen das Einkommen der Körperschaft nicht mindern."
Was ist der Verlustabzug nach § 8 Abs. 4 KStG?,"Verluste aus vorangegangenen Jahren können als Sonderausgaben abgezogen werden (§ 8 Abs. 4 Z 2 KStG). Der Verlustabzug ist grundsätzlich auf 75 % des Gesamtbetrags der Einkünfte beschränkt. Vortragsberechtigte Verluste müssen ordnungsgemäß ermittelt worden sein."
Was ist ein Mantelkauf nach § 8 Abs. 4 Z 2 lit. c KStG?,"Ein Mantelkauf liegt vor, wenn sich die organisatorische und wirtschaftliche Struktur einer Körperschaft wesentlich ändert und ein Wechsel der Gesellschafter stattfindet. In diesem Fall gehen die vorhandenen Verlustvorträge verloren (§ 8 Abs. 4 Z 2 lit. c KStG)."
Was besagt § 13 KStG über Privatstiftungen?,"Privatstiftungen unterliegen der Zwischenbesteuerung mit einem Steuersatz von 23 % (§ 13 Abs. 1 KStG). Zuwendungen an Begünstigte gelten als Einkünfte aus Kapitalvermögen und unterliegen der KESt. Die Körperschaftsteuer auf bestimmte Kapitaleinkünfte beträgt ebenfalls 23 %."
Wie werden Einkünfte aus Gewerbebetrieb nach § 23 EStG definiert?,"Einkünfte aus Gewerbebetrieb sind Einkünfte aus einer selbständigen, nachhaltigen Betätigung mit Gewinnabsicht, die sich als Beteiligung am allgemeinen wirtschaftlichen Verkehr darstellt (§ 23 Z 1 EStG). Sie fallen nicht unter Land- und Forstwirtschaft oder selbständige Arbeit."
Was regelt § 37 EStG zur Ermäßigung der Progression?,"§ 37 EStG sieht Begünstigungen für bestimmte Einkünfte vor, wie die Hälftesteuersatzbesteuerung für Veräußerungsgewinne (§ 37 Abs. 2 EStG) und die Verteilung auf drei Jahre bei zusammengeballten Einkünften (§ 37 Abs. 2 Z 1 EStG)."
Was ist der Investitionsfreibetrag nach § 11 EStG?,"Beim Investitionsfreibetrag können Steuerpflichtige 10 % der Anschaffungs- oder Herstellungskosten bestimmter Wirtschaftsgüter als Betriebsausgabe geltend machen (§ 11 Abs. 1 EStG). Für den Bereich Ökologisierung erhöht sich der Freibetrag auf 15 %."
Was versteht man unter Lohnsteuer gemäß §§ 47 ff EStG?,"Die Lohnsteuer ist eine besondere Erhebungsform der Einkommensteuer bei Einkünften aus nichtselbständiger Arbeit (§ 47 Abs. 1 EStG). Der Arbeitgeber ist verpflichtet, die Lohnsteuer vom Arbeitslohn einzubehalten und an das Finanzamt abzuführen."
Was sind sonstige Bezüge nach § 67 EStG?,"Sonstige Bezüge sind Zahlungen, die neben dem laufenden Arbeitslohn gewährt werden, wie das 13. und 14. Monatsgehalt (§ 67 Abs. 1 EStG). Die ersten 620 Euro der sonstigen Bezüge pro Kalenderjahr sind steuerfrei, der Rest wird mit 6 % besteuert."
Was ist die Kapitalertragsteuer nach § 93 EStG?,"Die Kapitalertragsteuer (KESt) ist eine besondere Erhebungsform der Einkommensteuer auf Kapitalerträge (§ 93 Abs. 1 EStG). Sie beträgt grundsätzlich 27,5 % und wird vom Schuldner der Kapitalerträge oder der auszahlenden Stelle einbehalten und abgeführt (§ 95 EStG)."
Wie funktioniert die Besteuerung von Grundstücksveräußerungen nach § 30 EStG?,"Private Grundstücksveräußerungen unterliegen der Einkommensteuer (§ 30 Abs. 1 EStG). Die Einkünfte ergeben sich aus dem Veräußerungserlös abzüglich der Anschaffungskosten. Der besondere Steuersatz beträgt 30 % (§ 30a Abs. 1 EStG)."
Was ist die Bemessungsgrundlage der Umsatzsteuer nach § 4 UStG?,"Die Bemessungsgrundlage für Lieferungen und sonstige Leistungen ist das Entgelt (§ 4 Abs. 1 UStG). Zum Entgelt gehört alles, was der Leistungsempfänger aufzuwenden hat, abzüglich der Umsatzsteuer selbst."
Was ist die Differenzbesteuerung nach § 24 UStG?,"Bei der Differenzbesteuerung wird die Umsatzsteuer nur auf die Differenz zwischen Verkaufs- und Einkaufspreis erhoben (§ 24 Abs. 1 UStG). Sie gilt für Wiederverkäufer beweglicher körperlicher Gegenstände, die ohne Vorsteuerabzug erworben wurden."
Was regelt § 16 UStG zur Änderung der Bemessungsgrundlage?,"Ändert sich die Bemessungsgrundlage für einen steuerpflichtigen Umsatz, so ist der Steuerbetrag entsprechend zu berichtigen (§ 16 Abs. 1 UStG). Dies gilt etwa bei Skonti, Rabatten, Rückgabe oder Uneinbringlichkeit des Entgelts."
Was versteht man unter Eigenverbrauch nach § 1 Abs. 1 Z 2 UStG?,"Eigenverbrauch liegt vor, wenn ein Unternehmer Gegenstände aus seinem Unternehmen für außerunternehmerische Zwecke entnimmt oder unentgeltlich Leistungen für unternehmensfremde Zwecke erbringt. Der Eigenverbrauch unterliegt der Umsatzsteuer."
Welche Steuersätze gelten nach § 10 Abs. 2 und 3 UStG?,"Neben dem Normalsteuersatz von 20 % kennt das UStG einen ermäßigten Satz von 10 % (§ 10 Abs. 2 UStG) für Grundnahrungsmittel, Bücher und Personenbeförderung, sowie einen Satz von 13 % (§ 10 Abs. 3 UStG) für bestimmte Kulturleistungen und Pflanzen."
Was regelt § 22 UStG zur Besteuerung land- und forstwirtschaftlicher Betriebe?,"Land- und forstwirtschaftliche Betriebe können ihre Vorsteuern nach Durchschnittssätzen berechnen (§ 22 Abs. 1 UStG). Die geschuldete Umsatzsteuer wird mit den pauschalen Vorsteuern verrechnet, sodass in der Regel keine Zahllast entsteht."
Wann beginnt und endet die Steuerpflicht einer Körperschaft nach § 4 KStG?,"Die Steuerpflicht beginnt mit der Erlangung der Rechtspersönlichkeit oder mit dem Beginn der tatsächlichen Geschäftsführung (§ 4 Abs. 1 KStG). Sie endet mit der Beendigung der Abwicklung oder mit dem Aufhören der Geschäftsleitung und des Sitzes im Inland."
Was sind Pensions- und Unterstützungskassen nach § 6 KStG?,"Pensions- und Unterstützungskassen sind von der Körperschaftsteuer befreit, wenn sie den Leistungsempfängern keinen Rechtsanspruch gewähren (§ 6 KStG). Voraussetzung ist, dass sie ausschließlich soziale Zwecke verfolgen."
Was regelt § 6a KStG über gemeinnützige Bauvereinigungen?,"Gemeinnützige Bauvereinigungen sind unter bestimmten Voraussetzungen von der Körperschaftsteuer befreit (§ 6a KStG). Die Befreiung gilt nur, solange die Bauvereinigung die Voraussetzungen des Wohnungsgemeinnützigkeitsgesetzes erfüllt."
Welche Mindestbeteiligung ist für eine Unternehmensgruppe nach § 9 KStG erforderlich?,"Für die finanzielle Verbindung in einer Unternehmensgruppe ist eine unmittelbare Beteiligung von mehr als 50 % am Grund- oder Stammkapital des Gruppenmitglieds erforderlich (§ 9 Abs. 4 KStG). Die Beteiligung muss während des gesamten Wirtschaftsjahres bestehen."
Wie werden ausländische Gruppenmitglieder nach § 9 KStG behandelt?,"Verluste ausländischer Gruppenmitglieder können dem Gruppenträger nur insoweit zugerechnet werden, als sie im Ausland nicht verwertet werden (§ 9 Abs. 6 Z 6 KStG). Werden die Verluste im Ausland nachträglich verwertet, ist eine Nachversteuerung vorzunehmen."
Was regelt § 10a KStG über Passiveinkünfte niedrig besteuerter Körperschaften?,"§ 10a KStG enthält die Hinzurechnungsbesteuerung für passive Einkünfte von ausländischen Körperschaften, die einer Besteuerung von weniger als 12,5 % unterliegen. Die Einkünfte werden dem österreichischen Anteilseigner zugerechnet."
Welche Sondervorschriften gelten nach § 14 KStG für Kreditinstitute?,"Kreditinstitute können eine Haftrücklage bilden, die als Betriebsausgabe abzugsfähig ist (§ 14 KStG). Die Rücklage dient der Absicherung besonderer Risiken des Bankgeschäfts."
Was passiert steuerlich bei Auflösung einer Körperschaft nach § 19 KStG?,"Bei Auflösung und Abwicklung einer Körperschaft ist ein Abwicklungszeitraum zu bilden, der grundsätzlich drei Jahre nicht übersteigen soll (§ 19 Abs. 1 KStG). Der Abwicklungsgewinn ergibt sich aus dem Abwicklungs-Endvermögen abzüglich des Abwicklungs-Anfangsvermögens."
Welche Einkünfte unterliegen der beschränkten Körperschaftsteuerpflicht nach § 21 KStG?,"Beschränkt steuerpflichtige Körperschaften unterliegen nur mit bestimmten inländischen Einkünften der Körperschaftsteuer (§ 21 Abs. 1 KStG). Dazu zählen unter anderem Einkünfte aus inländischem Grundbesitz und aus inländischen Betriebsstätten."
Was ist der Freibetrag für begünstigte Zwecke nach § 23 KStG?,"Körperschaften, die gemeinnützige oder mildtätige Zwecke verfolgen, können einen Freibetrag von 10.000 Euro geltend machen (§ 23 Abs. 1 KStG). Der Freibetrag wird vom steuerpflichtigen Einkommen abgezogen."
Wie werden Sanierungsgewinne nach § 23a KStG behandelt?,"Sanierungsgewinne, die durch den Erlass von Schulden im Rahmen eines Insolvenzverfahrens entstehen, bleiben bis zur Höhe des Sanierungsgewinns steuerfrei (§ 23a KStG). Die Befreiung soll die Sanierung notleidender Unternehmen erleichtern."
Was versteht man unter Gewinn nach § 4 EStG?,"Gewinn ist der Unterschiedsbetrag zwischen dem Betriebsvermögen am Schluss des Wirtschaftsjahres und dem Betriebsvermögen am Schluss des vorangegangenen Wirtschaftsjahres (§ 4 Abs. 1 EStG). Einlagen sind hinzuzurechnen, Entnahmen abzuziehen."
Was regelt § 4a EStG über Spendenbegünstigungen?,"Spenden an bestimmte begünstigte Einrichtungen sind als Betriebsausgaben abzugsfähig (§ 4a EStG). Die Einrichtungen müssen in einer Liste des Finanzministeriums aufgeführt sein. Die Abzugsfähigkeit ist mit 10 % des Gewinns begrenzt."
Wie funktioniert die Bewertung von Wirtschaftsgütern nach § 6 EStG?,"Wirtschaftsgüter des Anlagevermögens sind mit den Anschaffungs- oder Herstellungskosten anzusetzen, vermindert um die AfA (§ 6 Z 1 EStG). Wirtschaftsgüter des Umlaufvermögens sind mit den Anschaffungs- oder Herstellungskosten oder dem niedrigeren Teilwert anzusetzen (§ 6 Z 2 EStG)."
Was sind Rückstellungen nach § 9 EStG?,"Rückstellungen können für ungewisse Verbindlichkeiten und drohende Verluste aus schwebenden Geschäften gebildet werden (§ 9 Abs. 1 EStG). Sie sind mit dem Teilwert anzusetzen und müssen abgezinst werden, wenn die Laufzeit mehr als zwölf Monate beträgt."
Was sind geringwertige Wirtschaftsgüter nach § 13 EStG?,"Abnutzbare Wirtschaftsgüter des Anlagevermögens mit Anschaffungskosten von nicht mehr als 1.000 Euro können im Jahr der Anschaffung sofort als Betriebsausgabe abgesetzt werden (§ 13 EStG). Sie müssen nicht über die Nutzungsdauer verteilt werden."
Was regelt § 14 EStG zur Vorsorge für Abfertigungen?,"Abfertigungsrückstellungen nach dem alten System sind aufzulösen, soweit sie das System der Mitarbeitervorsorgekasse übersteigen (§ 14 EStG). Für das neue System zahlt der Arbeitgeber 1,53 % der Bruttobezüge in die Mitarbeitervorsorgekasse ein."
Wie werden Einnahmen nach § 15 EStG definiert?,"Einnahmen sind alle Güter, die dem Steuerpflichtigen im Rahmen einer Einkunftsart zufließen (§ 15 Abs. 1 EStG). Geldwerte Vorteile gelten ebenfalls als Einnahmen und sind mit dem üblichen Mittelpreis des Verbrauchsorts anzusetzen (§ 15 Abs. 2 EStG)."
Was regelt § 19 EStG zur zeitlichen Zuordnung?,"Einnahmen sind in dem Kalenderjahr anzusetzen, in dem sie zugeflossen sind (§ 19 Abs. 1 EStG). Ausgaben sind in dem Kalenderjahr abzusetzen, in dem sie geleistet worden sind. Regelmäßig wiederkehrende Einnahmen und Ausgaben können dem wirtschaftlich zugehörigen Zeitraum zugeordnet werden."
Wie werden Einkünfte aus Vermietung und Verpachtung nach § 28 EStG ermittelt?,"Einkünfte aus Vermietung und Verpachtung umfassen die Vermietung von Grundstücken und die Verpachtung von Betrieben (§ 28 Abs. 1 EStG). Der Überschuss der Einnahmen über die Werbungskosten bildet die Einkünfte. AfA für Gebäude beträgt grundsätzlich 1,5 % jährlich."
Was sind sonstige Einkünfte nach § 29 EStG?,"Sonstige Einkünfte umfassen unter anderem wiederkehrende Bezüge wie Renten (§ 29 Z 1 EStG), Einkünfte aus privaten Grundstücksveräußerungen (§ 29 Z 2 EStG) und Einkünfte aus Leistungen wie Gelegenheitsgeschäften (§ 29 Z 3 EStG)."
Was regelt § 35 EStG für Menschen mit Behinderungen?,"Steuerpflichtigen mit einer Behinderung steht ein Freibetrag bei der Einkommensteuer zu (§ 35 Abs. 1 EStG). Die Höhe richtet sich nach dem Grad der Behinderung. Ab 25 % Behinderung gibt es jährliche Pauschalbeträge zwischen 124 und 726 Euro."
Welche Steuerabsetzbeträge sieht § 33 EStG vor?,"§ 33 EStG sieht verschiedene Absetzbeträge vor: Alleinverdienerabsetzbetrag (§ 33 Abs. 4 Z 1 EStG), Alleinerzieherabsetzbetrag (§ 33 Abs. 4 Z 2 EStG), Verkehrsabsetzbetrag (§ 33 Abs. 5 EStG) und den Familienbonus Plus (§ 33 Abs. 3a EStG)."
Wie wird der Familienbonus Plus berechnet?,"Der Familienbonus Plus beträgt bis zum 18. Lebensjahr des Kindes 166,68 Euro pro Monat und danach 54,18 Euro pro Monat (§ 33 Abs. 3a EStG). Er wird als Absetzbetrag von der Einkommensteuer abgezogen und kann zwischen den Elternteilen aufgeteilt werden."
Was versteht man unter selbständiger Arbeit nach § 22 EStG?,"Einkünfte aus selbständiger Arbeit umfassen die Ausübung der freien Berufe wie Ärzte, Rechtsanwälte, Architekten und Steuerberater (§ 22 Z 1 EStG). Auch die Tätigkeit als staatlich befugter Ziviltechniker fällt darunter."
Was regelt § 24 EStG über Veräußerungsgewinne?,"Veräußerungsgewinne aus der Veräußerung oder Aufgabe eines Betriebs unterliegen der Einkommensteuer (§ 24 Abs. 1 EStG). Ein Freibetrag von 7.300 Euro steht zu. Bei Veräußerung nach dem 60. Lebensjahr und Einstellung der Tätigkeit gibt es weitere Begünstigungen."
Was ist die Immobilienertragsteuer nach § 30b EStG?,"Die Immobilienertragsteuer beträgt 30 % der Einkünfte aus privaten Grundstücksveräußerungen (§ 30b Abs. 1 EStG). Sie wird vom Parteienvertreter im Wege der Selbstberechnung erhoben und an das Finanzamt abgeführt."
Wie werden Zulagen und Zuschläge nach § 68 EStG behandelt?,"Zuschläge für Sonntags-, Feiertags- und Nachtarbeit sowie Schmutz-, Erschwernis- und Gefahrenzulagen sind bis zu bestimmten Höchstbeträgen steuerfrei (§ 68 Abs. 1 und 5 EStG). Die Steuerfreiheit gilt nur für tatsächlich geleistete Überstunden."
Was regelt § 108a EStG zur Forschungsprämie?,"Die Forschungsprämie beträgt 14 % der Aufwendungen für Forschung und experimentelle Entwicklung (§ 108c EStG). Sie wird als Gutschrift am Abgabenkonto des Steuerpflichtigen wirksam und steht sowohl Einzelunternehmen als auch Körperschaften zu."
Was ist die Voranmeldung nach § 21 UStG?,"Der Unternehmer hat für jeden Voranmeldungszeitraum eine Voranmeldung abzugeben und die sich ergebende Vorauszahlung zu entrichten (§ 21 Abs. 1 UStG). Der Voranmeldungszeitraum ist grundsätzlich der Kalendermonat."
Was regelt § 5 UStG zur Bemessungsgrundlage beim Eigenverbrauch?,"Die Bemessungsgrundlage beim Eigenverbrauch richtet sich nach dem Einkaufspreis oder den Selbstkosten zum Zeitpunkt des Eigenverbrauchs (§ 5 Abs. 1 UStG). Bei sonstigen Leistungen sind die Ausgaben als Bemessungsgrundlage heranzuziehen."
Was ist eine Ausfuhrlieferung nach § 7 UStG?,"Eine Ausfuhrlieferung liegt vor, wenn der Gegenstand in das Drittlandsgebiet befördert oder versendet wird (§ 7 Abs. 1 UStG). Die Steuerbefreiung setzt voraus, dass der Gegenstand tatsächlich das Gemeinschaftsgebiet verlassen hat."
Welche Aufzeichnungspflichten gelten nach § 18 UStG?,"Der Unternehmer ist verpflichtet, Aufzeichnungen über die vereinbarten Entgelte, die Bemessungsgrundlagen und die darauf entfallenden Steuerbeträge zu führen (§ 18 Abs. 1 UStG). Die Aufzeichnungen müssen eine ordnungsgemäße Besteuerung sicherstellen."
Was regelt § 25 UStG zu besonderen Besteuerungsformen?,"§ 25 UStG ermöglicht besondere Besteuerungsformen, insbesondere die Besteuerung im Abzugsverfahren und die Pauschalierung. Diese Regelungen vereinfachen die Besteuerung in bestimmten Fällen."
