task_id,row_key,prompt,answer,reference_answer,sources,correctness_score,groundedness_score,legal_reasoning_score,completeness_score,comprehension_score,hallucination_flag,grounding_citations,comments
11,8edc10ff63770896,Welche Einschränkung gilt für den Betriebsausgabenabzug bei nur teilweise steuerpflichtigen Körperschaften?,: Welche Einschränkung gilt für den Betriebsausgabenabzug bei nur teilweise steuerpflichtigen Körperschaften? Antwort: Die Einschränkung der Steuern für die Betriebsausgaben besteht nicht. Sie liegt im Rahmen des Steuersubjekts (Art. 1 Abs. 2 lit. a Einführungsgesetz).,"Aufwendungen dürfen nur insoweit abgezogen werden, als sie mit steuerpflichtigen Erträgen in unmittelbarem wirtschaftlichen Zusammenhang stehen (§ 11 Abs. 2 KStG).",§ 11 Abs. 2 KStG 1988,0,0,0,1,2,1,"„Ist eine nach § 5 oder nach anderen Bundesgesetzen befreite Körperschaft zum Teil unbeschränkt steuerpflichtig, dürfen bei der Ermittlung der Einkünfte Aufwendungen und Ausgaben nur insoweit abgezogen werden, als sie mit steuerpflichtigen Erträgen und Einnahmen in unmittelbarem wirtschaftlichen Zusammenhang stehen.“","Die Antwort sagt fälschlich, dass keine Einschränkung besteht, und verweist auf eine nicht passende Rechtsgrundlage. Nach der Quelle ist der Abzug gerade nur bei unmittelbarem Zusammenhang mit steuerpflichtigen Erträgen möglich."
12,9069f749d424c1fa,"Ein in Spanien lebender Berater hat in Österreich weder Wohnsitz noch gewöhnlichen Aufenthalt. Wenn seine inländischen Einkünfte wegfallen, endet dann grundsätzlich auch die beschränkte Steuerpflicht?","Der Berater, der in Spanien lebt und in Österreich keinen Wohnsitz oder gewöhnlichen Aufenthalt hat, wird in der Regel keine beschränkte Steuerpflicht in Österreich haben, da er keine Einkünfte in Österreich erwirtschaftet.  Die Regelung in der vorliegenden Textstelle (§ 1a) gilt nur für Personen, die aus dem Ausland zuz","Ja. Nach EStR 2000 Rz 27 beginnt die beschränkte Steuerpflicht mit dem Erzielen inländischer Einkünfte und endet mit dem Wegfall der inländischen Einkünfte, dem Eintritt in die unbeschränkte Steuerpflicht oder dem Tod.",EStR 2000 Rz 27,2,1,2,2,3,1,"„Steuerpflichtige, die im Inland weder über einen Wohnsitz noch über einen gewöhnlichen Aufenthalt verfügen, sind beschränkt steuerpflichtig, wenn sie Inlandseinkünfte iSd § 98 EStG 1988 erzielen.“
„Die (beschränkte) Steuerpflicht endet mit dem Wegfall der inländischen Einkünfte, dem Eintritt in die unbeschränkte Steuerpflicht oder dem Tod des beschränkt Steuerpflichtigen.“","Die Antwort erkennt teilweise, dass ohne inländische Einkünfte keine beschränkte Steuerpflicht besteht. Sie verweist aber auf eine nicht passende Regelung „§ 1a“ und beantwortet die eigentliche Frage nach dem Ende der Steuerpflicht nur indirekt. Wegen der falschen Rechtsgrundlage ist sie hallucinated."
13,907a2a73c200b0ef,"Ein Manager erhält bei seinem Ausscheiden eine freiwillige Abgangsentschädigung. Er behauptet, dies sei kein ""Lohn"", da er zum Zeitpunkt der Auszahlung gar nicht mehr arbeitet. Sind solche Bezüge steuerpflichtig?","Ja, Abgangsentschädigungen, auch wenn der Arbeitgeber und der Arbeitnehmer sich darüber einigen, dass es sich nicht um Lohndarleistungen handelt, steuerpflichtig sind. Sie werden gemäß § 7 Abs. 1 Nr. 1 KStG als Einkommen angesehen. Insbesondere gilt § 8 Abs. 1 KStG, wonach die Einkommensteuer auf das gesamte Einkommen des Steuerpflichtigen zu entrichten ist. Der Paragraph weist keinen speziellen Regelungschlussel auf, deshalb ist kein zusätzlicher Paragraphenverweis notwendig.","Ja. Zu den Einkünften aus nichtselbständiger Arbeit gehören auch Bezüge und Vorteile aus einem früherenDienstverhältnis. Die Abfindung ist somit als nachträglicher Bezug steuerpflichtig, wobei für die Versteuerung oft begünstigte Sätze (z.B. Sechstelbegünstigung) zur Anwendung kommen.",§ 25 Abs. 1 Z 1 lit. a EStG,2,1,2,2,3,1,"„Einkünfte aus nichtselbständiger Arbeit (Arbeitslohn) sind: Bezüge und Vorteile aus einem bestehenden oder früheren Dienstverhältnis.“ „Bei den Einkünften im Sinne des Abs. 1 ist es unmaßgeblich, ob es sich um einmalige oder laufende Einnahmen handelt.“","Die Antwort kommt zwar zum Ergebnis, dass die Abgangsentschädigung steuerpflichtig ist, begründet es aber mit falschen KStG-Verweisen statt mit § 25 EStG. Der zentrale Punkt, dass auch Bezüge aus einem früheren Dienstverhältnis erfasst sind, fehlt. Wegen der falschen Rechtsgrundlagen ist sie hallucinated."
14,9190c4ef9e54d509,Binnen welcher Frist muss ein steuerpflichtiger Erwerbsvorgang dem Finanzamt angezeigt werden?,"Absatz eins, Paragraph zwei bis sieben. Der Steuerpflichtige kann den Vorgang anzeigen lassen und auf Verlangen des Finanzamtes eine Anzeige erstatten ( Abs. 2). Die Meldung ist mit einem Hinweis versehen (§ 8 Z 1), der die Ordnungsmäßigkeitsprüfung gemäß",Gemäß § 10 Abs. 1 GrEStG ist jeder steuerpflichtige Erwerbsvorgang bis zum 15. Tag des auf das Entstehen der Steuerschuld zweitfolgenden Monats beim Finanzamt anzuzeigen (sofern keine Selbstberechnung durch Notar/Anwalt erfolgt).,§ 10 Abs. 1 GrEStG 1987,0,0,0,1,1,1,"„Erwerbsvorgänge, die diesem Bundesgesetz unterliegen, sind bis zum 15. Tag des auf den Kalendermonat, in dem die Steuerschuld entstanden ist, zweitfolgenden Monats beim Finanzamt Österreich mit einer Abgabenerklärung anzuzeigen.“",Die Antwort nennt die gesetzliche Frist nicht und bleibt sprachlich kaum verständlich. Der maßgebliche 15. Tag des zweitfolgenden Monats fehlt vollständig; stattdessen werden unklare und nicht passende Verweise genannt.
15,91a3471ca85df5d1,"Eine Bank bietet ihren Kunden ein Paket an, das Depotführung, Verwahrung der Wertpapiere, laufende administrative Verwaltung und die Durchführung von Kauf und Verkauf derselben Wertpapiere umfasst. Die Bank macht geltend, es handle sich um einen einheitlichen Finanzumsatz im Zusammenhang mit Wertpapieren. Zu untersuchen ist, welche Bestandteile von der Befreiung erfasst werden und welche nicht.","ören Einkünfte aus der Veräußerung, die Verkauf und die Verwaltung von Kryptowährungen.","Nicht das gesamte Paket ist steuerfrei. Umsätze im Geschäft mit Wertpapieren können steuerfrei sein, die Verwahrung und Verwaltung von Wertpapieren sind jedoch ausdrücklich ausgenommen. Diese Leistungen bleiben daher auch dann steuerpflichtig, wenn sie zusammen mit begünstigten Wertpapierumsätzen angeboten werden.",§ 6 Abs. 1 Z 8 lit. f UStG 1994,0,0,0,1,1,1,"„die Umsätze im Geschäft mit Wertpapieren und die Vermittlung dieser Umsätze, ausgenommen die Verwahrung und Verwaltung von Wertpapieren“",Die Antwort hat keinen Bezug zur Frage und spricht stattdessen von Kryptowährungen. Sie unterscheidet nicht zwischen steuerfreien Wertpapierumsätzen und der ausdrücklich ausgenommenen Verwahrung und Verwaltung. Daher ist sie inhaltlich falsch und hallucinated.
16,91ab8aee3b11a004,"Ein Forstwirt betreibt auf einem Teil seines Waldgrundstücks einen kommerziellen Hochseilklettergarten. Er bewirbt diesen stark und verlangt Eintrittsgelder. Fällt der Klettergarten unter die Einkünfte aus Land- und Forstwirtschaft, da er sich im Wald befindet?","Nein, der kommerzielle Hochseilklettergarten fällt nicht unter die Einkünfte aus Land- und Forstwirtschaft, weil er sich nicht im Rahmen eines land- und forstwirtschaftlichen Betriebes befindet (§ 34 bis 47 BAO).","Nein, die Einkünfte aus dem Klettergarten sind Einkünfte aus Gewerbebetrieb gemäß § 23 Z 1 EStG. Obwohl die Anlage im Wald steht, fehlt der direkte wirtschaftliche Bezug zur land- und forstwirtschaftlichen Urproduktion (Bodenbewirtschaftung). Die Tätigkeit ist selbstständig, nachhaltig, auf Gewinn gerichtet und beteiligt sich am allgemeinen wirtschaftlichen Verkehr, ohne Land- und Forstwirtschaft oder selbstständige Arbeit zu sein.",§ 23 EStG 1988,3,2,2,2,4,1,"„Einkünfte aus Gewerbebetrieb sind: Einkünfte aus einer selbständigen, nachhaltigen Betätigung, die mit Gewinnabsicht unternommen wird und sich als Beteiligung am allgemeinen wirtschaftlichen Verkehr darstellt, wenn die Betätigung weder als Ausübung der Land- und Forstwirtschaft noch als selbständige Arbeit anzusehen ist.“","Die Antwort kommt zwar zum richtigen Ergebnis, begründet es aber falsch bzw. ungenau mit §§ 34 bis 47 BAO. Der richtige Bezug wäre § 23 EStG und die Einordnung als Gewerbebetrieb, weil die Tätigkeit selbständig, nachhaltig, gewinnorientiert und nicht Teil der land- und forstwirtschaftlichen Urproduktion ist."
17,924a21a19d76f926,Arbeitnehmer A arbeitet laut Vereinbarung mit seinem Arbeitgeber an 120 Tagen im Jahr ausschließlich von zuhause. Sein Arbeitgeber zahlt ihm ein Homeoffice-Pauschale von 3 Euro pro Tag. Wie viel kann steuerfrei ausbezahlt werden?,"Der Arbeitnehmer erhält pro Tag 3 Euro Homeoffice-Pauschale.  Da es sich um einen Teilzeitjob handelt, wird diese Pauschale **steuerfrei** sein. 


**Relevant:**

* **EStG § 20 Abs. 1 Z 2 lit. d**:  Die Homeoffice-Pauschale ist bis zu 3 Euro pro Tag steuerfrei. 



Es ist wichtig zu beachten, dass dies nur die allgemeine Regelung ist. Es können weitere Faktoren wie z. B. individuelle Vereinbarungen oder spezifische Regelungen innerhalb des Arbeitsvertrages relevant sein.",Gemäß § 26 Z 9 lit. a EStG ist das Homeoffice-Pauschale auf höchstens 100 Tage im Kalenderjahr begrenzt. Steuerfrei sind daher maximal 100 × 3 Euro = 300 Euro. Die verbleibenden 20 Tage (60 Euro) sind steuerpflichtig.,§ 26 Z 9 lit. a EStG,3,2,2,2,4,1,"„Das Telearbeitspauschale beträgt bis zu drei Euro pro ausschließlichem Telearbeitstag und steht für höchstens 100 Tage im Kalenderjahr zu.“
„Übersteigt das nicht steuerbar ausgezahlte Telearbeitspauschale insgesamt den Betrag von 300 Euro pro Kalenderjahr, stellt der übersteigende Teil steuerpflichtigen Arbeitslohn dar.“","Die Antwort erkennt zwar den Betrag von 3 Euro pro Tag, übersieht aber die Begrenzung auf höchstens 100 Tage bzw. 300 Euro pro Jahr. Außerdem nennt sie eine falsche Rechtsgrundlage und begründet die Steuerfreiheit unpassend mit einem Teilzeitjob.

"
18,92c451417f96fc10,Ein Unternehmer ordnet ein Bürogebäude seinem Unternehmen zu; bei Anschaffung bestand ein teilweiser Vorsteuerabzug. Später nutzt er einen Teil des Gebäudes unentgeltlich privat. Wird diese Verwendung nach § 3a Abs. 1a Z 1 einer sonstigen Leistung gegen Entgelt gleichgestellt?,"Nein, die Verwendung des Gebäudes für private Zwecke ist nicht eine Leistung gegen Entgelt. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27.","Nein. Zwar wird die Verwendung eines dem Unternehmen zugeordneten Gegenstandes für unternehmensfremde Zwecke grundsätzlich einer sonstigen Leistung gegen Entgelt gleichgestellt, wenn der Gegenstand zum vollen oder teilweisen Vorsteuerabzug berechtigt hat. Diese Gleichstellung gilt aber ausdrücklich nicht für die Verwendung eines dem Unternehmen zugeordneten Grundstückes.",§ 3a Abs. 1a Z 1 UStG 1994,3,2,2,2,4,0,"„Die Verwendung eines dem Unternehmen zugeordneten Gegenstandes, der zum vollen oder teilweisen Vorsteuerabzug berechtigt hat, durch den Unternehmer für Zwecke, die außerhalb des Unternehmens liegen“
„Z 1 gilt nicht für die Verwendung eines dem Unternehmen zugeordneten Grundstückes.“","Die Antwort kommt zum richtigen Ergebnis, erklärt aber den entscheidenden Grund nicht. Nach der Quelle gilt die Gleichstellung grundsätzlich, aber gerade nicht für ein dem Unternehmen zugeordnetes Grundstück."
19,933a1c8f56536224,"Hat die Art der Einkommensverwendung (Ausschüttung, Entnahme etc.) Einfluss auf die Einkommensermittlung?","Ja, die Art der Einkommensverwendung kann Einfluss auf die Einkommensermittlung haben, da bestimmte Arten der Einkommensverwendung, wie z.B. Ausschüttungen oder Entnahmen aus Kapitalanlagen, durch bestimmte Steuervorschriften (z.B. Kapitalertragsteuergesetz) geregelt sind und somit die Einkommensermittlung beeinflussen können.","Nein. Gemäß § 8 Abs. 2 KStG ist es ohne Bedeutung, ob das Einkommen durch offene oder verdeckte Ausschüttungen verteilt, entnommen oder in anderer Weise verwendet wird.",§ 8 Abs. 2 KStG 1988,0,0,0,1,2,1,"„Für die Ermittlung des Einkommens ist es ohne Bedeutung, ob das Einkommen im Wege offener oder verdeckter Ausschüttungen verteilt oder entnommen oder in anderer Weise verwendet wird.“",Die Antwort behauptet das Gegenteil der Quelle. Nach § 8 Abs. 2 KStG ist die Art der Einkommensverwendung für die Einkommensermittlung gerade ohne Bedeutung. Die genannten Hinweise auf Kapitalertragsteuer ändern daran nichts und sind hier nicht passend.
20,93a4f9d953ca3c17,"Mitarbeiter B bekommt von seinem Arbeitgeber ein E-Bike zur Verfügung gestellt. Manchmal nutzt er dieses Rad für private Ausfahrten. Mitarbeiter B hat dabei keine Bedenken bei der privaten Nutzung, da der Sachbezug des E-Bikes Null beträgt. Sind diese Fahrten steuerlich irrelevant?","Ja, die Fahrten mit dem E-Bike sind steuerlich irrelevant. Der Sachbezug des E-Bikes beträgt Null, was bedeutet, dass sie nicht als Arbeitsgerät oder Arbeitsmittel angesehen werden kann. Daher können Mitarbeiter B seine Ausfahrt mit dem E-Bike ohne Steuergenehmigung ausführen.","Laut § 4b SachbezugsVO ist die private Nutzung des E-Bikes, da auch der Sachbezug des E-Bikes Null ist ebenso mit Null anzusetzen. Somit auch steuerlich nicht weiter relevant.",§ 4b SachbezugsVO,4,3,3,3,4,0,"„Besteht für den Arbeitnehmer die Möglichkeit, ein arbeitgebereigenes Fahrrad oder Kraftrad mit einem CO2-Emissionswert von 0 Gramm pro Kilometer für nicht beruflich veranlasste Fahrten einschließlich Fahrten zwischen Wohnung und Arbeitsstätte zu benützen, ist ein Sachbezugswert von Null anzusetzen.“","Die Antwort kommt im Ergebnis richtig dazu, dass für die private Nutzung kein steuerpflichtiger Sachbezug entsteht. Die Begründung ist sprachlich ungenau und etwas unsauber, aber der Kern entspricht § 4b SachbezugsVO."
