id,correct_answer,prediction,BLEU,ROUGE-L,BERTScore_F1,model
SELF-013,"Bei Verschmelzungen, Umwandlungen, Einbringungen, Zusammenschlüssen und Realteilungen.","Das Umgründungssteuergesetz greift, wenn eine Gründung im Gebiet des UmgrStG stattfindet. Dies ist der Fall, wenn die Gründung in einem Gebiet liegt, das dem Gebiet des UmgrStG zugeordnet ist oder wenn sie sich in einem Gebiet befindet, dessen Grenze mit dem Gebiet des UmgrStG überschneidet. Die Umgründungssteuergesetz gilt daher für alle Gründungen, die in diesem Gebiet stattfinden. Es",0.0,0.0,0.5651926398277283,finetuned
SELF-011,Die sieben Einkunftsarten gemäß § 2 Abs. 3 EStG 1988.,"Die Basis der Einkommensermittlung für Selbstständige ist das Gewerbestandortsteuerpflichtigkeitsgebiet. Dieses Gebiet wird durch den Wohnort des Betreibers bestimmt, nicht aber durch den Standort der Geschäftsfirma. Die Grundlage der Einkommensteuer für Selbstständige ist daher das Gewerbegebiet, in dem sich der Betrieb befindet, nicht der Standort der Geschäftsfirma. Das bedeutet, dass eine Geschäftsfirma mit einem lokalen Standort mög",0.003263584888402175,0.0273972602739726,0.5734474658966064,finetuned
VAT-INTL-001,"""Dort, wo der Unternehmer überwiegend tätig wird (§ 3a Abs. 11 UStG).""","Eine sonstige Leistung ist eine Art von Leistung, bei der kein bestimmter Dienst oder Handel erbracht wird. Sie kann durch den Kauf eines Gegenstands oder das Erwerben einer Rechte erfolgen. Diese Leistung ist nicht direkt mit einem bestimmten Dienst oder Handel verbunden. Die Antwort ist kurz und klar, ohne unnötige Details zu verlieren. Es gibt keinen Aufzählungsbefehl, da es sich um eine Definition handelt, die nur aus wenigen Wörtern besteht. Die Zeilenumbrüche sind",0.0024874082113819154,0.0449438202247191,0.5853947997093201,finetuned
EStG-23-051,"Nein. Das Merkmal der Nachhaltigkeit (§ 23 Z 1 EStG) kann auch bei einem nach außen hin einmaligen Ereignis erfüllt sein, wenn die Vorbereitung und Durchführung eine Vielzahl von unterschiedlichen, aufeinander aufbauenden Handlungen über einen längeren Zeitraum erfordert (einheitliches, komplexes Konzept). Ein Gewerbebetrieb liegt somit vor.","Nein, das Festivalsystem ist nicht nachhaltig. Die Kosten für die Infrastruktur, die Bandeinkaufspreis und die Ticketverkaufsrisiken sind zu hoch. Eine einzige Veranstaltung kann den Betriebskostenanteil des Gewerbes nicht ausgleichen. Die Antwort lautet: Nein, das Festivalsystem ist nicht nachhaltig. Die Kosten für die Infrastruktur, die Bandeinkaufspreis und die Ticketverkaufsrisiken sind zu hoch. Eine einzige Veranstaltung kann den",0.004295119260690564,0.11214953271028037,0.5871190428733826,finetuned
EStG-23-043,"Nein, das ist nicht korrekt. Die Tätigkeit in einem Kosmetikstudio oder in der gewerblichen Fußpflege stellt keine heilkundliche Tätigkeit im Sinne der freien Berufe (selbstständige Arbeit) dar. Da sie selbstständig, nachhaltig, mit Gewinnabsicht und unter Beteiligung am wirtschaftlichen Verkehr agiert, fallen ihre Einkünfte als Restkategorie zwingend unter § 23 Z 1 EStG (Gewerbebetrieb).","Ja, das ist korrekt. Ihre medizinische Ausbildung ermöglicht es ihr, freiberuflich tätig zu sein. Ja, das ist korrekt. Ihre medizinische Ausbildung ermöglicht es ihr, freiberuflich tätig zu sein.",0.006436630745374041,0.11111111111111112,0.5879783034324646,finetuned
EStG-23-034,"Nein. § 23 Z 1 schließt nur Land- und Forstwirtschaft sowie selbständige Arbeit aus, geistige Tätigkeit allein begründet keinen freien Beruf im Sinne des EStG, IT-Beratung fällt als Restkategorie unter § 23.","Nein, es liegt nicht vor, da der IT-Berater geistig tätig ist, aber auch kreativ und produktiv ist, was den Gewerbesatz betreffen würde. Stimmt das? Nein, es liegt nicht vor, da der IT-Berater geistig tätig ist, aber auch kreativ und produktiv ist, was den Gewerbesatz betreffen würde.",0.003997395604823099,0.11363636363636365,0.5880081057548523,finetuned
ESTG-NEW-017,"Bei einem unentgeltlichen Erwerb (Erbschaft) tritt gemäß § 27b Abs. 3 EStG der Erbe in die Rechtsposition des Rechtsvorgängers ein (Buchwertfortführung). Entscheidend ist, dass die Tante die BTC vor dem 1. März 2021 angeschafft hat – somit greift die Übergangsregelung des § 124b Z 384 lit. a EStG. Für Kryptowährungen, die vor dem 1. März 2021 angeschafft wurden, gilt die alte Rechtslage (Spekulationsfrist gemäß § 31 EStG aF). Da die Spekulationsfrist von einem Jahr bereits abgelaufen war, wären die BTC bei der Tante bei Veräußerung steuerfrei gewesen. Da Frau Wimmer in deren Rechtsposition eintritt, sind auch bei ihr die BTC steuerfrei veräußerbar. Der Altvermögensstatus geht mit der Erbschaft über. Es fällt keine Einkommensteuer an.","Die Anschaffungskosten sind berechnet auf den Wert am Todestag, also EUR 68.000 pro BTC. Der Verkauf ist steuerpflichtig, da es sich um eine Aktualisierung handelt. Die Anschaffungskosten sind berechnet auf den Wert am Todestag, also EUR 68.000 pro BTC. Der Verkauf ist steuerpflichtig, da es sich um eine Aktualisierung handelt.",0.0012126466383197555,0.09142857142857143,0.5919199585914612,finetuned
SELF-038,Er wurde damals von 34 % auf 25 % gesenkt.,"Der KöSt-Satz nach der Steuerreform 2005 betrug 1.367,48 Euro. Die Antwort ist kurz und präzise. Sie berührt den Punkt, dass der Satz von 1.367,48 Euro anfängt und dass er nach der Steuerreform 2005 bestand. Die Formulierung ""der KöSt-Satz"" wird nicht benutzt, da es sich um eine spezifische Regel handelt, die im Allgemeinen bekannt ist",0.0033879673215127786,0.027397260273972605,0.5934344530105591,finetuned
EMP-007,"Nein. Soweit die Vergütungen für Dienstreisen die Sätze des § 26 EStG nicht übersteigen (z.B. das amtliche Kilometergeld oder Taggelder bis 26,40 €), gehören sie nicht zu den steuerpflichtigen Einkünften aus nichtselbständiger Arbeit.","Ja, der Betrag sollte in der Steuererklärung als Einkommen verzeichnet werden. Dies ist nach dem Steuerrecht des Bundeslandes Österreichs üblich. Die Ausgaben für Dienstleistungen sind im Einkommensverzeichnis zu berücksichtigen. Die Antwort lautet: Ja, der Betrag sollte in der Steuererklärung als Einkommen verzeichnet werden. Dies ist nach dem Steuerrecht des Bundeslandes Österreichs üblich. Die Ausgaben für Dienstleistungen sind im Eink",0.0040709389705793145,0.11650485436893204,0.5966821908950806,finetuned
GRESt-AT-077,"Ja. Nach § 1 Abs. 2 GrEStG 1987 unterliegen auch solche Rechtsvorgänge der Grunderwerbsteuer, die es ohne Begründung eines Anspruches auf Übereignung einem anderen rechtlich oder wirtschaftlich ermöglichen, ein inländisches Grundstück auf eigene Rechnung zu verwerten. Der Anwendungsbereich geht daher über den klassischen Kaufvertrag hinaus.","Ja, es ist grunderwerbsteuerlich relevant. Die Nutzung des Grundstücks führt zu steuerpflichtigen Einnahmen. Ja, es ist grunderwerbsteuerlich relevant. Die Nutzung des Grundstücks führt zu steuerpflichtigen Einnahmen.",0.004160785677880903,0.12658227848101267,0.59938645362854,finetuned
SELF-013,"Bei Verschmelzungen, Umwandlungen, Einbringungen, Zusammenschlüssen und Realteilungen.","Das Umgründungssteuergesetz (UmgrStG) ist nicht explizit im bereitgestellten Gesetzestext erwähnt. Es wird jedoch in den bereitgestellten Gesetzestexten als Verweis genannt, nämlich in § 200 UGB (in Kraft seit 31.12.2023 bis 31.12.2026) und in Art. IV und V des Umgründungssteuergesetzes.",0.004744188024111083,0.03703703703703704,0.5692330002784729,rag
SELF-011,Die sieben Einkunftsarten gemäß § 2 Abs. 3 EStG 1988.,"Die Basis der Einkommensermittlung für Selbstständige ist das Einkommen aus selbstständiger Arbeit, das sich aus den Einnahmen aus der selbstständigen Tätigkeit abzüglich der für die selbstständige Tätigkeit anfallenden Aufwendungen ergibt.",0.006244385951234721,0.041666666666666664,0.603247344493866,rag
GRESt-AT-026,"Gemäß § 3 Abs. 1 Z 2 lit. b GrEStG muss der Übergeber das 55. Lebensjahr vollendet haben oder wegen körperlicher, psychischer, sinnesbedingter oder kognitiver Funktionseinschränkungen erwerbsunfähig sein (nachzuweisen durch ein medizinisches Gutachten).",Die Freibetragsregelung (bis zu 900.000 Euro) bei der unentgeltlichen Übergabe eines Betriebes unter Lebenden ist nicht direkt mit den vorgelegten rechtlichen Grundlagen verbunden. Die genaue Antwort auf diese Frage kann daher nicht aus den vorgelegten Informationen abgeleitet werden.,0.0048742862874500996,0.05405405405405405,0.6079085469245911,rag
SELF-015,Bestimmte schriftliche Rechtsgeschäfte wie Mietverträge (für Wohnraum seit 2017 befreit) oder Bürgschaften.,"Nach dem Gebührengesetz unterliegen alle Dokumente, die von den Abgabenbehörden des Bundes erstellt oder verarbeitet werden, der Gebührenpflicht, soweit sie der Durchführung der Abgabenvorschriften dienen. Dies umfasst insbesondere alle Dokumente, die im Rahmen von Abgabenverfahren erstellt oder verarbeitet werden.",0.004744188024111083,0.03389830508474576,0.622575044631958,rag
VAT-INTL-001,"""Nein. Beförderungsmittel sind ausdrücklich ausgenommen. Es gelten die Sonderregeln für Beförderungsmittel.""","Eine sonstige Leistung ist eine Leistung, die von einem Unternehmer erbracht wird, die nicht in einer Lieferung oder einer Werkleistung besteht, sondern ein anderes, nicht typischerweise handelsübliches Produkt darstellt.",0.006471824245088331,0.04444444444444444,0.6253305077552795,rag
SELF-029,Es können im ersten Jahr bis zu 30 % des Restbuchwertes steuerlich abgeschrieben werden.,"Die degressive Abschreibung (AfA) ist in Österreich nicht geregelt, da das AfA-Verfahren durch das Abgeltungsverfahren abgelöst wurde. Die Abgeltung von Abschreibungen erfolgt nun durch die Gewinnermittlung nach § 4 Abs. 3 EStG 1988.",0.0,0.0,0.6271978616714478,rag
SELF-006,Es erweitert den Kreis der spendenbegünstigten Einrichtungen erheblich (z.B. auf Bildung).,"Ich muss darauf hinweisen, dass das Gemeinnützigkeitsreformgesetz 2023 nicht in den bereitgestellten rechtlichen Grundlagen enthalten ist. Daher kann ich keine präzise Antwort geben.",0.008282282660969604,0.052631578947368425,0.6279466152191162,rag
VAT-INTL-001,"""Derselbe wie für die Stadtführung selbst. Laut § 3a Abs. 4 UStG werden auf die Besorgungsleistung die Regeln der besorgten Leistung angewandt.""","Eine sonstige Leistung ist eine Leistung, die von einem Unternehmer erbracht wird, die nicht in einer Lieferung oder einer Werkleistung besteht, sondern ein anderes, nicht typischerweise handelsübliches Produkt darstellt.",0.008517399705356638,0.07547169811320756,0.6300203204154968,rag
SELF-034,"Abzugsfähige private Kosten wie Spenden, Kirchenbeitrag oder Steuerberatungskosten.","Laut § 8 Abs. 4 des Einkommensteuergesetzes 1988 sind Sonderausgaben abzuziehen, um das Einkommen zu ermitteln.",0.0,0.0,0.6306010484695435,rag
VAT-INTL-001,"""Dort, wo der Unternehmer überwiegend tätig wird (§ 3a Abs. 11 UStG).""","Eine sonstige Leistung ist eine Leistung, die von einem Unternehmer erbracht wird, die nicht in einer Lieferung oder einer Werkleistung besteht, sondern ein anderes, nicht typischerweise handelsübliches Produkt darstellt.",0.006471824245088331,0.09523809523809522,0.6312022805213928,rag
