id;answer;
CORP-TAX-021;Der Gewinn bei rechnungslegungspflichtigen Körperschaften ist nach § 5 Abs. 1 EStG i.V.m. § 2 Abs. 1 UGB durch Bilanzierung und unter Anwendung der Bestimmungen des UGB zu ermitteln.;
CORP-TAX-022;Bei der Bildung einer Gruppe gemäß §§ 7–12 KStG ist zu prüfen, ob die Voraussetzungen für eine finanzielle, wirtschaftliche und organisatorische Verbindung (§ 9 Abs 1 KStG) vorliegen, insbesondere ob die GmbH, die 60 % erwirbt, die beherrschende Stellung (§ 9 Abs 2 KStG) innehat und ob die Eingliederung in die Gruppe zum Zweck der Ergebnisverrechnung (§ 7 Abs 1 KStG) erfolgt;
CORP-TAX-023;Nach § 8 Abs 4 KStG kann ein Verlustvortrag aus Vorjahren mit Gewinnen in Folgejahren verrechnet werden, wobei die verrechenbaren Verluste auf 5 Jahre beschränkt sind (§ 8 Abs 4 KStG).;
CORP-TAX-024;Der Gewinnermittlungszeitraum entspricht dem Wirtschaftsjahr, welches grundsätzlich 12 Monate umfasst (§ 4 Abs. 1 EStG). Davon kann abgewichen werden, wenn ein abweichendes Wirtschaftsjahr (z.B. 1. Juli bis 30. Juni) besteht, welches jedoch bei der erstmaligen Gewinnermittlung und bei Änderungen vom Kalenderjahr abweichen muss (§ 4 Abs. 2 EStG).;
CORP-TAX-025;Einlagen und Beiträge von Gesellschaftern werden bei der Einkommensermittlung nicht als Einkünfte betrachtet, da es sich um nicht steuerbare Einlagen handelt (§ 2 Abs 2 Z 2 EStG).;
CORP-TAX-026;Der Verlustabzug gemäß § 8 Abs. 4 Z 2 lit. b KStG ist nicht auf 75 % begrenzt, wenn der Verlustabzug vor einer allfälligen Sanierung oder vor einem allfälligen Gesellschafterwechsel stattfindet und der Verlust innerhalb von 3 Jahren vor dem erstmaligen Antrag auf eine allfällige Sanierung oder einen allfälligen Gesellschafterwechsel entstanden ist (§ 8 Abs. 4 Z 2 lit. b KStG).;
CORP-TAX-027;Die Mindestbeteiligungsquote für die finanzielle Verbindung im Sinne des § 9 KStG beträgt 50% unmittelbar oder mittelbar. (§ 9 Abs. 1 KStG);
CORP-TAX-028;Die finanzielle Verbindung zu einem Gruppenmitglied muss zumindest 6 Monate bestehen (§ 9 Abs. 4 GrEStG).;
CORP-TAX-029;Nein, gemäß § 9 Abs 7 KStG können Vorgruppenverluste des Gruppenträgers, die aus Teilwertabschreibungen auf Beteiligungen an Körperschaften einer anderen Unternehmensgruppe stammen, nicht mit dem Gruppengewinn verrechnet werden.;
CORP-TAX-030;Die österreichische Körperschaft kann als Gruppenträger fungieren, wenn sie die Voraussetzungen des § 9 Abs 1 KStG 1988 erfüllt, jedoch ist bei unbeschränkter Steuerpflicht in Deutschland auch das deutsche Steuerrecht zu beachten, insbesondere § 14 KStG, wobei eine doppelte Gruppenträgerstellung zu prüfen ist.;
CORP-TAX-031;Vorgruppenverluste sind Verluste einer Kapitalgesellschaft, die vor dem erstmaligen Erwerb von mehr als 50% der Anteile durch einen neuen Gesellschafter oder eine neue Gruppe von Gesellschaftern entstanden sind (§ 8c Abs. 1 S. 1 EStG). Diese Verluste können bei einem schädlichen Beteiligungserwerb unter bestimmten Voraussetzungen verloren gehen. Innerhalb der Gruppe werden Vorgruppenverluste nach § 8d EStG (Fortführung von Vorgruppenverlusten) behandelt, wenn bestimmte Voraussetzungen erfüllt sind.;
CORP-TAX-032;Bei der Verlustverrechnung innerhalb einer Gruppe bestehen Unterschiede zwischen inländischen und ausländischen Gruppenmitgliedern hinsichtlich Höhe, Grenze und Nachversteuerung. Gemäß § 9 Abs 7 KStG können inländische Gruppenmitglieder ihre Verluste uneingeschränkt mit Gewinnen anderer inländischer Gruppenmitglieder verrechnen. Für ausländische Gruppenmitglieder ist die Verlustverrechnung hingegen auf die Höhe des Anteils am Gruppengewinn beschränkt (§ 9 Abs 7 KStG). Zudem unterliegt die Nachversteuerung von Verlusten ausländischer Gruppenmitglieder besonderen Regeln (§ 24 KStG).;
CORP-TAX-033;Die Einjahresfrist gemäß § 10 Abs 2 BAO gilt auch für Anteile aus Kapitalerhöhungen, jedoch ist diesbezüglich § 10 Abs 2 letzter Satz BAO zu beachten, wonach die Frist von einem Jahr ab dem Zeitpunkt der Entstehung der Beteiligung zu berechnen ist.;
CORP-TAX-034;Die Veräußerung einer internationalen Schachtelbeteiligung unterliegt den Regelungen des § 10 Abs 2 KStG (Körperschaftsteuergesetz), wobei für die Besteuerung von Gewinnen aus der Veräußerung von Schachtelbeteiligungen § 10 Abs 2 KStG iVm § 20 Abs 2 KStG relevant ist. Bestehende Vorjahresverluste sind gemäß § 8 Abs 4 KStG bei der Ermittlung des steuerpflichtigen Einkommens zu berücksichtigen.;
CORP-TAX-035;Die internationale Schachtelbegünstigung gemäß § 10 Abs 2 KStG iVm § 21 Abs 2 KStG ist anwendbar, wenn die Beteiligung mindestens 10 % beträgt. Eine Beteiligung von 8 % erfüllt diese Voraussetzung nicht. Die Dividende ist jedoch gemäß § 3 Abs 1 Z 19 EStG (Halbeinkünfteverfahren) bzw § 20 Abs 1 Z 1 KStG steuerfrei, wenn die Voraussetzungen des § 10 Abs 1 KStG (Schachtelprivileg) vorliegen.;
CORP-TAX-036;Die Option zur Steuerwirksamkeit einer Schachtelbeteiligung beim konzerninternen Weiterverkauf im Rahmen einer Umgründung kann gemäß § 10 Abs. 2 KStG dazu führen, dass der Gewinn aus dem Verkauf der Beteiligung nicht der Besteuerung unterliegt, wenn die Beteiligung unmittelbar vor der Veräußerung mindestens 10% betrug und die Veräußerung innerhalb von fünf Jahren nach der Umgründung erfolgt.;
CORP-TAX-037;Gewinnanteile aus ausländischen Schachtelbeteiligungen sind trotz § 10 KStG steuerpflichtig, wenn die Beteiligung nicht mindestens 10% beträgt (§ 10 Abs 2 KStG) oder wenn es sich um eine nicht wesentliche Beteiligung handelt und die Einkünfte nicht aus einer ausländischen Betriebsstätte stammen (§ 10 Abs 1 KStG iVm § 20 Abs 1 KStG).;
CORP-TAX-038;Nach § 11 KStG gelten Aufwendungen für die Erfüllung von Aufgaben und Pflichten, die sich aus der Rechtsform der Körperschaft ergeben, als Betriebsausgaben, insbesondere Aufwendungen für die Erstellung und Offenlegung von Jahresabschluss und Lagebericht (§ 11 Abs 1 Z 1 KStG), sowie Aufwendungen für die Einberufung und Durchführung von Gesellschafter- oder Mitgliederversammlungen (§ 11 Abs 1 Z 2 KStG).;
CORP-TAX-039;Nach § 12 KStG sind Steuern, die nicht als Betriebsausgaben abzugsfähig sind, insbesondere die Körperschaftsteuer selbst (§ 12 Abs 1 KStG), sowie die Vermögensteuer, die Grunderwerbsteuer und die Versicherungssteuer, soweit sie auf das Einkommen oder Vermögen des Unternehmens entfallen (§ 12 Abs 2 KStG).;
CORP-TAX-040;Die Abzugsfähigkeit von Zinsen für konzerninterne Beteiligungsfinanzierungen ist gemäß § 8 Abs 2 KStG (Körperschaftsteuergesetz) ausgeschlossen, wenn es sich um eine verdeckte Gewinnausschüttung handelt. Dies ist insbesondere der Fall, wenn die Beteiligung nicht zum Betriebsvermögen gehört oder wenn die Finanzierung nicht den Anforderungen einer ordentlichen und vorsichtigen Geschäftsführung entspricht.;
CORP-TAX-041;Der Gewinn eines abweichenden Wirtschaftsjahres wird gemäß § 4 Abs. 2 EStG im Veranlagungsjahr erfasst, in dem das Wirtschaftsjahr endet.;
CORP-TAX-042;Das Einkommen einer Körperschaft wird gemäß § 5 Abs. 1 KStG (Körperschaftsteuergesetz) als Unterschied zwischen den Betriebseinnahmen und den Betriebsausgaben berechnet. Abzugsfähig sind grundsätzlich alle Betriebsausgaben, die durch die Körperschaft erwirtschaftet wurden (§ 8 Abs. 1 KStG). Nicht abzugsfähig sind hingegen verdeckte Gewinnausschüttungen (§ 8 Abs. 2 KStG) und Spenden, die nicht den Anforderungen des § 9 Abs. 1 KStG entsprechen.;
CORP-TAX-043;Die Überleitung vom Handelsbilanzgewinn zum steuerpflichtigen Einkommen einer rechnungslegungspflichtigen GmbH betrifft typischerweise die §§ 8-10 KStG, insbesondere § 8 Abs 2 KStG (Gewinnermittlung), § 9 KStG (Absetzbare Aufwendungen) und § 10 KStG (Gewinnfreibetrag).;
CORP-TAX-044;Nein, die Art der Einkommensverwendung hat keinen Einfluss auf die Einkommensermittlung (§ 2 Abs. 2 EStG). Die Einkommensermittlung erfolgt unabhängig von der Verwendung des Einkommens.;
CORP-TAX-045;Nein, gemäß § 8 Abs. 4 KStG sind Verlustvorträge grundsätzlich innerhalb von 5 Jahren nach Entstehen zu verwenden, wobei jedoch Ausnahmen für Körperschaften mit abweichendem Wirtschaftsjahr gelten können, jedoch ist § 8 Abs. 4 KStG iVm § 7 Abs. 4 KStG zu beachten.;
CORP-TAX-046;Ein Mantelkauf nach § 8 KStG und der Verlust von Verlustvorträgen bei Ausscheiden aus einer Gruppe nach § 9 KStG betreffen beide die steuerliche Behandlung von Verlusten bei Körperschaften;
CORP-TAX-047;Nach § 8c Abs. 1 KStG gehen bei einem Mantelkauf die wirtschaftlichen Verluste einer Körperschaft unter, wenn innerhalb von fünf Jahren mehr als 50% der Anteile übertragen werden. Eine Ausnahme besteht, wenn der Erwerber nachweist, dass er die Verluste aus eigener wirtschaftlicher Tätigkeit erwirtschaftet hat (§ 8c Abs. 2 KStG).;
CORP-TAX-048;Rückvergütungen von Erwerbs- und Wirtschaftsgenossenschaften gelten als Einkommensverwendung, wenn sie als Gewinnausschüttungen an die Mitglieder erfolgen, § 20 Abs. 1 Z 2 EStG.;
CORP-TAX-049;Nach § 9 Abs 7 KStG gelten die für die Besteuerung der ausländischen Gruppenmitglieder maßgeblichen Rechtsvorschriften des Sitzstaates, wenn ein ausländisches Gruppenmitglied die Unternehmensgruppe verlässt und zuvor zugerechnete Verluste im Ausland noch nicht verrechnet wurden;
CORP-TAX-050;Die Unternehmensgruppe kann gegenüber der isolierten Besteuerung den Vorteil der Gruppenbesteuerung gemäß § 9 KStG (Körperschaftsteuergesetz) nutzen, wonach die Ergebnisse der einzelnen Gesellschaften innerhalb der Gruppe verrechnet werden können, was zu einer möglichen Steuereinsparung führt.;
CORP-TAX-051;Für eine Unternehmensgruppe mit inländischem Gruppenträger, profitabler Inlandstochter, Verlusttochter im Inland (mit Vorgruppenverlusten) und Verlusttochter in der EU gelten die Bestimmungen der §§ 7–12 KStG wie folgt: Der inländische Gruppenträger kann die Ergebnisse seiner Tochtergesellschaften, einschließlich der Verlusttochter im Inland und in der EU, im Rahmen der Gruppenbesteuerung zusammenfassen (§ 7 Abs. 1 KStG). Allerdings unterliegt die Verlustverrechnung mit der EU-Tochtergesellschaft den Einschränkungen des § 10 Abs. 2 KStG (körperschaftsteuerliche Behandlung von EU-Verlusten). Zudem sind die Voraussetzungen für die Anerkennung von Vorgruppenverlusten;
CORP-TAX-052;Eine Beteiligungsgemeinschaft kann als Gruppenträger fungieren, wenn sie die Voraussetzungen des § 9 Abs. 1 KStG 1988 erfüllt. Die Mindestquote für die einzelnen Mitbeteiligten beträgt 5% gemäß § 9 Abs. 4 KStG 1988.;
CORP-TAX-053;Für die Steuerfreiheit inländischer Beteiligungserträge gemäß § 10 Abs 1 BAO (Beteiligungserträge) bzw § 21 Abs 1 KStG (Steuerbefreiung von Beteiligungserträgen) gibt es keine explizite Mindestbeteiligungsquote oder Haltefrist. Die Steuerbefreiung knüpft an die Voraussetzung an, dass es sich um Erträge aus einer Beteiligung handelt, wobei die Beteiligung unmittelbar oder mittelbar mindestens 10% betragen muss (§ 10 Abs 1 BAO).;
CORP-TAX-054;Die Option zur Steuerwirksamkeit gemäß § 20 Abs. 2 EStG ermöglicht es dem Steuerpflichtigen, eine Entnahme oder Einlage steuerwirksam zu behandeln. Die Option wird durch eine entsprechende Erklärung im Rahmen der Steuererklärung ausgeübt, wobei § 20 Abs. 2 EStG und Rz 111 EStR zu beachten sind.;
CORP-TAX-055;Bei Sitzverlegung einer inländischen Tochtergesellschaft ins Ausland entsteht keine internationale Schachtelbeteiligung, da die Sitzverlegung nicht zur Begründung einer ausländischen Beteiligung führt (§ 10 Abs 2 BAO). Die stillen Reserven werden grundsätzlich aufgelöst und einer Besteuerung unterworfen (§ 6 Z 6 lit a EStG).;
CORP-TAX-056;Die Zinsen für die Fremdfinanzierung einer Beteiligung sind (a) bei einem konzernfremden Verkäufer als Betriebsausgaben absetzbar (§ 8 Abs 1 EStG), während (b) bei einem Muttergesellschaft-Verkäufer die Zinsen als verdeckte Gewinnausschüttung (vGA) gemäß § 8 Abs 4 KStG und § 20 Abs 1 EStG steuerlich nicht anerkannt werden.;
CORP-TAX-057;Für den Betriebsausgabenabzug bei nur teilweise steuerpflichtigen Körperschaften gilt die Einschränkung des § 8 Abs 2 KStG, wonach Ausgaben, die nicht unmittelbar mit der steuerpflichtigen Tätigkeit zusammenhängen, nur anteilig absetzbar sind.;
CORP-TAX-058;Für eine Körperschaft, die nur teilweise steuerpflichtig ist, gilt die Einschränkung, dass der Betriebsausgabenabzug nur im Verhältnis der steuerpflichtigen Einkünfte zu den gesamten Einkünften zulässig ist (§ 20 Abs 1 Z 1 lit a KStG).;
CORP-TAX-059;Strafen, die von Gerichten oder Verwaltungsbehörden verhängt werden, sind gemäß § 20 Abs. 1 Z 10 lit. c EStG 1988 nicht als Betriebsausgaben oder Werbungskosten abzugsfähig, es sei denn, es handelt sich um eine strafrechtliche Verurteilung wegen einer Tat, die im Zusammenhang mit der Geschäftsführung oder einer betrieblichen Tätigkeit steht und nicht als Teil einer kriminellen Handlung oder Organisation begangen wurde;
CORP-TAX-060;Aufsichtsratsvergütungen gelten als Einkünfte aus selbstständiger Arbeit (§ 22 EStG) und sind somit steuerpflichtig;
TAX-INTL-001;Nein, gemäß § 8 Abs 1 Z 1 EStG 1988 iVm § 2 Abs 1 StbG begründet die Wiener Wohnung keine unbeschränkte Steuerpflicht in Österreich, da die deutsche Wohnung als Mittelpunkt der Lebensinteressen gilt und die Wiener Wohnung lediglich als vorübergehende Unterkunft dient.;
TAX-INTL-002;Ja, der Investor ist in Österreich nur beschränkt steuerpflichtig gemäß § 1 Abs 2 BAO iVm § 2 Abs 1 EStG, da er weder Wohnsitz noch gewöhnlichen Aufenthalt in Österreich hat und lediglich Mieteinkünfte aus einer inländischen Quelle erzielt.;
TAX-INTL-003;Ja, gemäß § 1 Abs 2 EStG 1988 iVm § 3 Abs 1 EStG 1988 kann eine unbeschränkte Steuerpflicht entstehen, wenn der Consultant in Österreich einen Wohnsitz hat oder sich gewöhnlich aufhält;
TAX-INTL-004;Nein, gemäß § 1 Abs 2 BAO iVm § 20 Abs 1 Z 2 EStG 1988 führt die Zweitwohnung allein nicht zur unbeschränkten Steuerpflicht, wenn die 183-Tage-Grenze nicht überschritten wird.;
TAX-INTL-005;Ja, gemäß § 26 Abs. 1 BAO iVm § 27 Abs. 1 BAO gilt ein Österreicher, der im Ausland tätig ist, aber eine Familienwohnung in Österreich beibehält, grundsätzlich als in Österreich ansässig, wenn die Wohnung als Mittelpunkt der Lebensinteressen dient.;
TAX-INTL-006;Nein, eine leerstehende und unmöblierte Wohnung begründet keinen Wohnsitz iSd § 26 BAO, da es an der erforderlichen Verfügungsmacht und Wohnungsausstattung fehlt.;
TAX-INTL-007;Ein inländischer Wohnsitz kann begründet werden, wenn jemand in Österreich eine Wohnung innehat, die als Mittelpunkt der Lebensinteressen dient (§ 8 Abs 1 BAO). Ein mobiler Wohnwagen kann als Wohnung gelten, jedoch ist fraglich, ob dieser die erforderliche Dauerhaftigkeit und Beständigkeit aufweist (§ 8 Abs 2 BAO).;
TAX-INTL-008;Ja, die Studentin behält grundsätzlich einen inländischen Wohnsitz in Österreich, da sie jederzeit ein Zimmer im Elternhaus in Graz nutzen kann und wirtschaftlich von den Eltern abhängig ist (§ 1 Abs 1 Z 1 und 2 EStG).;
TAX-INTL-009;Nein, ein gewöhnlicher Aufenthalt in Österreich wird nicht begründet, da der Arbeitnehmer täglich an seinen ausländischen Wohnsitz zurückkehrt (§ 2 Abs. 3 EStG).;
TAX-INTL-010;Ein gewöhnlicher Aufenthalt in Österreich kann entstehen, wenn der Arbeitnehmer regelmäßig länger als 183 Tage im Jahr in Österreich verbringt (§ 26 Abs. 1 BAO). Die regelmäßigen Übernachtungen von Montag bis Donnerstag könnten dazu führen, jedoch ist die Gesamtbeurteilung aller Umstände erforderlich.;
TAX-INTL-011;Nein, kurzfristige Auslandsaufenthalte für Projektarbeiten unterbrechen den gewöhnlichen Aufenthalt in Österreich nicht automatisch, vgl. § 29 Abs. 1 BAO iVm § 16 Abs. 1 EStG.;
TAX-INTL-012;Ja, gemäß § 2 Abs. 7 EStG 1988 ist für den Fall, dass eine Person im Laufe eines Kalenderjahres von unbeschränkter zu beschränkter oder von beschränkter zu unbeschränkter Steuerpflicht übergeht, ein Steuerabschnitt nicht zu unterbrechen;
TAX-INTL-013;Der Zufluss des Bonus nach Begründung des inländischen Wohnsitzes in Österreich ist für die österreichische Erfassung grundsätzlich relevant, da es sich um Einkünfte handelt, die dem Arbeitnehmer während seiner inländischen Ansässigkeit zufließen (§ 2 Abs 1 Z 1 EStG, § 3 Abs 1 EStG).;
TAX-INTL-014;Die ausländischen Einkünfte sind in Österreich nicht nachträglich zu erfassen, wenn sie bereits vor dem Zuzug zugeflossen sind, da es sich um Einkünfte handelt, die im Ausland erzielt und auch zugeflossen sind (§ 3 Abs 1 Z 1 EStG;
TAX-INTL-015;Ja, die Aufgabe des inländischen Wohnsitzes kann Wegzugsbesteuerung auslösen, wenn der Steuerinländer innerhalb von fünf Jahren vor der Aufgabe des Wohnsitzes wesentlich an inländischen Kapitalvermögen beteiligt war oder inländische Einkünfte bezogen hat (§ 6 Abs. 1 Z 1 und 2 iVm § 6 Abs. 2 BAO).;
TAX-INTL-016;Ja, gemäß § 8 Abs 1 Z 2 lit a EStG kann unbeschränkte Steuerpflicht entstehen, wenn die 183-Tage-Grenze (nicht 70-Tage-Grenze) innerhalb eines 12-Monats-Zeitraums überschritten wird und eine Wohnung in Österreich zur Verfügung steht;
TAX-INTL-017;Nach § 2 Abs 1 BAO hat jemand seinen gewöhnlichen Aufenthalt dort, wo er unter Umständen, die auf Dauer schließen lassen, eine Wohnung innehat oder in anderer Weise dort auf längere Zeit als nur vorübergehend verweilt. Ein Saisonarbeiter, der nur vier Monate in Österreich arbeitet, begründet idR keinen gewöhnlichen Aufenthalt (§ 2 Abs 2 BAO).;
TAX-INTL-018;Ja, gemäß § 1 Abs 2 EStG kann die unbeschränkte Steuerpflicht auch rückwirkend eintreten, wenn sich jemand länger als sechs Monate in Österreich aufhält.;
TAX-INTL-019;Der kanadische Arbeitnehmer gilt ab Februar 2026 als unbeschränkt steuerpflichtig in Österreich, wenn sein Wohnsitz oder gewöhnlicher Aufenthalt in Österreich begründet wird (§ 1 Abs 1 Z 1 EStG). Die Arbeitserlaubnis allein reicht nicht aus, es bedarf einer Prüfung der tatsächlichen Verhältnisse. (§ 8 Abs 1 EStG);
TAX-INTL-020;Die beschränkte Steuerpflicht in Österreich gemäß § 1 Abs 4 BAO iVm § 2 Abs 1 EStG 1988 endet nicht automatisch mit dem Wegfall der inländischen Einkünfte, da sie auch auf andere in § 2 Abs 1 EStG 1988 genannte Kriterien wie zB das Innehaben einer inländischen Betriebsstätte oder den inländischen Sitz einer Gesellschaft abstellt.;
TAX-INTL-021;Ja, gemäß § 1 Abs 2 EStG kann ein Ausländer auf Antrag als unbeschränkt steuerpflichtig behandelt werden, wenn er bestimmte Voraussetzungen erfüllt, insbesondere wenn seine inländischen Einkünfte (hier: aus Österreich) 90% seiner gesamten Einkünfte betragen;
TAX-INTL-022;Ja, gemäß § 1 Abs. 4 EStG 1988 kann die Antragstellung erfolgen, wenn die Einkünfte aus Österreich mehr als 90% der gesamten Einkünfte betragen;" dies ist bei einer slowenischen EU-Bürgerin mit österreichischen Einkünften und geringen Auslandseinkünften denkbar."""
TAX-INTL-023;Nein, die Staatsangehörigkeit allein ist nicht entscheidend;
TAX-INTL-024;Ja, die Höhe der nicht in Österreich steuerpflichtigen Auslandseinkünfte muss für den Antrag nach § 1 Abs. 4 EStG 1988 nachgewiesen werden, da dies eine Voraussetzung für die Anwendung dieser Vorschrift ist (§ 1 Abs. 4 EStG 1988 iVm § 90 Abs. 2 EStG 1988).;
TAX-INTL-025;Nein, die beschränkte Steuerpflicht in Österreich gemäß § 1 Abs 2 BAO erstreckt sich nur auf inländische Einkünfte, nicht auf das gesamte Welteinkommen;
TAX-INTL-026;Ein beschränkt Steuerpflichtiger kann weder den Familienbonus Plus (§ 4g EStG) noch den Alleinverdienerabsetzbetrag (§ 18 Abs 3 EStG) beanspruchen, da diese nur für unbeschränkt Steuerpflichtige vorgesehen sind.;
TAX-INTL-027;Ja, gemäß § 20 Abs. 9 EStG 1988 sind Sonderausgaben bei beschränkt Steuerpflichtigen nur dann abzugsfähig, wenn ein Inlandsbezug besteht.;
TAX-INTL-028;"Ja, das ist korrekt. Gemäß § 50 Abs. 1 EStG 1988 unterliegen beschränkt Steuerpflichtige nicht dem gesetzlichen Zuschlag zum Einkommen für die Steuerberechnung, auch bekannt als ""Zuschlag"" oder ""Rechtsanwalts- und Steuerberatungskosten"".";
TAX-INTL-029;Die Anwendbarkeit von außergewöhnlichen Belastungen nach § 34 EStG 1988 und § 35 EStG 1988 bei beschränkter Steuerpflicht ist in § 50 Abs 1 EStG 1988 geregelt. Danach sind außergewöhnliche Belastungen nur bei unbeschränkter Steuerpflicht anwendbar, § 50 Abs 1 EStG 1988. Bei beschränkter Steuerpflicht sind sie daher nicht anwendbar.;
