question,answer
"Was sind ""freie Dienstnehmer"" ?","steuerrechtlich Selbständige
Sv-rechtlich ein ¨Mittelding¨ zwischen echtem Dienstverhältnis und echtem Selbständigen (GSVG-Versicherten
Abgabenrechtlich also ein ¨Zwitter¨: Einkommensteuerpflichtig, aber ASVG versichert
Personen, die sich auf grund eines freien Dienstvertrages auf bestimmte oder unbestimmte Zeit verpflichten (=Dauerschuldverhältnis) für einen Dienstgeber im Rahmen seines Geschäftsbetriebes Dienstleistungen im wesentlichen persönlich zu erbringen und über keine wesentlichen eigenen Betriebsmittel verfügen.
Meldepflicht des Dienstgebers bei der GBK"
Wie kann ich Ausgaben nachweisen?,"Voraussetzung ist der Nachweis mit Beleg (Rechnungsnachweis + Zahlungsnachweis) und die Glaubhaftmachung der betrieblichen Veranlassung sowie die Empfängernennung nach § 162 BAO.

Die Rechnung soll immer auf den Unternehmer ausgestellt sein : näheres siehe Umsatzsteuer : Wie muss eine Rechnung ausgestellt sein ?"
Wie muss ich meine Einnahmen aufzeichnen?,"Wenn ich Rechnungen ausstelle, muss ich von jeder eine Kopie zurückbehalten um so meine Einnahmen nachvollziehbar zu machen. Die Rechnungen müssen (durchgehend) nummeriert sein. Auch sollte ich alle Grundlagen, die zur Rechnungserstellung geführt haben (Kostenvoranschläge, Auftragsbestätigungen, Kalkulationen, ...) aufbewahren. Wenn ich keine Rechnungen ausstelle, muss ich lückenlose Aufzeichnungen über meine Einnahmen führen und diese ebenfalls aufbewahren (Registrierkasse, Paragons,....). Zusätzlich gilt ab 2007 die sogenannte Barbewegungsverordung, die genaue Vorschriften bezüglich der Aufzeichnung von Bareinnahmen und Barausgaben enthält. In dieser wurde auch die Möglichkeit die Losung aus dem Kannenbestand rückzurechnen (Kassasturz) drastisch eingeschränkt."
Sind Vereine überhaupt steuerpflichtig?,"Vereine können Körperschaftssteuer- oder/und Umsatzsteuerpflichtig sein. Die Kriterien werden hier kurz zusammengefasst:

Juristische Personen (darunter auch Vereine) unterliegen grundsätzlich der Körperschaftsteuer (§ 1 KStG).
Gemeinnützige Vereine sind allerdings nach § 5 KStG Z 6 von der Körperschaftsteuer befreit, wenn sie ausschließlich und unmittelbar gemeinnützige, mildtätige oder kirchliche Zwecke verfolgen und die Gewinnverwendung den Vorschriften der Bundesabgabenordnung entspricht.
Übt ein Verein darüber hinaus wirtschaftliche Geschäftsbetriebe aus oder überschreitet den Freibetrag von € 10.000, so sind diese betrieblichen Erträge körperschaftsteuerpflichtig.
Zusätzlich können Umsatzsteuerpflichten entstehen, sobald der jährliche Umsatz aus wirtschaftlichen Tätigkeiten die Kleinunternehmergrenze (35.000 €) übersteigt (§ 6 UStG).
Hinweis: Zur Anerkennung als steuerbefreiter Gemeinnütziger Verein muss beim Finanzamt ein Antrag gestellt und die Satzung geprüft werden.

Bei weiteren Fragen kannst du dich an einen Steuerberater oder das Finanzamt wenden."
Welche steuerlichen Begünstigungen gibt es?,"Für Körperschaften, die die gesetzlichen Voraussetzungen erfüllen, gibt es verschiedene steuerliche Begünstigungen. Dazu gehören unter anderem

Erleichterungen bei der Umsatzsteuer (z. B. ermäßigter Umsatzsteuersatz),
der Körperschaftsteuer (z. B. beschränkte Körperschaftsteuerpflicht)
sowie bei Gebühren und Kommunalsteuern"
Was ist das Unbeschränkte und was die beschränkte Steuerpflicht?,"
1. Natürliche Personen unterliegen der Einkommensteuer, juristische Personen unterliegen der
Körperschaftsteuer.
2. EStG und KStG unterscheiden zwei Kategorien der Reichweite des zu erfassenden Einkommens:
 Bei unbeschränkter Steuerpflicht ist das Welteinkommen Steuergegenstand
(Welteinkommensbesteuerung)
 Bei beschränkter Steuerpflicht ist nur das Inlandseinkommen zu besteuern
(Territorialitätsprinzip).
3. Ein Wohnsitz oder ein gewöhnlicher Aufenthalt in Österreich begründen die unbeschränkte
Steuerpflicht in Österreich. Entscheidend ist die Schlüsselgewalt."
Was sind Einkünfte aus selbständiger Arbeit?,"
Freiberufler sind von der Rechnungslegung nach §189 ff UGB ausgenommen. Sie ermitteln ihren
Gewinn in der Regel nach einer Einnahmen-Ausgaben-Rechnung gemäß §4 ABs 3 EStG. Sie können
jedoch freiwillig eine Gewinnermittlung durch Vermögensvergleich (Bilanzierung) nach §4 Abs. 1 EStG
wählen."
Was sind Einkünfte aus nichtselbständiger Arbeit?,"
sind AN (schulden Arbeitskraft, sind weisungsgebunden, organisatorisch eingebunden, sind zu Treue
und Sorgfalt verpflichtet). Löhne und Gehälter sind mit Lohnsteuer §§47 ff EStG,
Sozialversicherungsbeiträgen und Lohnnebenkosten zu belasten. Nichtselbständige genießen eine
begünstigte Besteuerung des 13. Und 14. Monatsbezuges mit 6% Fixsteuersatz statt mit bis zu 55%
ESt. In §68 EStG sind ebenfalls Begünstigungen beschrieben."
Was sind Einkünften aus Gewerbetrieb?,"Jede selbständige Einkunftserzielung, die einerseits über eine passive Vermögensverwaltung
hinausgeht und andererseits nicht unter die beiden ersten Einkunftsarten fällt, ist als
Gewerbebetrieb zu erfassen. Gewerbebetriebe sind U iSd §1 UGB und werden von der
Rechnungslegung nach §§189 ff UGB erfasst. Wird die Schwelle der Umsatzerläse nach §189 UGB
(700.000 €) überschritten, ist der Gewinn nach §5 EStG zu ermitteln. Für Kleinbetriebe greifen zum
Teil Pauschalierungsverordnungen nach §17 EStG."
"Was sind Einkünfte aus Kapitalvermögen?
","Früchte und Substanz sind ertragsteuerpflichtig. Das gilt ab 1.4.12 auch im Privatvermögen. §27
unterscheidet drei Kategorien von Einkünften aus Kapitalvermögen:
- Einkünfte aus der Überlassung von Kapital (Ausschüttung aus Kapitalgesellschatten, Bezüge
aus Genossenschaften, Bezüge aus Agrargemeinschaften, Zinsen und andere Erträge, …..
- Einkünfte aus realisierten Wertsteigerungen
- Einkünfte aus Derivaten"
Was sind Arbeitsgemeinschaften?,"Beschränkt sich eine GesbR auf die Erfüllung eines einzigen Werkvertrages und übersteigt der
Auftragswert nicht 700.000€ so gelten die Betriebsstätten dieser Mitunternehmerschaft anteilig als
Betriebsstätten der Mitglieder."
Was ist der Gewinnfreibetrag §10?,"Natürliche Personen können von Betriebsgewinnen einen Gewinnfreibetrag abziehen. §10 Abs. 1 Z 2
EStG sieht ab dem KJ 2013 eine Prozentstaffelung des Gewinnfreibetrages vor: für die ersten
175.000€ - 13% für die nächsten 175.000€ - 7% für weitere 230.000 – 4,5%. Darüber hinaus kann ein
investitionsbedingter Gewinnfreibetrag geltend gemacht werden."
Was ist Liebhaberei im UStG?,"„Eine Tätigkeit die auf Dauer gesehen Gewinne oder Einnahmenüberschüsse nicht erwarten lässt
(Liebhaberei)“ gilt nicht als unternehmerische Tätigkeit. Unionsrechtlich ist festzuhalten: Eine
Abgrenzung unternehmerischer Einnahmeerzielung einerseits und privater Bedürfnisbefriedigung
andererseits ist zulässig und geboten. Es genügt also nicht, die Tarnkappe gelegentlicher
Einnahmerzielung über Hobbies zu ziehen. Entscheidend ist ob im Kern eine marktwirtschaftliche
Tätigkeit zur Einnahmerzielung entfaltet wird. Wer in Ö marktkonform Wohnraum vermietet ist nach
Art 9 MwStSyst-RL und nach der Rspr des EuGH als Unternehmer zu qualifizieren: Es ist
umsatzsteuerpflichtig und der Vorsteuerabzug steht zu."
Was ist der Eigenverbrauch?,"Konsumiert ein Unternehmer Leistungen seines Unternehmens, so soll er nicht umsatzsteuerfrei
konsumieren, sondern ebenso mit USt belastet werden. Dazu dient der Eigenverbrauch. Der
Eigenverbrauch umfasst:
- Die Lieferfiktion für Entnahmen §3 Abs. 2
- Die Leistungsfiktion für Nutzungsentnahme"
"Was ist die Grundregel für den Vollen Vorsteuerabzug?
","Lieferung und sonstige Leistungen sowie die Einfuhr gelten als ausgeführt wenn sie für Zwecke des U
erfolgen und wenn sie zu mind. 10% unternehmerischen Zwecken dienen. Die Grundregel lautet also:
Ab 10% unternehmerischer Nutzung steht der volle Vorsteuerabzug zu. §12 Abs. 2.
Bsp.: Eine Waschmaschine wird zu 20% unternehmerisch und zu 80% privat genutzt. Der Volle
Vorsteuerabzug steht zu."
"Krafträder, PKW, Kombi – Vorsteuerabzug ja oder nein?","Ausgenommen Fahrschul, Vorführfahrzeuge oder zu min 80% gewerblicher Personenbeförderung
gelten nach §12 ABs 2 UStG nicht als Unternehmer ausgeführt. (Ausschluss von der
Unternehmenssphäre kraft gesetzlicher Fiktion). VwGH sagt ein bloßes Vorsteuerabzugsverbot. Ein
Verkauf von vom Vorsteuerabzug ausgeschlossenen PKW ist nach §6 Abs. 1 Z 26 UStG
umsatzsteuerfrei. Vom VSt-Abzugsverbot ebenfalls ausdrücklich ausgenommen werden durch das
StRefG ab 1.1.16 auch PKW und Kombis mit einem CO2 Emissionswert von 0 Gramm pro KM, also
etwa Elektroautos."
Was ist die Bemessungsgrundlage?,"Regelbemessungsgrundlage ist die Gegenleistung (Kaufpreis + vorbehaltene Nutzung + Leistungen
von dritter Seite). Bei speziellem Grundstückswert nach einer VO des BMF ist die
Ersatzbemessungsgrundlage. Bei land- und forstwirtschaftlichen Grundstücken greift der
Einheitswert zu gezielten Privilegierung des Immoerwerbs innerhalb speziell definierten Familie."
"Wann beginnt und endet die Steuerpflicht §4?
","Die KöSt setzt bereits ein, wenn die gesellschaftsvertragliche Grundlage (Gesellschaftsvertrag,
Satzung, Statuten, Stiftungsbrief) festgestellt ist und die Gesellschaft als solche erstmalig nach außen
in Erscheinung tritt. Das ist idR schon vor der Eintragung im FB der Fall: Nach Auffassung des VwGH genügt die Eröffnung eines Bankkontos. Die KöSt-Pflicht endet mit dem Untergang der
Personenqualität oder dem späteren Abschluss der Liquidation. Die
Mindestkörperschaftsteuerpflicht endet mit der Löschung im FB mit dem der Löschung
vorangehenden Quartal."
"Was ist im Fall eines Mantelkaufs?
","Im Falle eines Mantelkaufes geht der Verlustabzug verloren. Ein solcher liegt vor, wenn die Identität
einer Körperschaft infolge einer wesentlichen Änderung der
- Organisatorischen und
- Wirtschaftlichen Struktur
- Im Zusammenhang mit einer wesentlichen entgeltlichen Änderung der Gesellschafterstruktur
Nach dem Gesamtbild der Verhältnisse nicht mehr gegeben ist."
" Was sind Stiftungen?
 ","Eine Stiftung ist eine Einrichtung, die mit Hilfe eines Vermögens
einen vom Stifter festgelegten Zweck verfolgt. Dabei wird in der Regel
das Vermögen auf Dauer erhalten, und es werden nur die Erträge für den
Zweck verwendet."
" Erklären Sie die Einkommensteuer.
","Der Einkommenssteuer unterliegt das Einkommen von natürlichen
Personen. Sie wird nach dem Leistungsfähigkeitprinzip bemessen der
durch z.B. Familienstand oder einer Behinderung beeinflusst werden
kann."
"Wer unterliegt der Einkommensteuer?
",Natürliche Personen
"Definiere Wohnsitz
","Hat jemand dort wo er eine Wohnung innehat und diese auch benützt.
Maßgeblich ist die Schlüsselgewalt. Wer bestimmen kann wer kommen
und gehen darf hat die Schlüsselgewalt. Womit auch Ferienwohnungen
ein Wohnsitz sein können!"
"Gibt es Begünstigungen für die Lohnsteuer?
"," Ja, wie zB: 13.&14. Monatsgehalt (Urlaubs-/Weihnachtsgeld) haben 0%
Lohnbesteuerung, Zulagen und Zuschläge (Schmutz-, Erschwernis- u.
Gefahrenzulage; Sonntags-, Feiertags- u. Nachtarbeit,
Überstundenzuschläge). Zum Ausgleich der begünstigten Lohnbesteuerung
vom Urlaubs- u. Weihnachtsgeld wurde für die Nicht-Dienstnehmer ab
Veranlagung 2010 die Begünstigung des ""Gewinnfreibetrages"" eingeführt."
"Erkläre den Begriff Betriebsausgaben
","Aufwendungen oder Ausgaben die durch den Betrieb veranlasst sind.
Sollen Zweckmässig sein müssen aber nicht notwendig sein"
Was ist die AfA?,"Absetzung für Abnutzung. Die Anschaffungs- od. Herstellungskosten von
abnutzbaren Wirtschaftsgütern des Anlagevermögens dürfen nicht im
Zeitpunkt der Zahlung zur Gänze als Betriebsausgabe geltend gemacht
werden."
"Was sind geringwertige Wirtschaftsgüter
","Wenn die Herstellungskosten bzw. Anschaffungskosten <400€ sind.
Diese kann man sofort abschreiben."
"Was ist ein Freibetrag für investierte Gewinne?
","Natürliche Personen, die ihre Gewinnermittlung durch
Einnahmen-Ausgaben-Rechnung ermitteln können bis zu 10% (max jedoch
100.000 EUR) als Freibetrag für investierte Gewinne gewinnmindernt
geltend machen. Vorraussetzung ist die herstellung von begünstigten
Wirtschaftsgütern."
"Wann ist eine Körperschaft unbeschränkt steuerpflichtig?
","Jene, die ihren Sitz oder ihre Geschäftsleistung im Inland haben"
Wie sieht die Besteuerung der Ausschüttung der Gesellschaften aus?,"Der Gewinn einer Gesellschaft unterliegt zuerst der KoeSt mit 25%.
Bei einer Gewinnausschüttung an natürlichen Personen wird diese dann
noch mit der Halben ESt oder mit einer KESt von 25% besteuert."
"Was ist die Gruppenbesteuerung?
","Innerhalb einer finanziell miteinander verbundenen Unternehmensgruppe
werden sämtliche steuerlichen Gewinne bzw. Verluste aller beteiligten
Körperschaften zusammengefasst u. das aussaldierte Ergebnis
schlussendlich nur einer Körperschaft(Gruppenträger) zugerechnet.
(Im Gegensatz zur Individualbesteuerung vom Körperschaftssteuerrecht)"
Wer ist Abgabenschuldner? Wer kann noch für Abgaben herangezogen werden? Rz 5,"Der Abgabenschuldner, also derjenige, der die Abgabe schuldet, ergibt sich aus den Abgabenvorschriften.
Wer Abgabenschuldner ist, bestimmt sich grundsätzlich danach, wer nach den Abgabenvorschriften Steuersubjekt ist.
Neben dem Steuersubjekt (als Abgabenschuldner) kommen auch Rechtsnachfolger des Abgabenschuldners (vgl
§§ 14, 19 BAO) oder andere Personen in Betracht, die für eine Abgabenschuld haften (vgl § 7 BAO)."
Wem sind Wirtschaftsgüter für steuerliche Zwecke grundsätzlich zuzurechnen? ,"Ausprägung der wirtschaftlichen Betrachtungsweise ist die Zurechnung von Wirtschaftsgütern für abgabenrechtliche
Zwecke (§ 24 BAO). Wirtschaftsgüter sind nicht dem rechtlichen Eigentümer zuzurechnen, sondern einer anderen
Person, wenn diese über die Wirtschaftsgüter wie ein Eigentümer wirtschaftlich verfügen kann. Dieses wirtschaftliche
Eigentum ist die Befugnis, über die Substanz und den Nutzen des Wirtschaftsguts gleich einem rechtlichen Eigentümer
zu verfügen und die Herrschaft darüber auszuüben."
"Was sind Formen steuerlicher Entlastungen und Begünstigungen? Was ist der Unterschied zwischen Freibetrag und
Freigrenze?","Die Steuerbegünstigung kann auf allen vier Ebenen einer Steuer gewährt werden.
▪ Steuersubjekt: persönliche Befreiung eines Steuerschuldners;
▪ Steuerobjekt: sachliche Befreiung eines Steuerobjekts;
▪ Steuerermittlung: Anwendung eines geringeren Steuersatzes oder sachliche Befreiung von Teilen der
Bemessungsgrundlage;
▪ Steuererhebung: Aufschub, keine Erhebung, Absetzbetrag, Steuergutschrift.
Begünstigungen der Höhe nach werden im Wege von Freibeträgen und Freigrenzen gewährt. Ein Freibetrag befreit bis
zur Höhe des Betrags, der darüber hinausgehende Betrag unterliegt der Besteuerung. Eine Freigrenze führt zur Befreiung
eines Betrags nur dann, wenn der Betrag die Freigrenze nicht übersteigt. Übersteigt der Betrag die Freigrenze, ist der
gesamte Betrag steuerpflichtig."
Wann wird die Grunderwerbssteuer Erhoben und Entrichtet?,"Die Steuerschuld entsteht, sobald ein steuerpflichtiger Erwerbsvorgang
verwirklicht ist. Entscheidend ist der Abschluss des Rechtsgeschäfts,
mit dem sich die Vertragspartner über Kaufgegenstand und Kaufpreis
geeinigt haben. Beim Erwerb durch Erbschaft oder Vermächtnis ensteht
die Steuerschuld mit rechtskräftiger Einantwortung."
"Definiere Grunderwerbssteuer
","Sie ist eine spezielle Verkaufssteuer auf den Erwerb von inländischen
Grundstücken. Dazu gehören unbebaute und bebaute Grundstücke."
"Gibt es die Erbschaftssteuer?
","Die Erbschaftssteuer ist mit 31. 7. 2008 ausgelaufen da sie vom VfGH
als verfassungswidrig erklärt wurden. Seit 1. 8. 2008 ist daher
steuerfreies Erben und Schenken möglich."
"Was ist das Doppelbesteuerungsabkommen? (DBA)
","Sind völkerrechtliche Verträge in denen die Besteuerungsrechte der
beteiligten Staaten so abgegrenzt werden, dass die materielle
Doppelbesteuerung gemindert oder vermieden wird."
" Was berechtigt einem Unternehmer zu Vorsteuerabzug?
","Das Umsatzsteuerrecht (Kostenneutralität).
Der Unternehmer kann die ihm für erhaltene Leistungen in Rechnung
gestellte Ust von der eigenen USt-Schuld abziehen."
"Was ist der Reverse Charge und dessen Vorsteuerabzug?
","Beim RC schuldet nicht der Leistende, sondern der Leistungsempfänger
die USt.
Kommt vor, wenn man eine Leistung von einem ausländischen Unternehmen
bekommt und deswegen eine Rechnung ohne USt ausgestellt wird."
"Was ist die Bemessungsgrundlage?
","Ist eine Lieferung oder eine sonstige Leistung in Österreich
umsatzsteuerbar und umsatzsteuerpflichtig wird die anfallende
Umsatzsteuer vom Entgelt bemessen. Das Entgeld beinhaltet alles, was
der Leistungsempfänger aufwändet um die Leistung zu erhalten.
Beispiel: Ein Rechtsanwalt, der seinem Mandanten 700 EUR Honorar, 200
EUR Reisekosten und 50 EUR Gerichtsgebühren verrechnet. Das Entgelt
beträgt nun 900 EUR da die Gerichtsgebühren einen durchlaufenden
Posten darstellen."
Was ist eine verdeckte und offene Gewinnausschüttung? Unterschiede?,"• Offene Gewinnausschüttung: wird handelsrechtlich offen ausgewiesen,
Verteilung auf Grund von Gewinnverteilungsbeschluss od. gesetzl.
Verteilungsregeln
• Verdeckte Gewinnausschüttung: wenn Gesellschaft ihren
Gesellschaftern bewusst gewollte Vorteile(Leistungen) zukommen lässt
die es einem Gesellschaftsfremden nicht gewähren würden.
(Gesellschaft kauft Grundstück von Gesellschafter um den doppelten
Preis)
Gewinnausschüttungen sind Einkommensverwendungen und mindern das
ertragssteuerpflichtige Einkommen nicht."
Was sind Stiftungen?,"Eine Stiftung ist eine Einrichtung, die mit Hilfe eines Vermögenseinen vom Stifter festgelegten Zweck verfolgt. Dabei wird in der Regeldas Vermögen auf Dauer erhalten, und es werden nur die Erträge für denZweck verwendet."
Was ist das Problem mit einer Quasi-Gesellschaft? ,Unternehmensrechtlich ist zwingend eine DOPPIK einzurichten. Steuerrechtlich ist zwingend eine Ermittlung des Überschusses der Einnahmen über die Werbungskosten einzurichten; für außerbetriebliche Einkünfte der Kommanditisten ist eine andere Art der Einkünfteermittlung nicht vorgesehen.
Erklären Sie die Einkommensteuer.,Der Einkommenssteuer unterliegt das Einkommen von natürlichenPersonen. Sie wird nach dem Leistungsfähigkeitprinzip bemessen derdurch z.B. Familienstand oder einer Behinderung beeinflusst werdenkann.
"Der Einzelunternehmer Herr Amozo ist 50 Jahre alt, wohnt in Linz (Österreich) und betreibt
seit Beginn des Jahres X1 eine Buchhandlung. Er führt freiwillig und ordnungsgemäß
Bücher und erwirtschaftet im Jahr X6 einen Verlust in Höhe von EUR 70.000.
Am 30.06.X7 schließt Herr Amozo das letzte Mal die Ladentür und stellt seine
Erwerbstätigkeit ein. Er verkauft sein Unternehmen an Frau Buch. Der
Veräußerungsgewinn beträgt EUR 270.000. Laufende Gewinne oder Verluste werden in X7
nicht mehr erzielt.
a) Beurteilen Sie die Einkommensteuerpflicht von Herrn Amozo für das Jahr
X7 und ermitteln Sie sein Einkommen in X7. Der Tarif sowie die Form der
Steuererhebung sind nicht zu prüfen.","a) EStG
Persönliche Steuerpflicht:
§ 1 Abs 1 EStG: Herr Amozo = natürliche Person
§ 1 Abs 2 EStG iVm § 26 Abs 1 BAO: Herr Amozo hat Wohnsitz in Linz,
daher unbeschränkte Steuerpflicht

Sachliche Steuerpflicht:
Sachliche Stpfl „dem Grunde“ nach:
§ 2 Abs 1 EStG: Der Einkommensteuer unterliegt Herr Amozos Einkommen, das er
innerhalb eines Kalenderjahres bezogen hat

§ 2 Abs 2 EStG: Einkommen = Gesamtbetrag der Einkünfte iSd Abs 3 – SA – agB – FB
gem § 105 EStG
0,5 P
Als SA ist nach § 18 Abs 6 TS 1+2 EStG ein Verlustabzug (= Verlust des Jahres X6, s.u.)
abzuziehen

Steuerbarkeit: § 2 Abs 3 Z 3 EStG iVm § 23 Z 3 iVm § 24 Abs 1 Z 1 TS 1 EStG:
Veräußerung des Gewerbebetriebs führt zu einem Veräußerungsgewinn iSd § 24 EStG

Steuerbefreiung: Freibetrag nach § 24 Abs 4 EStG steht zu, weil keine
Progressionsermäßigung nach § 37 Abs 2 EStG (s.u.)

Sachliche Stpfl „der Höhe“ nach:
Ermittlung Höhe von EK aus Gewerbebetrieb → § 2 Abs 4 Z 1 EStG: Bei betrieblichen
Einkunftsarten entspricht die Höhe der Einkünfte grds dem Gewinn (§§ 4-14 EStG); bei
Veräußerungsgewinnen ist hier zusätzlich § 24 Abs 2 EStG zu beachten →
Veräußerungsgewinn beträgt lt Angabe EUR 270.000

Gewinnfreibetrag nach § 10 EStG steht nicht zu, weil Bmgl nach § 10 Abs 1 Z 1 TS 1
EStG keine Veräußerungsgewinne umfasst

Verteilung Veräußerungsgewinn auf 3 Jahre gem § 37 Abs 2 Z 1 EStG nicht möglich:
Veräußerungsgewinn iSd § 24 EStG, wenn seit der Eröffnung des Betriebes 7 Jahre
verstrichen sind: hier nicht gegeben, da lt SV nur 6,5 Jahre vergangen sind (volle 7
Jahre [= 84 Monate] wären notwendig, s im Detail Kanduth-Kristen in Jakom EStG16
[2023] § 37 Rz 27 mwN).

Einkommen X7: Gesamtbetrag der Einkünfte (= EK aus Gewerbebetrieb iHv EUR
270.000) – SA (EUR 70.000) = EUR 200.000"
