question,answer,focus_area,legal_basis,source
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 24.900 Euro innerhalb eines Kalenderjahres und ist dadurch erschwert, dass wobei neben dem Hauptvorgang auch Nebenkosten, Vertragsnebenabreden und zeitversetzte Zahlungen eine Rolle spielen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 24.900 Euro mit einem Zufluss teilweise vor und teilweise nach dem Jahreswechsel und ist dadurch erschwert, dass wobei einzelne Leistungen formal getrennt abgerechnet werden, wirtschaftlich aber eng zusammenhaengen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 24.900 Euro ueber zwei Veranlagungsjahre hinweg und ist dadurch erschwert, dass wobei neben dem Hauptvorgang auch Nebenkosten, Vertragsnebenabreden und zeitversetzte Zahlungen eine Rolle spielen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 31.600 Euro in einer Konstellation mit laufenden und einmaligen Zahlungen und ist dadurch erschwert, dass wobei einzelne Leistungen formal getrennt abgerechnet werden, wirtschaftlich aber eng zusammenhaengen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 31.600 Euro in einer Konstellation mit laufenden und einmaligen Zahlungen und ist dadurch erschwert, dass wobei neben dem Hauptvorgang auch Nebenkosten, Vertragsnebenabreden und zeitversetzte Zahlungen eine Rolle spielen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 31.600 Euro innerhalb eines Kalenderjahres und ist dadurch erschwert, dass wobei einzelne Leistungen formal getrennt abgerechnet werden, wirtschaftlich aber eng zusammenhaengen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 31.600 Euro innerhalb eines Kalenderjahres und ist dadurch erschwert, dass wobei neben dem Hauptvorgang auch Nebenkosten, Vertragsnebenabreden und zeitversetzte Zahlungen eine Rolle spielen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 47.250 Euro innerhalb eines Kalenderjahres und ist dadurch erschwert, dass wobei einzelne Leistungen formal getrennt abgerechnet werden, wirtschaftlich aber eng zusammenhaengen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 47.250 Euro innerhalb eines Kalenderjahres und ist dadurch erschwert, dass wobei neben dem Hauptvorgang auch Nebenkosten, Vertragsnebenabreden und zeitversetzte Zahlungen eine Rolle spielen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 63.800 Euro innerhalb eines Kalenderjahres und ist dadurch erschwert, dass wobei einzelne Leistungen formal getrennt abgerechnet werden, wirtschaftlich aber eng zusammenhaengen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 63.800 Euro innerhalb eines Kalenderjahres und ist dadurch erschwert, dass wobei neben dem Hauptvorgang auch Nebenkosten, Vertragsnebenabreden und zeitversetzte Zahlungen eine Rolle spielen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 95.000 Euro innerhalb eines Kalenderjahres und ist dadurch erschwert, dass wobei einzelne Leistungen formal getrennt abgerechnet werden, wirtschaftlich aber eng zusammenhaengen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Bei einer komplexen Standardkonstellation zu eine nachhaltige marktorientierte Verkaufstaetigkeit ist zu pruefen, wie eine in Wien ansaessige Angestellte steuerlich zu behandeln ist. Der Fall bewegt sich in einer Groessenordnung von 95.000 Euro innerhalb eines Kalenderjahres und ist dadurch erschwert, dass wobei neben dem Hauptvorgang auch Nebenkosten, Vertragsnebenabreden und zeitversetzte Zahlungen eine Rolle spielen. Wie lautet die wesentliche Ausgangsfrage nach EStG Paragraph 23?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Ein mehrgliedriger Sachverhalt rund um eine nachhaltige marktorientierte Verkaufstaetigkeit fuehrt bei eine in Wien ansaessige Angestellte zu Unsicherheit. Es geht um 18.400 Euro in einer Konstellation mit laufenden und einmaligen Zahlungen, und Hauptleistung, Nebenleistung sowie wirtschaftlicher Zweck erscheinen nicht deckungsgleich, wobei ein Teil der Zahlungen noch im selben Jahr und ein anderer Teil erst im Folgejahr zufliesst. Welche systematische Beurteilung ist nach EStG Paragraph 23 geboten?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Ein mehrgliedriger Sachverhalt rund um eine nachhaltige marktorientierte Verkaufstaetigkeit fuehrt bei eine in Wien ansaessige Angestellte zu Unsicherheit. Es geht um 18.400 Euro mit einem Zufluss teilweise vor und teilweise nach dem Jahreswechsel, und Hauptleistung, Nebenleistung sowie wirtschaftlicher Zweck erscheinen nicht deckungsgleich, wobei ein Teil der Zahlungen noch im selben Jahr und ein anderer Teil erst im Folgejahr zufliesst. Welche systematische Beurteilung ist nach EStG Paragraph 23 geboten?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
"Ein mehrgliedriger Sachverhalt rund um eine nachhaltige marktorientierte Verkaufstaetigkeit fuehrt bei eine in Wien ansaessige Angestellte zu Unsicherheit. Es geht um 18.400 Euro mit einem Zufluss teilweise vor und teilweise nach dem Jahreswechsel, und Hauptleistung, Nebenleistung sowie wirtschaftlicher Zweck erscheinen nicht deckungsgleich, wobei einzelne Leistungen formal getrennt abgerechnet werden, wirtschaftlich aber eng zusammenhaengen. Welche systematische Beurteilung ist nach EStG Paragraph 23 geboten?","Grundsaetzlich gilt: fuer Einkuenfte aus Gewerbebetrieb insbesondere Selbstaendigkeit Nachhaltigkeit Gewinnabsicht und Beteiligung am allgemeinen wirtschaftlichen Verkehr zu pruefen sind. Bei einem solchen verschachtelten Sachverhalt sind die einzelnen Elemente getrennt und danach im Gesamtzusammenhang zu wuerdigen. Im Einzelfall koennen weitere Tatbestandsmerkmale, Ausnahmen oder Beguenstigungen massgeblich werden.",Business Profits,EStG Paragraph 23,https://ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10004570&Paragraf=23
