id,prompt,correct_answer,sources,student_id,
EStG-23-011,"Ein Hobbymaler stellt seine Werke gelegentlich in einer kleinen Galerie aus und verkauft sie dort. In den letzten zehn Jahren überstiegen die Kosten für Material, Miete und Werbung stets die Verkaufserlöse bei weitem. Eine Besserung der Einnahmesituation ist nicht absehbar, dennoch führt er die Tätigkeit unverändert fort. Sind diese Verluste steuerlich bei den Einkünften aus Gewerbebetrieb gemäß § 23 EStG berücksichtigungsfähig?","Nein, die Verluste sind steuerlich nicht berücksichtigungsfähig. Ein Gewerbebetrieb nach § 23 EStG setzt eine Gewinnerzielungsabsicht voraus. Da hier über einen langen Zeitraum nur Verluste erzielt wurden und keine Aussicht auf einen Gesamterfolg besteht (Totalgewinnprognose), ist die Tätigkeit als Liebhaberei einzustufen. Liebhaberei ist steuerlich unbeachtlich, weshalb weder Gewinne versteuert noch Verluste gegengerechnet werden können.",§ 23 EStG 1988,11817953,
EStG-23-012,"Ein Versicherungsmakler vermittelt in seiner Freizeit regelmäßig Immobilien an Bekannte und erhält hierfür von den jeweiligen Immobilienbüros eine Tippgeber-Provision. Er schaltet keine Inserate, nutzt aber sein berufliches Netzwerk intensiv, um Käufer und Verkäufer zusammenzubringen. Im letzten Jahr erzielte er so fünf Provisionen. Sind diese Einkünfte als Einkünfte aus Gewerbebetrieb gemäß § 23 EStG zu werten?","Ja, es handelt sich um Einkünfte aus Gewerbebetrieb gemäß § 23 EStG. Die Tätigkeit ist selbstständig und wird mit Gewinnerzielungsabsicht ausgeübt. Durch die Regelmäßigkeit (fünf Vermittlungen) ist das Merkmal der Nachhaltigkeit erfüllt. Zudem beteiligt er sich am wirtschaftlichen Verkehr, da er seine Vermittlungsleistung am Markt (gegenüber Immobilienbüros) anbietet. Es liegt keine bloße private Gefälligkeit mehr vor.",§ 23 EStG 1988,11817953,
EStG-23-013,"Ein Uhrenliebhaber kauft über mehrere Jahre hinweg gezielt limitierte Luxusuhren auf dem Zweitmarkt auf, hält diese für einige Monate und verkauft sie bei Wertsteigerung mit Gewinn weiter. Er führt im Jahr etwa 15 solcher Transaktionen durch und reinvestiert die Erlöse systematisch in neue Modelle. Er nutzt dafür spezialisierte Online-Foren und Auktionshäuser. Liegt hier eine private Vermögensverwaltung oder ein Gewerbebetrieb gemäß § 23 EStG vor?","Es liegt ein Gewerbebetrieb gemäß § 23 EStG vor. Die Tätigkeit ist selbstständig, nachhaltig (15 Transaktionen pro Jahr) und mit Gewinnerzielungsabsicht ausgestaltet. Da der Steuerpflichtige wie ein Händler am Markt auftritt (systematischer An- und Verkauf zur Gewinnerzielung) und sich am allgemeinen wirtschaftlichen Verkehr beteiligt, überschreitet dies die bloße private Vermögensverwaltung oder ein gelegentliches privates Veräußerungsgeschäft.",§ 23 EStG 1988,11817953,
EStG-23-014,"Ein freier Journalist schreibt Artikel für verschiedene Zeitungen. Da er seine Reichweite erhöhen möchte, gründet er einen eigenen kleinen Fachverlag, kauft Texte von anderen Autoren ein, lässt diese drucken und vertreibt die fertigen Magazine über den Zeitschriftenhandel. Sind die Einkünfte aus dem Verlagsgeschäft (Verkauf der Magazine) als Einkünfte aus Gewerbebetrieb gemäß § 23 EStG einzustufen?","Ja, die Einkünfte aus dem Verlagsgeschäft sind als Einkünfte aus Gewerbebetrieb gemäß § 23 EStG einzustufen. Während die eigene journalistische Tätigkeit unter die selbstständige Arbeit (§ 22 EStG) fällt, stellt der Betrieb eines Verlages mit Einkauf fremder Leistungen und dem Handel mit physischen Produkten eine gewerbliche Tätigkeit dar. Sie ist selbstständig, nachhaltig, mit Gewinnabsicht und unter Beteiligung am allgemeinen wirtschaftlichen Verkehr ausgestaltet.",§ 23 EStG 1988,11817953,
EStG-23-015,"Ein Autoliebhaber kauft über einen Zeitraum von zwei Jahren systematisch fünf unrestaurierte Oldtimer auf, setzt diese in einer gemieteten Werkstatt unter Einsatz von Fachpersonal instand und verkauft die fahrbereiten Fahrzeuge anschließend mit beträchtlichem Gewinn über spezialisierte Online-Auktionen. Er beabsichtigt, diesen Zyklus fortzusetzen, um daraus seinen Lebensunterhalt zu bestreiten. Ist diese Tätigkeit als private Vermögensverwaltung oder als Gewerbebetrieb gemäß § 23 EStG einzustufen?","Es liegt ein Gewerbebetrieb gemäß § 23 EStG vor. Die Tätigkeit wird selbstständig, nachhaltig (geplanter, wiederkehrender Zyklus) und mit eindeutiger Gewinnerzielungsabsicht (Sicherung des Lebensunterhalts) ausgeübt. Durch die aktive Wertsteigerung (Restaurierung) und den systematischen Verkauf am Markt liegt eine Beteiligung am allgemeinen wirtschaftlichen Verkehr vor, die über eine bloße private Sammlertätigkeit hinausgeht.",§ 23 EStG 1988,11817953,
EStG-23-016,"Ein Autoliebhaber vermietet seine zwei privaten Oldtimer gelegentlich für Hochzeiten oder Filmaufnahmen. Die Einnahmen decken jedoch bei weitem nicht die hohen laufenden Kosten für Wartung, Versicherung und Garagenmiete. Da er die Fahrzeuge primär für sein eigenes Hobby besitzt und die Vermietung nur zur minimalen Kostensenkung nutzt, ist eine Gewinnerzielung objektiv nicht möglich. Liegt hier ein Gewerbebetrieb gemäß § 23 EStG vor?","Nein, es liegt kein Gewerbebetrieb vor. Ein wesentliches Merkmal des Gewerbebetriebs gemäß § 23 EStG ist die Absicht, einen Gesamtgewinn zu erzielen. Da die Tätigkeit objektiv nicht geeignet ist, einen Überschuss zu erwirtschaften, und sie aus persönlichen Neigungen (Hobby) betrieben wird, ist sie als steuerlich unbeachtliche Liebhaberei einzustufen.",§ 23 EStG 1988,11817953,
EStG-23-017,"Ein Student kauft regelmäßig limitierte Sneaker-Modelle bei deren Erscheinen (Drops) zum Ladenpreis. Er lagert diese originalverpackt und verkauft sie einige Monate später mit einem Aufschlag von 200 % über spezialisierte Online-Marktplätze weiter. Pro Jahr führt er etwa 40 solcher Transaktionen durch, um sein Studium zu finanzieren. Er wirbt nicht aktiv, nutzt aber die Preisalgorithmen der Plattformen. Liegt hier ein Gewerbebetrieb gemäß § 23 EStG vor?","Ja, es liegt ein Gewerbebetrieb gemäß § 23 EStG vor. Die Tätigkeit ist selbstständig, mit Gewinnerzielungsabsicht (Studienfinanzierung) und durch die hohe Anzahl der Transaktionen (40 pro Jahr) eindeutig nachhaltig. Da der Student systematisch die Marktsituation ausnutzt und seine Ware einem unbestimmten Personenkreis auf Marktplätzen anbietet, beteiligt er sich am allgemeinen wirtschaftlichen Verkehr. Dies übersteigt eine bloße private Sammlertätigkeit.",§ 23 EStG 1988,11817953,
EStG-23-018,"Eine Modeexpertin kauft gezielt limitierte Designertaschen renommierter Luxusmarken auf, von denen bekannt ist, dass sie im Wert steigen. Sie bewahrt die Taschen unbenutzt in ihrem klimatisierten Lager auf und verkauft sie nach einer Haltefrist von 18 bis 24 Monaten mit erheblichem Aufschlag über spezialisierte Auktionshäuser weiter. Sie führt jährlich ca. 12 solcher Transaktionen durch und nutzt den Gewinn zur Finanzierung neuer Ankäufe. Liegt hier ein Gewerbebetrieb gemäß § 23 EStG vor?","Ja, es liegt ein Gewerbebetrieb gemäß § 23 EStG vor. Die Tätigkeit wird selbstständig, nachhaltig (monatlicher Rhythmus) und mit einer klaren Gewinnerzielungsabsicht ausgeübt. Da die Expertin die Taschen systematisch als Handelsware nutzt und am allgemeinen wirtschaftlichen Verkehr (Verkauf über Auktionshäuser) teilnimmt, überschreitet dies die bloße private Vermögensverwaltung. Die planmäßige Ausnutzung von Marktschwankungen zur Gewinnerzielung steht hier im Vordergrund.",§ 23 EStG 1988,11817953,
EStG-23-019,"Ein IT-Berater kauft über mehrere Jahre hinweg gezielt originalverpackte und zertifizierte Videospiel-Klassiker aus den 1990er Jahren auf. Er beobachtet die Auktionspreise genau und verkauft regelmäßig jene Spiele weiter, die eine besonders hohe Wertsteigerung erfahren haben, um mit dem Erlös neue, noch seltenere Exemplare zu erwerben. Pro Jahr wickelt er ca. 20 solcher Verkäufe über spezialisierte Plattformen ab. Ist diese Tätigkeit als private Vermögensverwaltung oder als Gewerbebetrieb gemäß § 23 EStG einzustufen?","Es liegt ein Gewerbebetrieb gemäß § 23 EStG vor. Die Tätigkeit ist selbstständig, durch die wiederholten Transaktionen (20 pro Jahr) nachhaltig und von einer klaren Gewinnerzielungsabsicht geprägt. Da der Steuerpflichtige planmäßig Marktschwankungen ausnutzt und seine Waren einem unbestimmten Personenkreis auf Handelsplattformen anbietet, beteiligt er sich am allgemeinen wirtschaftlichen Verkehr. Dies überschreitet den Rahmen einer bloßen privaten Sammlertätigkeit.",§ 23 EStG 1988,11817953,
EStG-23-020,"Ein Sammler kauft systematisch originalverpackte Lego-Sets auf, von denen bekannt ist, dass sie bald vom Markt genommen werden (End of Life). Er lagert diese über mehrere Jahre in einem trockenen Keller und verkauft sie nach und nach mit einem Aufschlag von 150 % über Online-Marktplätze, um mit dem Erlös neue Investitionen zu tätigen. Er führt jährlich etwa 25 solcher Verkäufe durch. Ist diese Tätigkeit als private Vermögensverwaltung oder als Gewerbebetrieb gemäß § 23 EStG einzustufen?","Es liegt ein Gewerbebetrieb gemäß § 23 EStG vor. Die Tätigkeit ist selbstständig, durch die Regelmäßigkeit (25 Verkäufe pro Jahr) nachhaltig und von einer klaren Gewinnerzielungsabsicht geprägt. Da der Sammler planmäßig Marktsituationen (Verknappung nach Produktionsstopp) ausnutzt und seine Waren einem unbestimmten Personenkreis auf Handelsplattformen anbietet, beteiligt er sich am allgemeinen wirtschaftlichen Verkehr. Dies überschreitet den Rahmen einer bloßen privaten Sammlertätigkeit.",§ 23 EStG 1988,11817953,
EStG-23-021,Ein Kommanditist gibt seiner KG ein Darlehen und erhält dafür Zinsen. Handelt es sich dabei um Zinseinkünfte?,"Nein. § 23 Z 2 nennt ausdrücklich Vergütungen für die Hingabe von Darlehen durch Gesellschafter an die Mitunternehmerschaft, unabhängig von der Zahlungsform, sind das Einkünfte aus Gewerbebetrieb.",§ 23 EStG 1988,12314670,
EStG-23-022,Ein OG-Gesellschafter vermietet sein Gebäude an die OG und gibt die Mieteinnahmen als Vermietungseinkünfte an. Ist das korrekt?,"Nein. § 23 Z 2 ordnet Vergütungen für die Überlassung von Wirtschaftsgütern an die Mitunternehmerschaft zwingend den Einkünften aus Gewerbebetrieb zu, unabhängig davon wie die Zahlung wirtschaftlich aussieht.",§ 23 EStG 1988,12314670,
EStG-23-023,Ein OG-Gesellschafter erhält für seine Geschäftsführertätigkeit ein monatliches Gehalt von der OG. Kann er das über die Lohnsteuer abrechnen?,"Nein. § 23 Z 2 ordnet Vergütungen für die Tätigkeit im Dienste der Gesellschaft den Einkünften aus Gewerbebetrieb zu, ein steuerliches Dienstverhältnis zwischen Mitunternehmer und eigener Gesellschaft ist ausgeschlossen.",§ 23 EStG 1988,12314670,
EStG-23-024,Jemand verkauft seinen Betrieb und geht in Pension. Muss er den Veräußerungsgewinn noch als gewerbliche Einkünfte versteuern?,"Ja. § 23 Z 3 ordnet Veräußerungsgewinne im Sinne des § 24 ausdrücklich den Einkünften aus Gewerbebetrieb zu, das Ende der Tätigkeit ändert daran nichts.",§ 23 EStG 1988,12314670,
EStG-23-025,"Jemand vermietet dauerhaft 8 Eigentumswohnungen, selbständig, nachhaltig und mit Gewinnabsicht. Ist er damit gewerblich tätig nach § 23?","Nein. § 23 Z 1 verlangt zusätzlich das Überschreiten der reinen Vermögensverwaltung, bloße Dauervermietung erfüllt dieses Tatbestandsmerkmal nicht, die anderen drei Merkmale allein reichen nicht aus.",§ 23 EStG 1988,12314670,
EStG-23-026,Ein Kommanditist ist völlig passiv und mischt sich nie in die Geschäfte ein. Ist sein Gewinnanteil deshalb eine Kapitalanlage und kein Gewerbebetrieb?,"Nein. § 23 Z 2 erfasst Gewinnanteile aller Gesellschafter, die als Mitunternehmer anzusehen sind, Kommanditisten zählen dazu, fehlende operative Tätigkeit ändert die Einkunftsart nicht.",§ 23 EStG 1988,12314670,
EStG-23-027,Jemand verkauft einmalig alte Möbel auf einem Flohmarkt und macht dabei 200 € Gewinn. Liegt ein Gewerbebetrieb nach § 23 vor?,"Nein. § 23 Z 1 setzt Nachhaltigkeit voraus, ein einmaliger Vorgang ohne Wiederholungsabsicht erfüllt dieses Tatbestandsmerkmal nicht, der Vorgang ist steuerlich nicht erfassbar.",§ 23 EStG 1988,12314670,
EStG-23-028,Ein Komplementär überlässt der KG seinen privaten Pkw gegen eine monatliche Vergütung. Handelt es sich dabei um sonstige Einnahmen?,"Nein. § 23 Z 2 erfasst ausdrücklich Vergütungen für die Überlassung von Wirtschaftsgütern durch Gesellschafter an die Mitunternehmerschaft, das sind Einkünfte aus Gewerbebetrieb.",§ 23 EStG 1988,12314670,
EStG-23-029,"Eine Tätigkeit ist selbständig, nachhaltig, gewinnorientiert und am Markt angeboten. Ist die Tätigkeit dadurch automatisch ein Gewerbebetrieb nach § 23 Z 1?","Nein. § 23 Z 1 schließt ausdrücklich Land- und Forstwirtschaft sowie selbständige Arbeit aus, nur wenn die Tätigkeit unter keine dieser Einkunftsarten fällt greift § 23.",§ 23 EStG 1988,12314670,
EStG-23-030,"Ein stiller Gesellschafter erhält einen Gewinnanteil aus seiner Beteiligung an einem Gewerbebetrieb. Fällt das unter § 23, weil die Gesellschaft gewerblich tätig ist?","Nein. § 23 Z 2 erfasst nur Gesellschafter, die als Mitunternehmer anzusehen sind, ein typisch stiller Gesellschafter gilt nicht als Mitunternehmer, sein Gewinnanteil fällt daher nicht unter § 23.",§ 23 EStG 1988,12314670,
EStG-23-031,Ein Einzelunternehmer stellt seinen Betrieb ein ohne ihn zu verkaufen. Muss er einen allfälligen Aufgabegewinn versteuern?,"Ja. § 23 Z 3 verweist auf § 24, der ausdrücklich auch die Betriebsaufgabe erfasst, ein allfälliger Aufgabegewinn ist Einkünfte aus Gewerbebetrieb.",§ 23 EStG 1988,12314670,
EStG-23-032,An einer KG sind ein Komplementär und ein Kommanditist beteiligt. Müssen beide ihre Gewinnanteile nach § 23 versteuern?,"Ja. § 23 Z 2 erfasst Gewinnanteile aller Gesellschafter, die als Mitunternehmer anzusehen sind, sowohl Komplementäre als auch Kommanditisten gelten als Mitunternehmer.",§ 23 EStG 1988,12314670,
EStG-23-033,"Ein Fotograf arbeitet selbständig, nachhaltig und mit Gewinnabsicht. Er meint, Fotografie sei ein freier Beruf und daher keine gewerbliche Tätigkeit. Liegt er richtig?","Nein. § 23 Z 1 ist die Restkategorie für alle selbständigen, nachhaltigen, gewinnorientierten Tätigkeiten, die nicht unter Land- und Forstwirtschaft oder selbständige Arbeit fallen, gewerbsmäßige Fotografie zählt nicht zu den freien Berufen und ist daher Gewerbebetrieb.",§ 23 EStG 1988,12314670,
EStG-23-034,"Ein IT-Berater arbeitet selbständig, nachhaltig und mit Gewinnabsicht. Er meint, da er ausschließlich geistig tätig ist, liege selbständige Arbeit und kein Gewerbebetrieb vor. Stimmt das?","Nein. § 23 Z 1 schließt nur Land- und Forstwirtschaft sowie selbständige Arbeit aus, geistige Tätigkeit allein begründet keinen freien Beruf im Sinne des EStG, IT-Beratung fällt als Restkategorie unter § 23.",§ 23 EStG 1988,12314670,
EStG-23-035,Bei einer GmbH & Co KG ist der einzige Komplementär eine GmbH. Ein Kommanditist erhält seinen Gewinnanteil. Fällt dieser unter § 23?,"Ja. § 23 Z 2 erfasst Gewinnanteile aller Gesellschafter, die als Mitunternehmer anzusehen sind, die Rechtsform des Komplementärs ändert daran nichts, Kommanditisten einer GmbH & Co KG sind Mitunternehmer.",§ 23 EStG 1988,12314670,
EStG-23-036,Jemand erbringt Leistungen ausschließlich innerhalb der Familie ohne jedes Auftreten nach außen. Fehlt damit die Beteiligung am allgemeinen wirtschaftlichen Verkehr?,"Ja. § 23 Z 1 setzt Beteiligung am allgemeinen wirtschaftlichen Verkehr voraus, eine rein familieninterne Tätigkeit ohne Angebot an einen unbestimmten Personenkreis erfüllt dieses Tatbestandsmerkmal nicht.",§ 23 EStG 1988,12314670,
EStG-23-037,"Ein Journalist schreibt selbständig Artikel für verschiedene Zeitungen. Er meint, da er schriftstellerisch tätig ist, liege jedenfalls kein Gewerbebetrieb vor. Hat er recht?","Ja. § 23 Z 1 schließt ausdrücklich selbständige Arbeit aus, schriftstellerische Tätigkeit fällt unter § 22, sofern sie eigenschöpferischen Charakter hat, § 23 kommt dann nicht zur Anwendung.",§ 23 EStG 1988,12314670,
EStG-23-038,"Ein Steuerberater betreibt seine Kanzlei als Einzelunternehmer. Ein Bekannter meint, da er Einzelunternehmer ist, liege Gewerbebetrieb vor. Stimmt das?","Nein. § 23 Z 1 schließt selbständige Arbeit ausdrücklich aus, Steuerberater zählen zu den freien Berufen im Sinne des § 22, die Rechtsform als Einzelunternehmer ändert daran nichts.",§ 23 EStG 1988,12314670,
EStG-23-039,Ein Arzt betreibt seine Ordination als Einzelunternehmer und erzielt daraus Einkünfte. Liegen Einkünfte aus Gewerbebetrieb vor?,"Nein. § 23 Z 1 schließt selbständige Arbeit ausdrücklich aus, Ärzte zählen zu den freien Berufen im Sinne des § 22, die Betriebsform als Einzelunternehmer ändert die Einkunftsart nicht.",§ 23 EStG 1988,12314670,
EStG-23-040,"Ein Bauer betreibt zusätzlich zu seiner Landwirtschaft einen kleinen Hofladen, in dem er eigene Produkte verkauft. Er meint, da er Landwirt ist, falle alles unter Land- und Forstwirtschaft und nicht unter § 23. Stimmt das?","Nein. Da der Bauer ausschließlich eigene Erzeugnisse vermarktet, bleibt die Tätigkeit im Rahmen der Land- und Forstwirtschaft. § 23 Z 1 schließt Land- und Forstwirtschaft ausdrücklich aus, ein Gewerbebetrieb liegt nicht vor.",§ 23 EStG 1988,12314670,
EStG-23-041,"Eine Privatperson erbt ein altes, stark sanierungsbedürftiges Einfamilienhaus. Sie investiert ein Jahr lang viel Zeit und Geld in die Komplettsanierung und verkauft das Haus anschließend mit einem hohen Gewinn weiter. Sie plant keine weiteren Immobilienprojekte. Sind die Einkünfte als Einkünfte aus Gewerbebetrieb zu werten?","Nein, es liegt kein Gewerbebetrieb vor. Gemäß § 23 Z 1 EStG ist für einen Gewerbebetrieb das Tatbestandsmerkmal der Nachhaltigkeit (Wiederholungsabsicht) zwingend erforderlich. Ein einzelner, wenn auch aufwendiger Hausverkauf ohne die Absicht, weitere derartige Geschäfte zu tätigen, fällt unter die private Vermögensverwaltung und erfüllt nicht die Kriterien eines Gewerbebetriebs.",§ 23 EStG 1988,12329053,
EStG-23-042,"Ein Forstwirt betreibt auf einem Teil seines Waldgrundstücks einen kommerziellen Hochseilklettergarten. Er bewirbt diesen stark und verlangt Eintrittsgelder. Fällt der Klettergarten unter die Einkünfte aus Land- und Forstwirtschaft, da er sich im Wald befindet?","Nein, die Einkünfte aus dem Klettergarten sind Einkünfte aus Gewerbebetrieb gemäß § 23 Z 1 EStG. Obwohl die Anlage im Wald steht, fehlt der direkte wirtschaftliche Bezug zur land- und forstwirtschaftlichen Urproduktion (Bodenbewirtschaftung). Die Tätigkeit ist selbstständig, nachhaltig, auf Gewinn gerichtet und beteiligt sich am allgemeinen wirtschaftlichen Verkehr, ohne Land- und Forstwirtschaft oder selbstständige Arbeit zu sein.",§ 23 EStG 1988,12329053,
