model,id,n_citations,n_grounded,n_hallucinated,n_out_of_scope
Model1_API_Llama70B,VAT-DOM-010,4,4,0,0
Model1_API_Llama70B,VAT-DOM-011,3,3,0,0
Model1_API_Llama70B,VAT-DOM-012,4,4,0,0
Model1_API_Llama70B,VAT-DOM-013,2,2,0,0
Model1_API_Llama70B,VAT-DOM-014,3,3,0,0
Model1_API_Llama70B,VAT-DOM-015,1,1,0,0
Model1_API_Llama70B,VAT-DOM-016,2,2,0,0
Model1_API_Llama70B,VAT-DOM-017,2,2,0,0
Model1_API_Llama70B,VAT-DOM-018,2,2,0,0
Model1_API_Llama70B,VAT-DOM-019,3,3,0,0
Model1_API_Llama70B,VAT-DOM-020,4,4,0,0
Model1_API_Llama70B,VAT-DOM-021,4,4,0,0
Model1_API_Llama70B,VAT-DOM-022,2,2,0,0
Model1_API_Llama70B,VAT-DOM-023,4,4,0,0
Model1_API_Llama70B,VAT-DOM-024,3,3,0,0
Model1_API_Llama70B,VAT-DOM-025,2,1,0,1
Model1_API_Llama70B,VAT-DOM-026,5,5,0,0
Model1_API_Llama70B,VAT-DOM-027,4,4,0,0
Model1_API_Llama70B,VAT-DOM-028,2,2,0,0
Model1_API_Llama70B,VAT-DOM-029,5,5,0,0
Model1_API_Llama70B,VAT-DOM-030,3,3,0,0
Model1_API_Llama70B,VAT-DOM-031,3,3,0,0
Model1_API_Llama70B,VAT-DOM-032,4,4,0,0
Model1_API_Llama70B,VAT-DOM-033,5,5,0,0
Model1_API_Llama70B,VAT-DOM-034,2,2,0,0
Model1_API_Llama70B,VAT-DOM-035,4,4,0,0
Model1_API_Llama70B,VAT-DOM-036,4,4,0,0
Model1_API_Llama70B,VAT-DOM-037,3,3,0,0
Model1_API_Llama70B,VAT-DOM-038,3,3,0,0
Model1_API_Llama70B,VAT-DOM-039,4,4,0,0
Model1_API_Llama70B,VAT-DOM-040,3,3,0,0
Model1_API_Llama70B,VAT-DOM-041,3,3,0,0
Model1_API_Llama70B,VAT-DOM-042,5,5,0,0
Model1_API_Llama70B,VAT-DOM-043,3,3,0,0
Model1_API_Llama70B,VAT-DOM-044,5,5,0,0
Model1_API_Llama70B,VAT-DOM-045,3,3,0,0
Model1_API_Llama70B,VAT-DOM-046,3,3,0,0
Model1_API_Llama70B,VAT-DOM-047,2,2,0,0
Model1_API_Llama70B,VAT-DOM-048,4,4,0,0
Model1_API_Llama70B,VAT-DOM-049,2,2,0,0
Model1_API_Llama70B,VAT-DOM-050,3,3,0,0
Model1_API_Llama70B,VAT-DOM-051,4,4,0,0
Model1_API_Llama70B,VAT-DOM-052,4,4,0,0
Model1_API_Llama70B,VAT-DOM-053,4,4,0,0
Model1_API_Llama70B,VAT-DOM-054,3,3,0,0
Model1_API_Llama70B,VAT-DOM-055,3,3,0,0
Model1_API_Llama70B,VAT-DOM-056,2,2,0,0
Model1_API_Llama70B,VAT-DOM-057,2,2,0,0
Model1_API_Llama70B,VAT-DOM-058,2,2,0,0
Model1_API_Llama70B,VAT-DOM-059,3,3,0,0
Model1_API_Llama70B,VAT-DOM-060,3,3,0,0
Model1_API_Llama70B,VAT-DOM-061,0,0,0,0
Model1_API_Llama70B,VAT-DOM-062,5,5,0,0
Model1_API_Llama70B,VAT-DOM-063,0,0,0,0
Model1_API_Llama70B,VAT-DOM-064,3,3,0,0
Model1_API_Llama70B,VAT-DOM-065,0,0,0,0
Model1_API_Llama70B,VAT-DOM-066,0,0,0,0
Model1_API_Llama70B,VAT-DOM-067,2,2,0,0
Model1_API_Llama70B,VAT-DOM-068,3,3,0,0
Model1_API_Llama70B,VAT-DOM-069,3,3,0,0
Model1_API_Llama70B,VAT-DOM-070,3,3,0,0
Model1_API_Llama70B,VAT-DOM-071,4,0,0,4
Model1_API_Llama70B,VAT-DOM-072,4,4,0,0
Model1_API_Llama70B,VAT-DOM-073,4,4,0,0
Model1_API_Llama70B,VAT-DOM-074,3,3,0,0
Model1_API_Llama70B,VAT-DOM-075,3,3,0,0
Model1_API_Llama70B,VAT-DOM-076,2,2,0,0
Model1_API_Llama70B,VAT-DOM-077,2,2,0,0
Model1_API_Llama70B,VAT-DOM-078,3,3,0,0
Model1_API_Llama70B,VAT-DOM-079,2,2,0,0
Model1_API_Llama70B,VAT-DOM-080,1,1,0,0
Model1_API_Llama70B,GRESt-AT-001,3,0,0,3
Model1_API_Llama70B,GRESt-AT-002,3,0,0,3
Model1_API_Llama70B,GRESt-AT-003,1,1,0,0
Model1_API_Llama70B,GRESt-AT-004,5,1,0,4
Model1_API_Llama70B,GRESt-AT-005,2,0,0,2
Model1_API_Llama70B,GRESt-AT-006,5,0,0,5
Model1_API_Llama70B,GRESt-AT-007,2,0,0,2
Model1_API_Llama70B,GRESt-AT-008,4,4,0,0
Model1_API_Llama70B,GRESt-AT-009,2,0,0,2
Model1_API_Llama70B,GRESt-AT-010,3,3,0,0
Model1_API_Llama70B,GRESt-AT-011,2,0,0,2
Model1_API_Llama70B,GRESt-AT-012,0,0,0,0
Model1_API_Llama70B,GRESt-AT-013,3,3,0,0
Model1_API_Llama70B,GRESt-AT-014,3,0,0,3
Model1_API_Llama70B,GRESt-AT-015,3,0,0,3
Model1_API_Llama70B,GRESt-AT-016,5,0,0,5
Model1_API_Llama70B,GRESt-AT-017,2,0,0,2
Model1_API_Llama70B,GRESt-AT-018,3,0,0,3
Model1_API_Llama70B,GRESt-AT-019,2,0,0,2
Model1_API_Llama70B,GRESt-AT-020,3,0,0,3
Model1_API_Llama70B,GRESt-AT-021,2,0,0,2
Model1_API_Llama70B,GRESt-AT-022,4,0,0,4
Model1_API_Llama70B,GRESt-AT-023,2,0,0,2
Model1_API_Llama70B,GRESt-AT-024,3,0,0,3
Model1_API_Llama70B,GRESt-AT-025,4,0,0,4
Model1_API_Llama70B,GRESt-AT-026,0,0,0,0
Model1_API_Llama70B,GRESt-AT-027,4,0,0,4
Model1_API_Llama70B,GRESt-AT-028,4,0,0,4
Model1_API_Llama70B,GRESt-AT-029,4,0,0,4
Model1_API_Llama70B,GRESt-AT-030,3,3,0,0
Model1_API_Llama70B,GRESt-AT-031,2,0,0,2
Model1_API_Llama70B,GRESt-AT-032,1,0,0,1
Model1_API_Llama70B,GRESt-AT-033,2,0,0,2
Model1_API_Llama70B,GRESt-AT-034,2,0,0,2
Model1_API_Llama70B,GRESt-AT-035,2,0,0,2
Model1_API_Llama70B,GRESt-AT-036,5,0,0,5
Model1_API_Llama70B,GRESt-AT-037,4,0,0,4
Model1_API_Llama70B,GRESt-AT-038,1,0,0,1
Model1_API_Llama70B,GRESt-AT-039,1,0,0,1
Model1_API_Llama70B,GRESt-AT-040,3,0,0,3
Model1_API_Llama70B,GRESt-AT-041,1,0,0,1
Model1_API_Llama70B,GRESt-AT-042,3,0,0,3
Model1_API_Llama70B,GRESt-AT-043,1,0,0,1
Model1_API_Llama70B,GRESt-AT-044,2,0,0,2
Model1_API_Llama70B,GRESt-AT-045,2,0,0,2
Model1_API_Llama70B,GRESt-AT-046,2,0,0,2
Model1_API_Llama70B,GRESt-AT-047,3,0,0,3
Model1_API_Llama70B,GRESt-AT-048,2,0,0,2
Model1_API_Llama70B,GRESt-AT-049,3,2,0,1
Model1_API_Llama70B,GRESt-AT-050,2,0,0,2
Model1_API_Llama70B,GRESt-AT-051,3,0,0,3
Model1_API_Llama70B,GRESt-AT-052,3,0,0,3
Model1_API_Llama70B,GRESt-AT-053,3,0,0,3
Model1_API_Llama70B,GRESt-AT-054,1,0,0,1
Model1_API_Llama70B,GRESt-AT-055,0,0,0,0
Model1_API_Llama70B,GRESt-AT-056,2,0,0,2
Model1_API_Llama70B,GRESt-AT-057,2,2,0,0
Model1_API_Llama70B,GRESt-AT-058,3,0,0,3
Model1_API_Llama70B,GRESt-AT-059,2,2,0,0
Model1_API_Llama70B,GRESt-AT-060,0,0,0,0
Model1_API_Llama70B,GRESt-AT-061,2,0,0,2
Model1_API_Llama70B,GRESt-AT-062,5,0,0,5
Model1_API_Llama70B,GRESt-AT-063,0,0,0,0
Model1_API_Llama70B,GRESt-AT-064,4,0,0,4
Model1_API_Llama70B,GRESt-AT-065,3,0,0,3
Model1_API_Llama70B,GRESt-AT-066,0,0,0,0
Model1_API_Llama70B,GRESt-AT-067,3,0,0,3
Model1_API_Llama70B,GRESt-AT-068,4,0,0,4
Model1_API_Llama70B,GRESt-AT-069,5,0,0,5
Model1_API_Llama70B,GRESt-AT-070,2,0,0,2
Model1_API_Llama70B,GRESt-AT-071,1,0,0,1
Model1_API_Llama70B,GRESt-AT-072,4,0,0,4
Model1_API_Llama70B,GRESt-AT-073,1,0,0,1
Model1_API_Llama70B,GRESt-AT-074,5,2,0,3
Model1_API_Llama70B,GRESt-AT-075,3,0,0,3
Model1_API_Llama70B,GRESt-AT-076,3,0,0,3
Model1_API_Llama70B,GRESt-AT-077,2,0,0,2
Model1_API_Llama70B,GRESt-AT-078,4,0,0,4
Model1_API_Llama70B,GRESt-AT-079,3,0,0,3
Model1_API_Llama70B,GRESt-AT-080,2,0,0,2
Model1_API_Llama70B,GRESt-AT-081,3,0,0,3
Model1_API_Llama70B,VAT-INTL-001,4,4,0,0
Model1_API_Llama70B,VAT-INTL-002,6,6,0,0
Model1_API_Llama70B,VAT-INTL-003,3,3,0,0
Model1_API_Llama70B,VAT-INTL-004,3,3,0,0
Model1_API_Llama70B,VAT-INTL-005,4,4,0,0
Model1_API_Llama70B,VAT-INTL-006,3,3,0,0
Model1_API_Llama70B,VAT-INTL-007,2,2,0,0
Model1_API_Llama70B,VAT-INTL-008,4,4,0,0
Model1_API_Llama70B,VAT-INTL-009,3,3,0,0
Model1_API_Llama70B,VAT-INTL-010,3,3,0,0
Model1_API_Llama70B,VAT-INTL-011,5,5,0,0
Model1_API_Llama70B,VAT-INTL-012,2,1,0,1
Model1_API_Llama70B,VAT-INTL-013,3,3,0,0
Model1_API_Llama70B,VAT-INTL-014,3,3,0,0
Model1_API_Llama70B,VAT-INTL-015,3,3,0,0
Model1_API_Llama70B,VAT-INTL-016,3,3,0,0
Model1_API_Llama70B,VAT-INTL-017,3,3,0,0
Model1_API_Llama70B,VAT-INTL-018,4,4,0,0
Model1_API_Llama70B,VAT-INTL-019,3,3,0,0
Model1_API_Llama70B,VAT-INTL-020,4,4,0,0
Model1_API_Llama70B,VAT-INTL-021,2,2,0,0
Model1_API_Llama70B,VAT-INTL-022,2,2,0,0
Model1_API_Llama70B,VAT-INTL-023,3,3,0,0
Model1_API_Llama70B,VAT-INTL-024,2,2,0,0
Model1_API_Llama70B,VAT-INTL-025,2,2,0,0
Model1_API_Llama70B,VAT-INTL-026,2,2,0,0
Model1_API_Llama70B,VAT-INTL-027,2,2,0,0
Model1_API_Llama70B,VAT-INTL-028,3,3,0,0
Model1_API_Llama70B,VAT-INTL-029,3,3,0,0
Model1_API_Llama70B,VAT-INTL-030,2,2,0,0
Model1_API_Llama70B,VAT-INTL-031,2,2,0,0
Model1_API_Llama70B,VAT-INTL-032,5,5,0,0
Model1_API_Llama70B,VAT-INTL-033,2,2,0,0
Model1_API_Llama70B,VAT-INTL-034,2,2,0,0
Model1_API_Llama70B,VAT-INTL-035,2,2,0,0
Model1_API_Llama70B,VAT-INTL-036,3,3,0,0
Model1_API_Llama70B,VAT-INTL-037,4,4,0,0
Model1_API_Llama70B,VAT-INTL-038,3,3,0,0
Model1_API_Llama70B,VAT-INTL-039,3,3,0,0
Model1_API_Llama70B,VAT-INTL-040,1,1,0,0
Model1_API_Llama70B,VAT-INTL-041,2,2,0,0
Model1_API_Llama70B,VAT-INTL-042,4,4,0,0
Model1_API_Llama70B,VAT-INTL-043,3,3,0,0
Model1_API_Llama70B,VAT-INTL-044,4,4,0,0
Model1_API_Llama70B,VAT-INTL-045,3,3,0,0
Model1_API_Llama70B,VAT-INTL-046,1,1,0,0
Model1_API_Llama70B,VAT-INTL-047,2,2,0,0
Model1_API_Llama70B,VAT-INTL-048,2,2,0,0
Model1_API_Llama70B,VAT-INTL-049,2,2,0,0
Model1_API_Llama70B,VAT-INTL-050,3,3,0,0
Model1_API_Llama70B,VAT-INTL-051,4,4,0,0
Model1_API_Llama70B,VAT-INTL-052,2,2,0,0
Model1_API_Llama70B,VAT-INTL-053,3,3,0,0
Model1_API_Llama70B,VAT-INTL-054,3,3,0,0
Model1_API_Llama70B,VAT-INTL-055,2,2,0,0
Model1_API_Llama70B,VAT-INTL-056,6,6,0,0
Model1_API_Llama70B,VAT-INTL-057,2,2,0,0
Model1_API_Llama70B,VAT-INTL-058,4,4,0,0
Model1_API_Llama70B,VAT-INTL-059,4,4,0,0
Model1_API_Llama70B,VAT-INTL-060,4,4,0,0
Model1_API_Llama70B,VAT-INTL-061,2,2,0,0
Model1_API_Llama70B,VAT-INTL-062,3,3,0,0
Model1_API_Llama70B,VAT-INTL-063,4,4,0,0
Model1_API_Llama70B,VAT-INTL-064,3,3,0,0
Model1_API_Llama70B,VAT-INTL-065,2,2,0,0
Model1_API_Llama70B,VAT-INTL-066,3,3,0,0
Model1_API_Llama70B,VAT-INTL-067,4,4,0,0
Model1_API_Llama70B,VAT-INTL-068,2,2,0,0
Model1_API_Llama70B,VAT-INTL-069,2,2,0,0
Model1_API_Llama70B,VAT-INTL-070,2,2,0,0
Model1_API_Llama70B,VAT-INTL-071,4,4,0,0
Model1_API_Llama70B,VAT-INTL-072,5,5,0,0
Model1_API_Llama70B,VAT-INTL-073,3,3,0,0
Model1_API_Llama70B,VAT-INTL-074,4,4,0,0
Model1_API_Llama70B,VAT-INTL-075,2,2,0,0
Model1_API_Llama70B,VAT-INTL-076,2,2,0,0
Model1_API_Llama70B,VAT-INTL-077,1,1,0,0
Model1_API_Llama70B,VAT-INTL-078,2,2,0,0
Model1_API_Llama70B,VAT-INTL-079,3,3,0,0
Model1_API_Llama70B,VAT-INTL-080,2,2,0,0
Model1_API_Llama70B,VAT-INTL-081,2,2,0,0
Model1_API_Llama70B,VAT-INTL-082,3,3,0,0
Model1_API_Llama70B,ESTG27-001,3,3,0,0
Model1_API_Llama70B,ESTG27-002,2,2,0,0
Model1_API_Llama70B,ESTG27-003,4,4,0,0
Model1_API_Llama70B,ESTG27-004,3,3,0,0
Model1_API_Llama70B,ESTG27-005,2,2,0,0
Model1_API_Llama70B,ESTG27-006,3,3,0,0
Model1_API_Llama70B,ESTG27-007,3,3,0,0
Model1_API_Llama70B,ESTG27-008,5,5,0,0
Model1_API_Llama70B,ESTG27-009,5,5,0,0
Model1_API_Llama70B,ESTG27-010,4,4,0,0
Model1_API_Llama70B,ESTG27-011,3,3,0,0
Model1_API_Llama70B,ESTG27-012,3,0,0,3
Model1_API_Llama70B,ESTG27-013,3,3,0,0
Model1_API_Llama70B,ESTG27-014,5,5,0,0
Model1_API_Llama70B,ESTG27-017,4,4,0,0
Model1_API_Llama70B,ESTG27-018,2,2,0,0
Model1_API_Llama70B,ESTG27-019,4,4,0,0
Model1_API_Llama70B,ESTG27-020,2,2,0,0
Model1_API_Llama70B,ESTG27-021,4,4,0,0
Model1_API_Llama70B,ESTG27-022,5,5,0,0
Model1_API_Llama70B,ESTG27-023,2,2,0,0
Model1_API_Llama70B,ESTG27-024,3,3,0,0
Model1_API_Llama70B,ESTG27-025,4,4,0,0
Model1_API_Llama70B,ESTG27-026,5,5,0,0
Model1_API_Llama70B,ESTG27-027,4,1,0,3
Model1_API_Llama70B,ESTG27-028,3,3,0,0
Model1_API_Llama70B,ESTG27-029,5,5,0,0
Model1_API_Llama70B,ESTG27-030,1,1,0,0
Model1_API_Llama70B,ESTG27-031,3,3,0,0
Model1_API_Llama70B,ESTG27-032,3,3,0,0
Model1_API_Llama70B,ESTG27-033,5,5,0,0
Model1_API_Llama70B,ESTG27-034,4,4,0,0
Model1_API_Llama70B,ESTG27-035,3,3,0,0
Model1_API_Llama70B,ESTG27-036,5,5,0,0
Model1_API_Llama70B,ESTG27-037,2,2,0,0
Model1_API_Llama70B,ESTG27-038,3,3,0,0
Model1_API_Llama70B,ESTG27-039,2,2,0,0
Model1_API_Llama70B,ESTG27-040,3,2,0,1
Model1_API_Llama70B,EMP-001,2,2,0,0
Model1_API_Llama70B,EMP-002,3,3,0,0
Model1_API_Llama70B,EMP-003,3,3,0,0
Model1_API_Llama70B,EMP-004,3,3,0,0
Model1_API_Llama70B,EMP-005,2,2,0,0
Model1_API_Llama70B,EMP-006,3,3,0,0
Model1_API_Llama70B,EMP-007,4,4,0,0
Model1_API_Llama70B,EMP-008,2,2,0,0
Model1_API_Llama70B,EMP-009,3,3,0,0
Model1_API_Llama70B,EMP-010,1,1,0,0
Model1_API_Llama70B,EMP-011,2,2,0,0
Model1_API_Llama70B,EMP-012,3,3,0,0
Model1_API_Llama70B,EMP-013,3,3,0,0
Model1_API_Llama70B,EMP-014,4,4,0,0
Model1_API_Llama70B,EMP-015,3,3,0,0
Model1_API_Llama70B,EMP-016,2,2,0,0
Model1_API_Llama70B,EMP-017,3,3,0,0
Model1_API_Llama70B,EMP-018,3,3,0,0
Model1_API_Llama70B,EMP-019,4,4,0,0
Model1_API_Llama70B,EMP-020,2,2,0,0
Model1_API_Llama70B,EMP-021,3,3,0,0
Model1_API_Llama70B,EMP-022,3,3,0,0
Model1_API_Llama70B,EMP-023,3,3,0,0
Model1_API_Llama70B,EMP-024,2,2,0,0
Model1_API_Llama70B,EMP-025,2,2,0,0
Model1_API_Llama70B,EMP-026,4,4,0,0
Model1_API_Llama70B,EMP-027,5,5,0,0
Model1_API_Llama70B,EMP-028,4,4,0,0
Model1_API_Llama70B,EMP-029,1,1,0,0
